Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cy_div=2, cy_scale=2, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', fc_blocks=0, global_beta=1.5, hidden=118, hop_length=320, init_factor=2, learning_rate='0.0005,0.0001,0.00002', lstm_blocks=0, n_mfcc=10, noise_injectionI=0, noise_injectionT=0, pool_method='avg', quant_actMVM=0, quant_actNM=0, quant_inp=12, quant_w=0, sample_rate=16000, silence_percentage=0.1, std_scale=3, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
9e406020-fdf7-4175-a748-bc2c707e6dd8
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.4886      0.0800     0.0853     5.0561
00100     2.3748      0.1400     0.1889     6.9165
00200     2.1057      0.2200     0.1896     6.4652
00300     2.2905      0.1500     0.1968     6.7971
00400     2.2565      0.2200     0.2129     6.5553
00500     2.2378      0.2600     0.2388     5.8931
00600     2.0732      0.2700     0.2726     5.6709
00700     2.0502      0.2200     0.3005     5.5161
00800     1.9622      0.2900     0.3005     5.7768
00900     1.8500      0.3200     0.3037     6.1733
01000     1.8321      0.3600     0.3281     6.4994
01100     1.7510      0.3300     0.3281     6.1367
01200     1.6933      0.3400     0.3678     6.5219
01300     1.6877      0.3000     0.3790     6.4413
01400     1.6996      0.4000     0.3987     6.1250
01500     1.6090      0.4200     0.3987     6.0624
01600     1.5367      0.4800     0.4104     5.9055
01700     1.5603      0.3500     0.4104     6.7828
01800     1.6603      0.4300     0.4568     6.2619
01900     1.3907      0.4400     0.4827     5.5883
02000     1.6356      0.4200     0.4827     5.7950
02100     1.6910      0.4400     0.4853     6.1496
02200     1.4751      0.3900     0.5102     6.2109
02300     1.6023      0.4300     0.5102     6.3276
02400     1.1565      0.5900     0.5616     6.6554
02500     1.3556      0.5100     0.5742     6.2374
02600     1.2396      0.5400     0.5930     5.9290
02700     1.2649      0.5300     0.6052     5.8699
02800     1.0958      0.6400     0.6206     5.8706
02900     1.1885      0.6200     0.6276     6.0077
03000     0.9005      0.6900     0.6418     6.2208
03100     1.0551      0.5900     0.6508     6.2868
03200     0.8516      0.7200     0.6872     6.3834
03300     0.9514      0.6300     0.6956     6.5966
03400     1.0678      0.6200     0.7056     6.4009
03500     0.8200      0.7100     0.7056     6.0513
03600     0.7515      0.7300     0.7243     5.9993
03700     1.0094      0.6400     0.7243     6.3761
03800     0.8966      0.6800     0.7353     6.5915
03900     1.0130      0.6900     0.7353     6.4522
04000     0.9182      0.7100     0.7551     6.5032
04100     0.9132      0.6900     0.7569     6.2848
04200     0.8230      0.7200     0.7569     6.6369
04300     0.8352      0.7200     0.7636     6.5765
04400     0.6738      0.7900     0.7636     5.7768
04500     0.6678      0.7900     0.7809     5.6883
04600     0.8525      0.7000     0.7809     6.2664
04700     0.5773      0.8400     0.7846     6.0831
04800     0.6480      0.7700     0.7903     6.1830
04900     0.6284      0.7700     0.7954     6.3530
05000     0.7498      0.7300     0.7954     6.1641
05100     0.7516      0.7900     0.7954     6.8717
05200     0.8028      0.7200     0.7995     6.1957
05300     0.6725      0.7800     0.7995     6.0910
05400     0.7166      0.7400     0.8085     6.4792
05500     0.5717      0.8100     0.8085     6.1987
05600     0.6786      0.7900     0.8217     6.3635
05700     0.5579      0.8200     0.8261     6.2363
05800     0.8035      0.7500     0.8261     5.9452
05900     0.7856      0.7500     0.8261     5.9071
06000     0.7794      0.7200     0.8261     5.5872
06100     0.7012      0.7600     0.8285     6.2391
06200     0.4868      0.8700     0.8285     6.1993
06300     0.6976      0.8200     0.8285     6.2099
06400     0.7172      0.7800     0.8285     6.2241
06500     0.6990      0.7800     0.8285     6.1076
06600     0.5216      0.8600     0.8366     6.1065
06700     0.4203      0.8500     0.8457     6.2168
06800     0.6877      0.7500     0.8457     7.3790
06900     0.6247      0.7800     0.8457     6.1794
07000     0.7096      0.8000     0.8457     6.0914
07100     0.5810      0.8300     0.8507     5.9512
07200     0.5553      0.8400     0.8507     6.2406
07300     0.5025      0.8100     0.8507     6.6357
07400     0.6330      0.8100     0.8613     6.5695
07500     0.5033      0.8700     0.8613     6.2266
07600     0.4125      0.8700     0.8613     6.3247
07700     0.5572      0.8200     0.8613     6.0244
07800     0.6265      0.8100     0.8643     6.0113
07900     0.5711      0.8000     0.8643     5.6980
08000     0.6124      0.8200     0.8643     5.8127
08100     0.6195      0.7600     0.8694     5.8009
08200     0.3936      0.8800     0.8694     5.7621
08300     0.7019      0.7600     0.8694     5.6647
08400     0.4385      0.8700     0.8694     5.8430
08500     0.5759      0.8000     0.8694     7.0916
08600     0.3606      0.9000     0.8694     6.1665
08700     0.5125      0.8400     0.8694     5.9073
08800     0.4958      0.8300     0.8694     6.1920
08900     0.4421      0.8900     0.8694     6.0098
09000     0.5146      0.8300     0.8754     5.8516
09100     0.5310      0.8400     0.8754     5.9208
09200     0.3947      0.8800     0.8754     5.9747
09300     0.3013      0.8900     0.8754     6.1698
09400     0.6075      0.8000     0.8822     6.3518
09500     0.6237      0.8400     0.8826     6.1325
09600     0.3585      0.8800     0.8826     5.8503
09700     0.4701      0.8300     0.8826     6.0800
09800     0.3853      0.8500     0.8826     6.5812
09900     0.4151      0.8800     0.8835     6.2796
10000     0.3588      0.9000     0.8835     6.1731
10100     0.4138      0.8900     0.8907     6.0900
10200     0.3597      0.8400     0.8935     6.0268
10300     0.2447      0.9200     0.8935     6.9415
10400     0.3122      0.9000     0.8935     5.9278
10500     0.3467      0.8900     0.8935     6.0031
10600     0.2417      0.9100     0.8935     6.3490
10700     0.4445      0.8400     0.8935     6.2882
10800     0.5125      0.8500     0.8935     6.5759
10900     0.4752      0.8400     0.8936     6.0215
11000     0.6142      0.8100     0.8936     5.8224
