Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cy_div=2, cy_scale=2, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', fc_blocks=0, global_beta=1.5, hidden=118, hop_length=320, init_factor=2, learning_rate='0.0005,0.0001,0.00002', lstm_blocks=0, n_mfcc=10, noise_injectionI=0, noise_injectionT=0, pool_method='avg', quant_actMVM=0, quant_actNM=0, quant_inp=3, quant_w=0, sample_rate=16000, silence_percentage=0.1, std_scale=3, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
e70ed15b-6914-4bd3-9874-35c59555d227
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.4876      0.0600     0.0985     3.9721
00100     2.3840      0.1200     0.1648     6.4042
00200     2.1960      0.2100     0.1903     6.4299
00300     2.2653      0.1700     0.1951     6.6770
00400     2.2408      0.1800     0.2167     6.4146
00500     2.2433      0.2200     0.2407     6.4790
00600     2.1627      0.2200     0.2407     6.2801
00700     2.1722      0.2100     0.2407     6.7690
00800     2.0186      0.2800     0.2407     5.9417
00900     1.9912      0.2400     0.2407     6.0826
01000     1.8135      0.3600     0.2565     6.0526
01100     2.0288      0.2600     0.2575     5.6200
01200     1.8883      0.3000     0.3124     5.5396
01300     1.8746      0.2600     0.3393     5.4975
01400     1.7804      0.4100     0.3546     5.7817
01500     1.8394      0.3300     0.3612     5.6970
01600     1.7331      0.3500     0.3612     5.2703
01700     1.8056      0.3600     0.3784     5.4247
01800     1.8420      0.3600     0.3784     5.8127
01900     1.6645      0.4600     0.3857     6.0901
02000     1.6421      0.4800     0.4547     6.4567
02100     1.6645      0.3700     0.4547     5.8122
02200     1.5711      0.4300     0.4839     5.6423
02300     1.4449      0.5000     0.5015     5.6174
02400     1.4022      0.4900     0.5015     5.8019
02500     1.2866      0.5400     0.5015     5.7093
02600     1.4052      0.5200     0.5049     5.5708
02700     1.1022      0.6400     0.5554     5.4852
02800     1.3229      0.5300     0.5554     5.6430
02900     1.1884      0.6200     0.5841     5.9109
03000     1.2062      0.5700     0.5868     5.9475
03100     1.4475      0.5000     0.5868     5.9891
