Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cy_div=2, cy_scale=2, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', fc_blocks=0, global_beta=1.5, hidden=118, hop_length=320, init_factor=2, learning_rate='0.0005,0.0001,0.00002', lstm_blocks=0, n_mfcc=10, noise_injectionI=0, noise_injectionT=0, pool_method='avg', quant_actMVM=0, quant_actNM=0, quant_inp=3, quant_w=0, sample_rate=16000, silence_percentage=0.1, std_scale=3, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
6ef594c1-9f37-49bf-b045-489dccbe4b11
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.4876      0.0600     0.0979     4.7998
00100     2.4259      0.1600     0.1545     7.5513
00200     2.1612      0.2300     0.2006     7.6423
00300     2.2156      0.1900     0.2102     7.9149
00400     2.1483      0.2000     0.2368     8.7073
00500     2.0987      0.2300     0.2368     7.8802
00600     2.2380      0.1800     0.2535     7.5036
00700     1.9972      0.2200     0.2535     6.5300
00800     1.9753      0.2700     0.2535     6.3407
00900     1.9859      0.2300     0.2681     7.1695
01000     1.8594      0.2700     0.2875     6.9085
01100     2.0766      0.2300     0.2945     7.1181
01200     1.8880      0.2900     0.2976     7.7970
01300     2.0230      0.2400     0.2976     7.4807
01400     2.1174      0.1900     0.2976     8.3484
01500     1.8541      0.3400     0.3465     7.2629
01600     1.6556      0.3500     0.3485     7.2616
01700     1.7519      0.4100     0.3896     8.0040
01800     1.4559      0.4800     0.4364     6.9006
01900     1.4477      0.4600     0.4453     7.7130
02000     1.4553      0.4700     0.4740     7.5506
02100     1.2465      0.5600     0.5125     7.1877
02200     1.3047      0.5000     0.5197     7.9269
02300     1.2644      0.5200     0.5374     8.4349
02400     1.1325      0.6600     0.5808     8.2605
02500     1.1287      0.5600     0.5808     8.1493
02600     1.4353      0.5500     0.5886     7.7225
02700     1.2786      0.5600     0.6026     7.8525
02800     1.0206      0.6600     0.6182     8.1539
02900     0.9548      0.6800     0.6264     8.8001
03000     1.1578      0.5800     0.6453     8.5353
03100     1.0395      0.6900     0.6453     8.0692
03200     0.9057      0.6700     0.6453     8.2301
03300     1.0090      0.6200     0.6575     7.9416
03400     1.1138      0.6300     0.6575     8.3341
03500     0.8452      0.7300     0.6702     7.6055
03600     0.8406      0.7500     0.6702     7.6738
03700     0.7270      0.7700     0.6764     7.0552
03800     0.8752      0.7000     0.6778     7.1822
03900     0.9272      0.6900     0.6975     7.2857
04000     0.9500      0.7200     0.7034     6.7655
04100     0.8962      0.6400     0.7034     6.7551
04200     0.9437      0.6900     0.7034     7.1895
04300     0.9471      0.7200     0.7049     7.5231
04400     0.7624      0.7300     0.7049     7.2900
04500     0.7413      0.7400     0.7229     7.0379
04600     1.1035      0.6400     0.7304     8.0661
04700     0.8483      0.6700     0.7304     7.4507
04800     0.8693      0.7600     0.7304     7.5500
04900     0.9589      0.6900     0.7343     8.0387
05000     0.8034      0.7600     0.7409     7.8871
05100     0.7618      0.7400     0.7409     7.3818
05200     0.8201      0.7200     0.7409     7.7278
05300     0.8394      0.7400     0.7409     7.2955
05400     0.9382      0.6600     0.7487     7.9863
05500     0.7619      0.7300     0.7487     7.4648
05600     0.6276      0.8200     0.7566     7.0526
05700     0.5120      0.8000     0.7656     8.0137
05800     0.6531      0.7900     0.7696     7.3165
05900     0.7514      0.7300     0.7696     7.2975
06000     0.7823      0.7400     0.7696     8.1633
06100     0.7993      0.7900     0.7696     7.5195
06200     0.6140      0.8000     0.7696     7.4953
06300     0.7547      0.7800     0.7780     7.3988
06400     0.6507      0.8400     0.7792     7.7381
06500     0.6333      0.7700     0.7792     7.4791
06600     0.7354      0.7700     0.7792     7.8649
06700     0.7594      0.7400     0.7792     8.8288
06800     0.8983      0.7300     0.7792     7.7328
06900     0.5487      0.8300     0.7792     7.6842
07000     0.5390      0.8000     0.7889     8.0060
07100     0.5626      0.8300     0.7889     7.6301
07200     0.7039      0.7700     0.7889     7.9857
07300     0.6115      0.8300     0.7889     8.1092
07400     0.7072      0.7800     0.7901     7.7265
07500     0.6018      0.8600     0.7950     7.7632
07600     0.6444      0.7900     0.7950     7.6464
07700     0.7682      0.7500     0.7950     7.6962
07800     0.5369      0.8000     0.7950     7.8586
07900     0.5827      0.8100     0.7950     7.8618
08000     0.6647      0.7900     0.7950     7.5885
08100     0.8204      0.7000     0.7966     7.6822
08200     0.5286      0.8300     0.7966     7.5278
08300     0.5557      0.8100     0.7966     7.4212
08400     0.5587      0.7900     0.7966     8.2466
08500     0.5542      0.8200     0.7998     7.9383
08600     0.7438      0.7900     0.8037     7.8681
08700     0.4493      0.8400     0.8037     7.9343
08800     0.4859      0.8500     0.8037     7.4878
08900     0.4440      0.8600     0.8037     7.2510
09000     0.5324      0.7800     0.8037     6.5730
09100     0.6254      0.8000     0.8092     7.1865
09200     0.6110      0.7900     0.8092     7.0812
09300     0.5872      0.7900     0.8092     7.6352
09400     0.4346      0.8500     0.8177     8.2756
09500     0.4246      0.8400     0.8177     7.1976
09600     0.4915      0.8400     0.8177     7.6734
09700     0.5778      0.7800     0.8177     7.6081
09800     0.4800      0.8200     0.8177     7.6080
09900     0.5735      0.8100     0.8177     7.8227
