Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cy_div=2, cy_scale=2, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', fc_blocks=0, global_beta=1.5, hidden=118, hop_length=320, init_factor=2, learning_rate='0.0005,0.0001,0.00002', lstm_blocks=0, n_mfcc=10, noise_injectionI=0, noise_injectionT=0, pool_method='avg', quant_actMVM=0, quant_actNM=0, quant_inp=4, quant_w=0, sample_rate=16000, silence_percentage=0.1, std_scale=3, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
12c9fea9-9a18-4b5f-837c-c85fd805fc0d
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.4878      0.0800     0.1011     3.7554
00100     2.3674      0.1100     0.1363     6.2575
00200     2.2203      0.1900     0.1883     5.9444
00300     2.2333      0.1700     0.2039     6.2464
00400     2.1491      0.1900     0.2106     5.9042
00500     2.3308      0.2300     0.2245     6.1485
00600     2.2459      0.1800     0.2286     5.6417
00700     2.0360      0.2600     0.2390     5.8124
00800     1.9251      0.3100     0.2629     5.5343
00900     1.8697      0.3100     0.2994     5.4391
01000     1.7552      0.3300     0.3353     5.4291
01100     1.8933      0.2400     0.3397     5.7391
01200     2.0702      0.2200     0.3397     5.9163
01300     1.8526      0.2900     0.3397     6.0872
01400     1.9793      0.2400     0.3397     5.7578
01500     1.6037      0.3200     0.3397     6.5506
01600     1.6728      0.3700     0.3517     6.1148
01700     1.5662      0.3100     0.3899     7.4023
01800     1.5517      0.3900     0.4115     5.3594
01900     1.5700      0.4300     0.4115     6.0304
02000     1.4956      0.4000     0.4115     6.3860
02100     1.4961      0.4100     0.4115     5.8230
02200     1.5201      0.3800     0.4457     5.8188
02300     1.3881      0.5300     0.4536     5.7040
02400     1.2759      0.4900     0.4716     5.6254
02500     1.4226      0.3600     0.4996     5.5671
02600     1.2931      0.5500     0.5028     5.5276
02700     1.2875      0.5100     0.5245     5.7076
02800     1.1421      0.5300     0.5245     5.3876
02900     1.1597      0.6100     0.5907     5.3188
03000     1.0691      0.6500     0.6171     5.5957
03100     1.2914      0.5600     0.6437     5.7063
03200     1.0966      0.6600     0.6459     5.7424
03300     0.9948      0.6500     0.6459     5.5087
03400     0.9671      0.6700     0.6745     6.2250
03500     0.8038      0.6900     0.6921     5.7332
03600     1.1592      0.6200     0.6923     5.5428
03700     1.0402      0.6200     0.6923     6.1270
03800     0.8520      0.7200     0.7211     5.9167
03900     0.9224      0.6200     0.7211     5.5483
04000     0.8233      0.7700     0.7211     6.1803
04100     0.9551      0.7000     0.7323     6.4283
04200     0.8061      0.7200     0.7438     5.9517
04300     0.8036      0.7300     0.7438     5.6554
04400     0.6466      0.8000     0.7490     6.3218
04500     0.6979      0.7600     0.7490     5.8767
04600     0.6881      0.7900     0.7662     6.0314
04700     0.6396      0.7900     0.7681     6.0986
04800     0.6583      0.7800     0.7699     6.1520
04900     0.6834      0.8100     0.7726     6.1540
05000     0.6836      0.8000     0.7726     6.3894
