Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cy_div=2, cy_scale=2, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', fc_blocks=0, global_beta=1.5, hidden=118, hop_length=320, init_factor=2, learning_rate='0.0005,0.0001,0.00002', lstm_blocks=0, n_mfcc=10, noise_injectionI=0, noise_injectionT=0, pool_method='avg', quant_actMVM=0, quant_actNM=0, quant_inp=7, quant_w=0, sample_rate=16000, silence_percentage=0.1, std_scale=3, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
c4ee0bf6-5d97-47bf-a3ac-886c98d7a987
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.4892      0.1000     0.0914     4.1009
00100     2.3483      0.1400     0.1874     5.7080
00200     2.1880      0.1800     0.1874     5.4234
00300     2.2931      0.1600     0.2007     5.9276
00400     2.2332      0.1500     0.2280     5.9920
00500     2.1864      0.2500     0.2280     5.8236
00600     2.1547      0.2400     0.2280     5.6300
00700     2.0787      0.2300     0.2512     6.1781
00800     2.0104      0.2800     0.2512     5.5994
00900     1.9423      0.3200     0.2716     5.0587
01000     1.7566      0.3100     0.2890     5.7701
01100     1.9085      0.2800     0.3027     5.4774
01200     1.8557      0.2600     0.3119     6.0029
01300     1.8060      0.3000     0.3119     6.0055
01400     1.6494      0.3700     0.3888     5.6228
01500     1.5550      0.4300     0.4127     5.3935
01600     1.5696      0.4300     0.4256     5.2789
01700     1.7590      0.3900     0.4256     6.6394
01800     1.4347      0.4000     0.4393     5.4249
01900     1.3879      0.5000     0.4756     5.4239
02000     1.3051      0.5400     0.4822     5.4019
02100     1.3697      0.5200     0.5001     5.3526
02200     1.7436      0.3700     0.5001     5.1121
02300     1.5701      0.4700     0.5357     5.4351
02400     1.1327      0.6000     0.5574     4.8608
02500     1.2577      0.6000     0.5804     4.7749
02600     1.0122      0.6300     0.5821     4.6466
