Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cy_div=2, cy_scale=2, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', fc_blocks=0, global_beta=1.5, hidden=118, hop_length=320, init_factor=2, learning_rate='0.0005,0.0001,0.00002', lstm_blocks=0, n_mfcc=10, noise_injectionI=0, noise_injectionT=0, pool_method='avg', quant_actMVM=0, quant_actNM=0, quant_inp=8, quant_w=0, sample_rate=16000, silence_percentage=0.1, std_scale=3, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
f6d8f7a0-155a-4cc3-9322-5e09fae96edc
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.4895      0.0700     0.0917     4.0467
00100     2.4065      0.1500     0.1918     6.3005
00200     2.1532      0.2300     0.1945     6.6711
00300     2.2982      0.1300     0.1945     6.3470
00400     2.2348      0.1900     0.2136     6.3035
00500     2.1145      0.2000     0.2231     6.4016
00600     2.1031      0.1800     0.2449     5.9824
00700     1.9237      0.2200     0.2567     6.2110
00800     1.9552      0.3200     0.2568     6.1138
00900     1.9607      0.2000     0.2660     5.8522
01000     1.7892      0.3100     0.2960     5.6657
01100     1.8676      0.3400     0.3460     5.3222
01200     1.8773      0.3500     0.3460     5.2013
01300     1.5652      0.3700     0.3877     5.3940
01400     1.8025      0.3300     0.3877     5.2328
01500     1.6575      0.3600     0.3877     5.4916
01600     1.5252      0.4700     0.4216     5.7980
01700     1.4785      0.3700     0.4298     6.3468
01800     1.6935      0.3300     0.4298     5.4887
01900     1.4820      0.4400     0.4298     5.7957
02000     1.4871      0.4900     0.4876     6.0673
02100     1.2550      0.4900     0.5061     5.7749
02200     1.4289      0.4300     0.5164     5.6590
02300     1.3964      0.5100     0.5493     5.6138
02400     1.2106      0.5500     0.5639     5.5025
02500     1.2907      0.5700     0.6033     5.6903
02600     1.1514      0.5400     0.6269     5.6196
02700     1.0283      0.6400     0.6269     5.6820
02800     1.1903      0.5900     0.6341     5.4893
02900     1.0546      0.6300     0.6937     5.4746
03000     1.0079      0.6600     0.7038     5.4557
03100     1.1683      0.6400     0.7038     5.6057
03200     0.8679      0.6800     0.7038     5.3186
03300     0.9487      0.6800     0.7038     5.7242
03400     0.8702      0.7100     0.7391     7.1614
03500     0.8806      0.7500     0.7391     5.4744
03600     0.9036      0.7100     0.7512     5.9217
03700     0.9506      0.7300     0.7512     6.0779
03800     0.7856      0.7100     0.7568     6.2385
03900     0.8000      0.7700     0.7635     6.0042
04000     0.9655      0.7000     0.7635     5.7341
04100     0.9197      0.7200     0.7635     5.8407
04200     1.0258      0.6500     0.7635     5.6350
04300     0.8149      0.7600     0.7667     5.5597
04400     0.7667      0.7300     0.7850     5.8655
04500     0.6199      0.8200     0.7850     5.8067
04600     1.0204      0.7300     0.7856     5.6540
04700     0.8740      0.7200     0.7856     5.5824
04800     0.6134      0.7600     0.7856     5.6608
04900     0.6582      0.7800     0.7996     5.9728
05000     0.8225      0.7200     0.7996     5.5677
05100     0.8656      0.7400     0.8116     6.8727
05200     0.5588      0.8200     0.8116     5.7767
05300     0.6309      0.7800     0.8268     5.5160
05400     0.7416      0.7800     0.8268     5.7252
05500     0.7062      0.7200     0.8326     5.7666
05600     0.6159      0.8100     0.8326     5.6891
05700     0.5451      0.8300     0.8326     5.7742
05800     0.6332      0.7400     0.8326     5.3775
