Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', hidden=118, hop_length=320, learning_rate='0.0005,0.0001,0.00002', n_mfcc=35, noise_injectionT=0.1, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=0, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
42e03d68-4f5d-4302-a972-19872927aa59
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6051      0.0400     0.0943     9.2889
00100     2.4339      0.1300     0.1816     22.6442
00200     2.3348      0.1200     0.2175     23.1916
00300     2.3335      0.1500     0.2311     23.1048
00400     2.2026      0.2600     0.2591     22.9212
00500     2.1887      0.2300     0.2781     24.3809
00600     2.2510      0.2200     0.2781     22.3064
00700     2.1765      0.2600     0.2945     22.4805
00800     1.9867      0.2800     0.2945     22.8794
00900     2.1697      0.2100     0.3020     23.1388
01000     2.2125      0.1900     0.3036     22.6507
01100     2.1555      0.2000     0.3062     22.7995
01200     2.0944      0.2200     0.3145     22.7022
01300     2.1478      0.2600     0.3310     22.8548
01400     2.3475      0.1800     0.3361     22.8569
01500     2.0756      0.2400     0.3361     23.2330
01600     2.0209      0.3600     0.3361     22.6433
01700     2.2642      0.2400     0.3361     23.1387
01800     2.0986      0.3000     0.3361     24.7217
01900     2.1927      0.1900     0.3442     23.0939
02000     2.1633      0.2200     0.3442     22.6364
02100     2.0330      0.2900     0.3442     22.9379
02200     2.0203      0.2900     0.3442     23.0251
02300     2.0814      0.2700     0.3499     23.3604
02400     2.2502      0.2500     0.3499     22.6596
02500     2.0326      0.2200     0.3499     23.0213
02600     2.0990      0.2400     0.3499     23.0111
02700     1.9611      0.4000     0.3499     22.7611
02800     2.0329      0.2800     0.3499     23.2656
02900     2.3483      0.2300     0.3558     23.0741
03000     2.0980      0.2700     0.3558     22.6976
03100     2.1262      0.2800     0.3558     24.9753
03200     2.1923      0.1900     0.3558     23.7876
03300     2.2169      0.2000     0.3558     23.2157
03400     2.2658      0.2100     0.3558     23.0579
03500     2.0407      0.3200     0.3558     23.0892
03600     2.2135      0.2900     0.3558     22.9352
03700     2.1067      0.2700     0.3558     22.9506
03800     2.0979      0.2500     0.3558     23.1869
03900     2.2182      0.2100     0.3558     22.8660
04000     2.0036      0.2800     0.3558     23.6261
04100     2.3490      0.2300     0.3558     22.9588
04200     2.0854      0.3300     0.3579     23.5518
04300     1.8601      0.3500     0.3579     23.2609
04400     2.2883      0.2700     0.3579     24.8356
04500     2.1245      0.3100     0.3579     22.9505
04600     2.2112      0.2700     0.3579     23.4424
04700     2.3058      0.3000     0.3579     23.0232
04800     2.2673      0.2700     0.3579     22.5566
04900     2.0787      0.2300     0.3579     23.3586
05000     2.1771      0.2600     0.3579     22.4820
05100     2.2690      0.2600     0.3579     23.0900
05200     2.2557      0.2100     0.3619     22.5360
05300     2.2018      0.3100     0.3619     24.0183
05400     2.2872      0.2700     0.3619     23.3700
05500     2.0362      0.3100     0.3619     24.0771
05600     2.2979      0.3100     0.3619     23.4777
05700     2.1833      0.2900     0.3619     24.5053
05800     2.4718      0.2600     0.3619     23.7307
05900     2.4428      0.2600     0.3619     22.9478
06000     2.3077      0.3100     0.3619     22.5047
06100     2.1118      0.3100     0.3619     22.7807
06200     2.2465      0.2700     0.3619     23.8623
06300     2.2847      0.3000     0.3619     23.8358
06400     2.4665      0.2300     0.3619     22.7671
06500     2.4800      0.2000     0.3619     23.1951
06600     2.2409      0.2700     0.3619     23.2281
06700     2.2022      0.3100     0.3619     22.8485
06800     2.0939      0.2900     0.3619     22.4764
06900     2.6372      0.2400     0.3619     22.5249
07000     2.2027      0.2700     0.3619     23.8527
07100     2.3892      0.3000     0.3619     23.6093
07200     2.6323      0.1800     0.3619     23.3606
07300     2.0985      0.3500     0.3619     23.4885
07400     2.1667      0.2900     0.3619     22.8693
07500     2.0353      0.3600     0.3619     22.7008
07600     2.6135      0.2300     0.3619     22.7631
07700     2.3761      0.2300     0.3619     23.2049
07800     2.6113      0.2100     0.3619     22.9203
07900     2.1075      0.3100     0.3619     23.0716
08000     2.4344      0.2900     0.3619     23.6267
08100     2.6801      0.2200     0.3619     23.3799
08200     2.4354      0.2900     0.3619     23.0676
08300     2.8051      0.1800     0.3619     23.6901
08400     2.1535      0.3300     0.3619     23.9644
08500     2.3380      0.2800     0.3619     23.3378
08600     2.2799      0.3000     0.3619     24.1943
08700     2.3155      0.2600     0.3619     23.4257
08800     2.0913      0.3700     0.3619     22.9852
08900     2.3954      0.3200     0.3619     23.4501
09000     2.7032      0.2600     0.3619     23.4116
09100     2.0571      0.3500     0.3619     23.4383
09200     2.3797      0.3400     0.3619     22.8817
09300     2.2851      0.2900     0.3619     23.0631
09400     2.7536      0.2800     0.3619     23.3435
09500     2.1785      0.2800     0.3619     23.2401
09600     2.6267      0.2200     0.3619     23.9677
09700     2.3870      0.3000     0.3619     23.6090
09800     2.3789      0.3100     0.3619     23.6296
09900     2.1757      0.3400     0.3619     22.9463
10000     2.6428      0.2300     0.3619     23.2280
10100     2.1939      0.3300     0.3619     22.7800
10200     2.5982      0.2400     0.3619     22.8420
10300     2.6408      0.2300     0.3619     22.8081
10400     2.5640      0.2400     0.3619     22.7392
10500     2.7090      0.2600     0.3619     22.6178
10600     2.6163      0.2200     0.3619     22.9362
10700     2.8746      0.2200     0.3619     23.7772
10800     2.3721      0.2400     0.3619     23.4181
10900     2.3599      0.3200     0.3619     23.9266
11000     2.6690      0.2200     0.3619     23.6073
11100     2.3209      0.2400     0.3619     23.8433
11200     2.5709      0.2400     0.3619     23.2450
11300     2.8034      0.2000     0.3619     23.2362
11400     2.5218      0.2300     0.3619     23.2732
11500     2.2335      0.3000     0.3619     22.9701
11600     2.2797      0.3100     0.3619     23.0071
11700     2.5874      0.3100     0.3619     23.2870
11800     2.6752      0.2100     0.3619     23.3671
11900     2.0342      0.3400     0.3619     23.1405
12000     2.5409      0.2500     0.3619     22.7196
12100     2.6722      0.2500     0.3619     23.0945
12200     2.7694      0.1900     0.3619     24.1700
12300     2.2955      0.3300     0.3619     24.3708
12400     2.5762      0.2500     0.3619     23.1074
12500     2.6695      0.2000     0.3619     22.8968
12600     2.4012      0.2000     0.3619     23.7533
12700     2.3253      0.2300     0.3619     23.3499
12800     2.4132      0.3000     0.3619     23.5257
12900     2.5329      0.2900     0.3619     23.7990
13000     2.3460      0.3400     0.3619     23.7322
13100     2.3911      0.2800     0.3619     23.2954
13200     3.3355      0.2900     0.3619     22.8940
13300     2.1362      0.3500     0.3619     23.6101
13400     2.7517      0.2600     0.3619     23.5435
13500     2.8189      0.1700     0.3619     24.1535
13600     2.5038      0.2800     0.3619     23.8247
13700     2.4135      0.2600     0.3619     23.3811
13800     2.5430      0.2800     0.3619     22.9450
13900     2.5653      0.2700     0.3619     23.0979
14000     2.5020      0.2400     0.3619     23.4345
14100     2.4868      0.2600     0.3619     23.6707
14200     2.5362      0.2700     0.3619     23.5733
14300     2.6320      0.3000     0.3619     23.2771
14400     2.4809      0.3300     0.3619     24.7121
14500     2.4060      0.2900     0.3619     23.1521
14600     2.5607      0.2800     0.3619     23.3291
14700     2.2498      0.3000     0.3619     23.2049
14800     2.4380      0.2000     0.3619     24.4022
14900     2.4653      0.2000     0.3619     24.7546
15000     2.2017      0.2600     0.3619     23.8800
15100     2.5755      0.2800     0.3619     23.5851
15200     2.4230      0.2500     0.3619     23.1833
15300     2.3770      0.2900     0.3619     23.5845
15400     2.2931      0.2800     0.3619     22.8052
15500     2.7269      0.2700     0.3619     22.9441
15600     2.4737      0.2200     0.3619     22.9414
15700     2.3519      0.2700     0.3619     23.3246
15800     2.5219      0.2000     0.3619     23.6222
15900     2.4801      0.2800     0.3619     22.9732
16000     2.6874      0.2600     0.3619     23.3200
16100     2.6362      0.2800     0.3619     25.1554
16200     2.3118      0.3100     0.3619     24.1458
16300     2.4871      0.2600     0.3619     23.3155
16400     2.3003      0.3400     0.3619     23.1630
16500     2.5124      0.3200     0.3619     23.5085
16600     2.5637      0.2800     0.3619     23.2816
16700     2.6766      0.2000     0.3619     22.9782
16800     3.4047      0.1800     0.3619     23.4562
16900     2.6606      0.2800     0.3619     23.1318
17000     2.9802      0.2300     0.3619     23.0968
17100     2.7681      0.2700     0.3619     22.9344
17200     2.7383      0.2800     0.3619     23.2910
17300     2.3848      0.2800     0.3619     23.6048
17400     2.5903      0.2100     0.3619     24.4727
17500     2.3045      0.2700     0.3619     23.3835
17600     2.9633      0.2800     0.3619     23.0212
17700     2.6545      0.1700     0.3619     23.0678
17800     2.6751      0.2700     0.3619     23.0339
17900     2.3148      0.2500     0.3619     22.9842
18000     2.2277      0.2500     0.3619     23.1145
18100     2.3839      0.2700     0.3619     23.2345
18200     2.6426      0.3700     0.3619     23.2253
18300     3.3796      0.1900     0.3619     22.7410
18400     3.0512      0.1500     0.3619     23.4414
18500     2.8745      0.2200     0.3619     23.4981
18600     2.7516      0.1800     0.3619     23.3536
18700     2.6849      0.2100     0.3619     24.1593
18800     2.8424      0.2600     0.3619     23.6881
18900     2.6258      0.2300     0.3619     24.1614
19000     2.5637      0.3100     0.3619     23.4965
19100     2.5233      0.3100     0.3619     23.4441
19200     2.3596      0.2600     0.3619     23.3783
19300     2.6271      0.3100     0.3619     23.3978
19400     2.3930      0.3300     0.3619     23.8203
19500     2.4126      0.2700     0.3619     23.9388
19600     2.3588      0.2600     0.3619     23.8679
19700     2.2540      0.3100     0.3619     23.7650
19800     2.5649      0.2500     0.3619     23.6303
19900     2.7742      0.2600     0.3619     22.8935
20000     2.7003      0.2500     0.3619     25.2207
20100     2.6495      0.2600     0.3619     23.8703
20200     2.3930      0.3200     0.3619     23.0544
20300     2.5424      0.3300     0.3619     23.6813
20400     2.7085      0.3000     0.3619     23.5944
20500     2.9531      0.2500     0.3619     23.3199
20600     2.2007      0.2700     0.3619     24.9186
20700     2.2743      0.3100     0.3619     27.2218
20800     2.2696      0.3600     0.3619     26.6217
20900     2.3482      0.3100     0.3619     27.0676
