Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cy_div=2, cy_scale=2, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', fc_blocks=0, global_beta=1.5, hidden=118, hop_length=320, init_factor=2, inp_mean=-1.9685, inp_std=10.8398, learning_rate='0.0005,0.0001,0.00002', lstm_blocks=0, n_mfcc=10, noise_injectionI=0, noise_injectionT=0, pool_method='avg', quant_actMVM=0, quant_actNM=0, quant_inp=0, quant_w=0, sample_rate=16000, silence_percentage=0.1, std_scale=3, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
b2de08c7-7c99-41a5-a12f-fdf26d25b6fd
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.4887      0.0700     0.0759     4.1508
00100     2.4222      0.1000     0.1854     4.7142
00200     2.3369      0.1400     0.1854     4.3317
00300     2.2361      0.1800     0.2219     6.1330
00400     2.1040      0.2200     0.2295     6.4565
00500     2.1373      0.2600     0.2505     6.5833
00600     2.0082      0.2400     0.2664     6.8872
00700     2.1137      0.2200     0.2784     6.6573
00800     2.0544      0.1900     0.2833     6.5660
00900     1.9181      0.2500     0.2845     6.5688
01000     1.9789      0.1900     0.2899     7.0042
01100     2.0072      0.2300     0.2913     7.2731
01200     1.8859      0.2400     0.3133     6.3660
01300     1.6621      0.4500     0.3178     6.4515
01400     1.8265      0.3300     0.3496     6.7722
01500     1.9552      0.2900     0.3732     6.6463
01600     1.5098      0.3800     0.3927     6.4418
01700     1.7948      0.3200     0.4160     7.7931
01800     1.7746      0.3400     0.4563     5.8965
01900     1.4872      0.4800     0.4563     5.8039
02000     1.6591      0.4200     0.4568     6.1234
02100     1.6474      0.3900     0.4949     7.1000
02200     1.4304      0.5600     0.5054     6.8712
02300     1.4306      0.5400     0.5054     6.6259
02400     1.3739      0.4300     0.5054     6.6283
02500     1.3558      0.5200     0.5638     6.6134
02600     1.3765      0.5500     0.5884     6.4039
02700     1.0053      0.6500     0.6111     6.0312
02800     1.1478      0.5400     0.6111     6.0050
02900     1.1373      0.6400     0.6547     5.9421
03000     1.1047      0.5600     0.6547     5.6556
03100     0.9292      0.6900     0.6723     6.0300
03200     0.9021      0.7100     0.6792     6.1427
03300     1.2437      0.5500     0.6849     6.0719
03400     0.9123      0.7400     0.7064     7.0515
03500     1.0980      0.6000     0.7064     7.1191
03600     0.7115      0.7500     0.7291     7.0765
03700     0.9226      0.7000     0.7291     6.5888
03800     0.9107      0.6600     0.7446     6.7700
03900     0.8985      0.6700     0.7446     7.0913
04000     0.8509      0.7100     0.7446     6.7133
04100     0.7644      0.7800     0.7513     7.2229
04200     0.6604      0.8100     0.7554     7.5339
04300     0.8412      0.7600     0.7659     6.8650
04400     0.7693      0.7700     0.7672     6.4118
04500     0.5859      0.7700     0.7683     6.2640
04600     0.8419      0.6500     0.7748     6.3682
04700     0.8358      0.6900     0.7849     6.3905
04800     0.7347      0.7500     0.7849     6.0857
04900     0.8087      0.7600     0.8006     6.1874
05000     0.7400      0.7200     0.8006     5.9649
