Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cy_div=2, cy_scale=2, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', fc_blocks=0, global_beta=1.5, hidden=118, hop_length=320, init_factor=2, inp_mean=0, inp_std=128, learning_rate='0.0005,0.0001,0.00002', lstm_blocks=0, n_mfcc=10, noise_injectionI=0, noise_injectionT=0.1, pool_method='avg', quant_actMVM=3, quant_actNM=3, quant_inp=3, quant_w=3, sample_rate=16000, silence_percentage=0.1, std_scale=1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
e91e0145-783f-41f5-8a08-749861296529
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5723      0.0300     0.0988     9.0682
00100     2.5378      0.0800     0.0988     24.9646
00200     2.5057      0.2000     0.1090     25.4487
00300     2.5381      0.0600     0.1090     26.2195
00400     2.5635      0.1000     0.1090     25.4876
00500     2.5838      0.0300     0.1090     24.4289
00600     2.5742      0.0600     0.1090     26.0537
00700     2.5372      0.1000     0.1090     25.2507
Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cy_div=2, cy_scale=2, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', fc_blocks=0, global_beta=1.5, hidden=118, hop_length=320, init_factor=2, inp_mean=0, inp_std=128, learning_rate='0.0005,0.0001,0.00002', lstm_blocks=0, n_mfcc=10, noise_injectionT=0.1, pool_method='avg', quant_actMVM=3, quant_actNM=3, quant_inp=3, quant_w=3, sample_rate=16000, silence_percentage=0.1, std_scale=1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
57f2d44e-076e-400d-8b9f-a148b1ff38af
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5723      0.0300     0.0988     8.9076
00100     2.5378      0.0800     0.0988     25.3219
00200     2.4959      0.1000     0.0988     24.1084
00300     2.5326      0.1200     0.0988     24.4629
00400     2.5452      0.0500     0.0988     26.8822
00500     2.5443      0.0900     0.0988     24.5546
00600     2.5869      0.0700     0.0988     25.6196
00700     2.5079      0.1000     0.0988     24.2583
00800     2.5491      0.0800     0.0988     24.6470
00900     2.5357      0.0600     0.0988     23.8600
01000     2.4800      0.1100     0.0988     24.2543
01100     2.5166      0.1100     0.0988     24.3883
01200     2.5099      0.0400     0.0988     23.9104
01300     2.5005      0.0400     0.0988     24.2108
01400     2.4914      0.0900     0.0988     23.6128
01500     2.4895      0.0400     0.0988     24.0639
01600     2.4808      0.1000     0.0988     25.1350
01700     2.5252      0.0600     0.0988     24.9778
01800     2.4957      0.1200     0.0988     23.8648
01900     2.4971      0.1200     0.0988     24.2816
02000     2.4850      0.0800     0.0988     24.9089
02100     2.4932      0.0700     0.0988     23.6252
02200     2.4807      0.0700     0.0988     25.5269
02300     2.4966      0.1100     0.0988     23.8814
02400     2.4703      0.0600     0.0988     25.1030
02500     2.4830      0.0700     0.0988     24.2449
02600     2.4785      0.0900     0.0988     24.4563
02700     2.5159      0.0200     0.0988     23.8491
02800     2.4724      0.0500     0.0988     24.0568
02900     2.5087      0.0800     0.0988     24.3648
03000     2.5078      0.1100     0.0988     25.8772
03100     2.4708      0.0900     0.0988     26.3073
03200     2.4917      0.1200     0.0988     25.7325
03300     2.4679      0.1100     0.0988     25.0710
03400     2.4737      0.0800     0.0988     23.5776
03500     2.4819      0.0700     0.0988     24.5970
03600     2.4817      0.0700     0.0988     24.8075
03700     2.4759      0.1400     0.0988     25.3126
03800     2.4916      0.1000     0.0988     25.3963
03900     2.4688      0.0600     0.0988     24.2381
04000     2.4991      0.0900     0.0988     27.2974
04100     2.4964      0.0500     0.0988     26.3902
04200     2.4820      0.0700     0.0988     23.9467
04300     2.4954      0.0800     0.0988     24.8313
04400     2.4831      0.0400     0.0988     23.8984
04500     2.5134      0.0400     0.0988     24.3725
04600     2.4998      0.0900     0.0988     23.7889
04700     2.4899      0.1300     0.0988     24.2681
04800     2.4833      0.0500     0.0988     24.2155
04900     2.4838      0.0800     0.0988     23.6266
05000     2.4875      0.0600     0.0988     25.6035
05100     2.4919      0.0600     0.0988     24.3580
05200     2.4822      0.1500     0.0988     25.1809
05300     2.4978      0.0700     0.0988     25.7778
05400     2.4814      0.1000     0.0988     23.9227
05500     2.4898      0.1000     0.0988     25.4911
05600     2.4835      0.0500     0.0988     23.8699
05700     2.4743      0.1000     0.0988     23.8433
05800     2.4934      0.0500     0.0988     26.0026
05900     2.5001      0.0600     0.0988     24.5235
06000     2.4870      0.0400     0.0988     24.5118
06100     2.5287      0.0300     0.0988     24.4583
06200     2.4859      0.0900     0.0988     23.9939
06300     2.4753      0.1400     0.0988     24.7011
06400     2.4862      0.0400     0.0988     24.4117
06500     2.4736      0.0800     0.0988     23.9392
06600     2.4960      0.1000     0.0988     24.1856
06700     2.4646      0.1000     0.0988     24.4591
06800     2.5150      0.0700     0.0988     24.0364
06900     2.4911      0.0500     0.0988     24.3925
07000     2.4811      0.0700     0.0988     24.5998
07100     2.5060      0.0500     0.0988     24.1104
07200     2.4972      0.0900     0.0988     24.0496
07300     2.5119      0.0600     0.0988     25.1596
07400     2.4722      0.0700     0.0988     24.0059
07500     2.4946      0.1300     0.0988     24.3470
07600     2.4849      0.0600     0.0988     24.2260
07700     2.4792      0.1400     0.0988     26.1356
07800     2.5005      0.0500     0.0988     24.5446
07900     2.5013      0.0600     0.0988     26.3118
08000     2.5285      0.0900     0.0988     25.9444
08100     2.4979      0.0500     0.0988     24.8473
08200     2.4800      0.1000     0.0988     24.1142
08300     2.5000      0.0700     0.0988     25.2310
08400     2.4831      0.0500     0.0988     24.4556
08500     2.4894      0.1300     0.0988     24.3150
08600     2.5344      0.0300     0.0988     26.3312
08700     2.4781      0.1800     0.0988     25.8027
08800     2.4941      0.0700     0.0988     24.2706
08900     2.4755      0.1300     0.0988     23.9477
09000     2.4975      0.0900     0.0988     24.0641
09100     2.4873      0.0700     0.0988     24.1652
09200     2.4859      0.1000     0.0988     24.6577
09300     2.4840      0.1000     0.0988     24.3275
09400     2.5104      0.0800     0.0988     25.5062
09500     2.4950      0.0900     0.0988     24.0179
09600     2.4887      0.1000     0.0988     24.2434
09700     2.4939      0.0500     0.0988     24.1040
09800     2.4934      0.0500     0.0988     25.1985
09900     2.4852      0.0600     0.0988     26.7390
10000     2.4791      0.0700     0.0988     24.7721
10100     2.4877      0.0900     0.0988     25.4137
10200     2.5237      0.0500     0.0988     24.2052
10300     2.4975      0.0700     0.0988     24.9504
10400     2.4956      0.0800     0.0988     26.7903
10500     2.4987      0.0800     0.0988     24.3822
10600     2.4876      0.0700     0.0988     24.5591
10700     2.5021      0.1000     0.0988     24.7121
10800     2.4848      0.0900     0.0988     24.9871
10900     2.5065      0.0900     0.0988     24.3625
11000     2.4871      0.0400     0.0988     24.3240
11100     2.4887      0.0600     0.0988     25.0941
11200     2.4690      0.0800     0.0988     23.8415
11300     2.4960      0.0700     0.0988     23.9372
11400     2.5036      0.0600     0.0988     23.4665
11500     2.4979      0.0900     0.0988     24.9744
11600     2.4871      0.0800     0.0988     24.5614
11700     2.4820      0.0800     0.0988     24.6065
11800     2.4872      0.0900     0.0988     23.9189
11900     2.4799      0.0800     0.0988     24.7600
12000     2.4881      0.0900     0.0988     24.3289
12100     2.4958      0.0700     0.0988     26.2853
12200     2.4963      0.0700     0.0988     25.4403
12300     2.5242      0.0900     0.0988     24.7198
12400     2.4857      0.0600     0.0988     23.9506
12500     2.4891      0.0600     0.0988     25.1504
12600     2.4767      0.0500     0.0988     24.6592
12700     2.4861      0.0800     0.0988     24.0164
12800     2.4928      0.0400     0.0988     24.1146
12900     2.4770      0.0600     0.0988     26.6723
13000     2.4935      0.0800     0.0988     24.1560
13100     2.4927      0.1000     0.0988     24.0865
13200     2.4819      0.0400     0.0988     25.8448
13300     2.4966      0.0800     0.0988     23.9471
13400     2.4863      0.0700     0.0988     24.4040
13500     2.4920      0.0600     0.0988     24.2045
13600     2.4701      0.1500     0.0988     25.4044
13700     2.4868      0.0700     0.0988     24.7597
13800     2.5040      0.1000     0.0988     25.3666
13900     2.5058      0.0600     0.0988     23.8892
14000     2.4997      0.0700     0.0988     24.7400
14100     2.4782      0.1200     0.0988     25.8266
14200     2.4790      0.0500     0.0988     24.7794
14300     2.4818      0.1100     0.0988     24.4969
14400     2.4838      0.0500     0.0988     24.4346
14500     2.5080      0.1100     0.0988     25.7245
14600     2.5059      0.0800     0.0988     24.1748
14700     2.4977      0.0800     0.0988     26.1559
14800     2.4809      0.0600     0.0988     25.0955
14900     2.5004      0.1000     0.0988     24.4062
15000     2.4830      0.0400     0.0988     24.7977
15100     2.4921      0.0800     0.0988     23.9254
15200     2.4855      0.1000     0.0988     24.0699
15300     2.4874      0.0800     0.0988     25.1049
15400     2.4954      0.1600     0.0988     24.3595
15500     2.5140      0.0900     0.0988     23.7952
15600     2.4942      0.0800     0.0988     23.8869
15700     2.5072      0.1400     0.0988     25.7866
15800     2.4976      0.0900     0.0988     24.7606
15900     2.4890      0.1100     0.0988     24.5081
16000     2.4948      0.1000     0.0988     24.1664
16100     2.4928      0.0500     0.0988     25.5205
16200     2.4955      0.1000     0.0988     24.8062
16300     2.4754      0.1100     0.0988     26.1642
16400     2.5023      0.0900     0.0988     24.7515
16500     2.4741      0.1000     0.0988     23.9425
16600     2.4674      0.1500     0.0988     25.3035
16700     2.5029      0.1000     0.0988     24.5282
16800     2.5034      0.0600     0.0988     26.0431
16900     2.5105      0.0900     0.0988     25.6610
17000     2.4837      0.0700     0.0988     24.9354
17100     2.4809      0.0900     0.0988     24.1838
17200     2.4704      0.1300     0.0988     23.7058
17300     2.4712      0.0700     0.0988     26.0698
17400     2.4829      0.0800     0.0988     23.8606
17500     2.4790      0.0700     0.0988     25.8432
17600     2.4711      0.1200     0.0988     24.7423
17700     2.4972      0.0700     0.0988     24.3694
17800     2.4927      0.1100     0.0988     25.2524
17900     2.4806      0.1700     0.0988     24.3371
18000     2.4942      0.1300     0.0988     25.0685
18100     2.4803      0.1000     0.0988     24.0982
18200     2.4906      0.1200     0.0988     23.7968
18300     2.4960      0.0500     0.0988     24.6699
18400     2.4913      0.1000     0.0988     26.0328
18500     2.5104      0.0400     0.0988     25.1713
18600     2.5124      0.0700     0.0988     24.1007
18700     2.4965      0.0800     0.0988     25.6364
18800     2.4908      0.0300     0.0988     24.1746
18900     2.5116      0.1000     0.0988     25.4940
19000     2.4765      0.0200     0.0988     25.3837
19100     2.4924      0.0400     0.0988     25.1109
19200     2.5094      0.0500     0.0988     25.5351
19300     2.4907      0.0700     0.0988     24.8492
19400     2.4875      0.0900     0.0988     25.0498
19500     2.5058      0.0900     0.0988     24.9462
19600     2.4870      0.0600     0.0988     23.8670
19700     2.4891      0.1000     0.0988     24.7482
19800     2.4828      0.0900     0.0988     24.4709
19900     2.4782      0.0800     0.0988     24.2136
20000     2.4898      0.0800     0.0988     25.8216
20100     2.4941      0.1000     0.0988     24.2127
20200     2.4877      0.0800     0.0988     25.5536
20300     2.4927      0.0700     0.0988     25.8589
20400     2.4738      0.1300     0.0988     24.9206
20500     2.4919      0.0800     0.0988     25.8755
20600     2.4837      0.1400     0.0988     24.8023
20700     2.5068      0.0600     0.0988     24.6524
20800     2.5011      0.0600     0.0988     24.8151
20900     2.4921      0.0600     0.0988     24.3360
21000     2.5041      0.0700     0.0988     25.0964
21100     2.5050      0.0500     0.0988     25.9885
21200     2.5034      0.0300     0.0988     23.5735
21300     2.4780      0.1000     0.0988     23.7587
21400     2.5002      0.0000     0.0988     24.6233
21500     2.4865      0.0900     0.0988     25.0536
21600     2.4936      0.0700     0.0988     25.6239
21700     2.4725      0.0500     0.0988     23.4575
21800     2.4768      0.1300     0.0988     24.5776
21900     2.4951      0.0700     0.0988     24.8762
22000     2.4811      0.0800     0.0988     25.6593
22100     2.5028      0.0700     0.0988     25.1195
22200     2.4796      0.0800     0.0988     25.1393
22300     2.4919      0.0900     0.0988     24.9083
22400     2.4714      0.1100     0.0988     24.6840
22500     2.4775      0.1100     0.0988     24.3840
22600     2.4611      0.0600     0.0988     23.9959
22700     2.4928      0.0500     0.0988     27.4815
22800     2.4936      0.0700     0.0988     25.0507
22900     2.5095      0.0900     0.0988     24.4214
23000     2.4931      0.1000     0.0988     24.5941
23100     2.5016      0.0400     0.0988     25.3135
23200     2.4769      0.0900     0.0988     24.9083
23300     2.4894      0.0900     0.0988     26.6166
23400     2.4889      0.0800     0.0988     25.6272
23500     2.4875      0.0300     0.0988     25.7202
23600     2.4805      0.0500     0.0988     26.0306
23700     2.5014      0.0800     0.0988     24.1014
23800     2.4721      0.0900     0.0988     25.3341
23900     2.4886      0.1100     0.0988     26.6283
24000     2.4773      0.0600     0.0988     25.3221
24100     2.4808      0.0600     0.0988     25.8072
24200     2.5039      0.0400     0.0988     27.0254
24300     2.5162      0.0500     0.0988     25.4213
24400     2.4636      0.0800     0.0988     25.8768
24500     2.4879      0.0800     0.0988     24.3587
24600     2.4803      0.1100     0.0988     25.8512
24700     2.4803      0.1200     0.0988     24.8369
24800     2.4965      0.1100     0.0988     24.7243
24900     2.4757      0.0500     0.0988     25.5420
25000     2.4802      0.0600     0.0988     24.2917
25100     2.4752      0.0300     0.0988     26.0375
25200     2.4808      0.1500     0.0988     25.8446
25300     2.4896      0.0900     0.0988     26.3537
25400     2.5094      0.1000     0.0988     25.7084
25500     2.4827      0.0800     0.0988     25.7905
25600     2.4946      0.0800     0.0988     24.9406
25700     2.4899      0.1400     0.0988     25.8732
25800     2.4814      0.0900     0.0988     24.6313
25900     2.4745      0.1000     0.0988     26.3284
26000     2.4846      0.0600     0.0988     24.9907
26100     2.4703      0.1200     0.0988     25.7223
26200     2.4920      0.0300     0.0988     25.9530
26300     2.5071      0.0900     0.0988     25.8271
26400     2.4922      0.1000     0.0988     25.6511
26500     2.4980      0.0400     0.0988     26.1461
26600     2.4741      0.0600     0.0988     24.6640
26700     2.4923      0.0800     0.0988     25.0860
26800     2.5056      0.0900     0.0988     25.3789
26900     2.4930      0.1300     0.0988     25.8198
27000     2.4788      0.0600     0.0988     26.4023
27100     2.4975      0.1000     0.0988     24.6099
27200     2.4725      0.1200     0.0988     24.1909
27300     2.4644      0.1100     0.0988     26.0231
27400     2.5118      0.0700     0.0988     25.3096
27500     2.4870      0.0600     0.0988     25.3688
27600     2.4715      0.0900     0.0988     24.3507
27700     2.5086      0.0600     0.0988     25.3997
27800     2.4776      0.0900     0.0988     24.5669
27900     2.4852      0.0700     0.0988     25.0179
28000     2.4901      0.0900     0.0988     25.3738
28100     2.5060      0.0800     0.0988     24.0884
28200     2.5133      0.1200     0.0988     25.5826
28300     2.4897      0.0400     0.0988     25.0800
28400     2.5239      0.0500     0.0988     25.2000
28500     2.5003      0.1200     0.0988     24.8651
28600     2.4904      0.1000     0.0988     25.3228
28700     2.4806      0.1300     0.0988     25.8758
28800     2.4952      0.0900     0.0988     25.4233
28900     2.4718      0.0600     0.0988     26.2066
29000     2.4920      0.0800     0.0988     26.0948
29100     2.5124      0.0800     0.0988     26.3745
29200     2.4811      0.0700     0.0988     25.8865
29300     2.5188      0.0400     0.0988     25.7232
29400     2.4896      0.1100     0.0988     25.1702
29500     2.4773      0.0700     0.0988     25.3480
29600     2.4882      0.0600     0.0988     25.9921
29700     2.4748      0.0800     0.0988     24.8189
29800     2.4882      0.1100     0.0988     25.3730
29900     2.4712      0.0700     0.0988     24.3134
29999     2.4944      0.0600     0.0988     25.2052
Start Testing:
Test Accuracy: 0.0831
