Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cy_div=2, cy_scale=2, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', fc_blocks=0, global_beta=1.5, hidden=118, hop_length=320, init_factor=2, inp_mean=0, inp_std=128, learning_rate='0.0005,0.0001,0.00002', lstm_blocks=0, n_mfcc=10, noise_injectionI=0, noise_injectionT=0.1, pool_method='avg', quant_actMVM=8, quant_actNM=8, quant_inp=8, quant_w=8, sample_rate=16000, silence_percentage=0.1, std_scale=1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
df629d1e-d9e6-4357-aefc-dc942df65250
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5289      0.1000     0.0851     10.2449
00100     2.5761      0.0900     0.0902     20.0182
00200     2.5090      0.1600     0.0902     19.9599
00300     2.5464      0.0600     0.0902     19.4587
00400     2.5096      0.0700     0.1046     19.5145
00500     2.5341      0.0700     0.1187     19.3087
00600     2.5297      0.1000     0.1187     19.5625
00700     2.5119      0.0800     0.1187     19.3204
00800     2.5114      0.0900     0.1187     18.9047
00900     2.4682      0.1200     0.1187     19.3028
01000     2.5051      0.1000     0.1187     19.1588
