Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cy_div=2, cy_scale=2, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', fc_blocks=0, global_beta=1.5, hidden=118, hop_length=320, init_factor=2, inp_mean=0, inp_std=128, learning_rate='0.0005,0.0001,0.00002', lstm_blocks=0, n_mfcc=10, noise_injectionI=0, noise_injectionT=0.1, pool_method='avg', quant_actMVM=8, quant_actNM=8, quant_inp=8, quant_w=8, sample_rate=16000, silence_percentage=0.1, std_scale=1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
f6901b28-82f2-4641-b415-a5df75cbdd4a
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5289      0.1000     0.0851     9.4245
00100     2.5761      0.0900     0.0902     18.9445
00200     2.5090      0.1600     0.0902     18.7423
00300     2.5464      0.0600     0.0902     18.7229
00400     2.5096      0.0700     0.1046     20.0117
00500     2.5341      0.0700     0.1187     19.9289
00600     2.5297      0.1000     0.1187     18.9862
00700     2.5119      0.0800     0.1187     18.8209
00800     2.5114      0.0900     0.1187     20.2932
00900     2.4682      0.1200     0.1187     19.0332
Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cy_div=2, cy_scale=2, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', fc_blocks=0, global_beta=1.5, hidden=118, hop_length=320, init_factor=2, inp_mean=0, inp_std=128, learning_rate='0.0005,0.0001,0.00002', lstm_blocks=0, n_mfcc=10, noise_injectionT=0.1, pool_method='avg', quant_actMVM=8, quant_actNM=8, quant_inp=8, quant_w=8, sample_rate=16000, silence_percentage=0.1, std_scale=1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
92dcf50d-8b4e-461c-84f8-20bdb8ed4450
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5289      0.1000     0.0851     9.5619
00100     2.5761      0.0900     0.0902     25.9576
00200     2.5090      0.1600     0.0902     27.0985
00300     2.5464      0.0600     0.0902     25.6651
00400     2.5096      0.0700     0.1046     26.3081
00500     2.5341      0.0700     0.1187     26.1188
00600     2.5297      0.1000     0.1187     25.6510
00700     2.5119      0.0800     0.1187     25.0391
00800     2.5114      0.0900     0.1187     25.7828
00900     2.4682      0.1200     0.1187     26.2312
01000     2.5051      0.1000     0.1187     26.3745
01100     2.5412      0.0900     0.1187     27.4216
01200     2.4584      0.0900     0.1187     25.3717
01300     2.4859      0.1100     0.1187     25.8221
01400     2.5007      0.0700     0.1187     25.9940
01500     2.4621      0.1200     0.1187     25.8153
01600     2.4935      0.0700     0.1187     26.6469
01700     2.4791      0.0800     0.1187     25.7572
01800     2.4766      0.1500     0.1187     26.0690
01900     2.4885      0.0700     0.1187     25.0448
02000     2.4958      0.0600     0.1187     25.2190
02100     2.4917      0.0500     0.1187     25.2937
02200     2.4743      0.1000     0.1187     24.8011
02300     2.4875      0.0500     0.1187     26.8289
02400     2.4690      0.1300     0.1187     25.3992
02500     2.4837      0.0900     0.1187     26.4716
02600     2.4847      0.1000     0.1236     25.1138
02700     2.4764      0.1200     0.1236     25.3996
02800     2.4612      0.1100     0.1236     25.2324
02900     2.4826      0.0600     0.1236     24.7144
03000     2.4758      0.0800     0.1236     24.9740
03100     2.4633      0.1400     0.1236     25.0728
03200     2.4866      0.1000     0.1236     26.0187
03300     2.4712      0.1100     0.1236     24.7533
03400     2.4604      0.2100     0.1236     25.8033
03500     2.4922      0.0600     0.1236     24.4863
03600     2.4540      0.2000     0.1236     25.6480
03700     2.4588      0.1200     0.1236     26.0547
03800     2.4843      0.1300     0.1236     25.9334
03900     2.4721      0.1100     0.1236     24.5797
04000     2.4923      0.0800     0.1374     24.8724
04100     2.4821      0.0900     0.1374     24.8025
04200     2.4837      0.0800     0.1374     26.4333
04300     2.4608      0.1700     0.1374     26.4749
04400     2.4739      0.1200     0.1448     26.3901
04500     2.4848      0.1100     0.1448     25.3345
04600     2.4705      0.1100     0.1448     25.3647
04700     2.4721      0.1100     0.1448     24.6748
04800     2.4618      0.0800     0.1448     27.1123
04900     2.4792      0.1100     0.1572     25.0351
05000     2.4627      0.1700     0.1572     25.4549
05100     2.4411      0.1600     0.1572     26.0705
05200     2.4436      0.1500     0.1572     25.8088
05300     2.4287      0.1600     0.1572     26.9848
05400     2.4829      0.0800     0.1572     25.7052
05500     2.4657      0.1200     0.1572     25.7920
05600     2.4779      0.1000     0.1705     26.4082
05700     2.4831      0.1100     0.1705     26.7681
05800     2.4471      0.1400     0.1705     25.4692
05900     2.4375      0.1800     0.1737     25.2337
06000     2.4514      0.1300     0.1830     25.0571
06100     2.4500      0.1600     0.1830     24.8813
06200     2.3840      0.1700     0.1830     25.5348
06300     2.4221      0.1400     0.1830     28.0147
06400     2.4002      0.1800     0.1830     24.8295
06500     2.4635      0.1400     0.1830     24.6161
06600     2.4644      0.1500     0.1830     25.2575
06700     2.4453      0.0900     0.1830     25.0148
06800     2.4548      0.1200     0.1830     28.1567
06900     2.3790      0.1400     0.1830     25.8470
07000     2.4825      0.1300     0.1830     25.7949
07100     2.4673      0.1200     0.1830     28.2764
07200     2.4770      0.1500     0.1900     25.2576
07300     2.4510      0.0700     0.1900     24.9448
07400     2.4593      0.0800     0.1900     25.0089
07500     2.4532      0.1100     0.1900     26.6680
07600     2.4928      0.1200     0.1900     27.1436
07700     2.4201      0.1800     0.1900     25.6158
07800     2.4271      0.1200     0.1933     25.1235
