Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cy_div=2, cy_scale=2, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', fc_blocks=0, global_beta=1.5, hidden=118, hop_length=320, init_factor=2, inp_mean=-1.9685, inp_std=10.8398, learning_rate='0.0005,0.0001,0.00002', lstm_blocks=0, n_mfcc=10, noise_injectionI=0, noise_injectionT=0, pool_method='avg', quant_actMVM=0, quant_actNM=0, quant_inp=16, quant_w=0, sample_rate=16000, silence_percentage=0.1, std_scale=3, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
ce9f5952-b32c-4586-8c7a-384a75279e29
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.4891      0.0700     0.0763     4.7749
00100     2.3781      0.1600     0.1787     6.7032
00200     2.4123      0.1300     0.1860     6.7318
00300     2.3078      0.1200     0.1943     7.1719
00400     2.1451      0.2000     0.2193     6.6527
00500     2.1493      0.1800     0.2348     6.7195
00600     2.0453      0.2500     0.2506     6.7164
00700     2.1448      0.2100     0.2506     6.8523
00800     2.0116      0.2100     0.2710     6.9407
00900     1.9769      0.2600     0.2751     6.0892
01000     2.0664      0.2000     0.2751     6.5721
01100     1.9753      0.2800     0.2770     6.5023
01200     1.9499      0.2200     0.2828     6.5576
01300     1.8048      0.3300     0.3064     6.4656
01400     1.8713      0.2700     0.3143     6.7322
01500     1.8386      0.3300     0.3624     6.4893
01600     1.5031      0.3900     0.3818     6.5943
01700     1.7407      0.3200     0.4149     6.9849
01800     1.6742      0.3700     0.4290     6.6182
01900     1.3977      0.5500     0.4498     6.6579
02000     1.6278      0.3900     0.4725     6.3834
02100     1.6041      0.4600     0.4872     6.1698
02200     1.2877      0.5800     0.5209     5.9093
02300     1.3537      0.5600     0.5370     5.8949
02400     1.3125      0.4900     0.5633     5.9017
02500     1.1278      0.6200     0.5778     5.7614
02600     1.3374      0.5600     0.6111     5.8466
02700     1.0324      0.5900     0.6304     5.5227
02800     1.0624      0.5900     0.6671     5.7329
02900     1.0803      0.6400     0.6790     6.1573
03000     1.0047      0.6100     0.6790     6.0424
03100     0.8504      0.7400     0.7000     5.9513
03200     0.8904      0.7400     0.7000     5.7895
03300     1.0662      0.6500     0.7000     6.9362
03400     0.9018      0.7100     0.7084     8.0478
03500     1.0235      0.6200     0.7200     6.4508
03600     0.5892      0.8500     0.7284     6.0938
03700     0.9375      0.6600     0.7284     6.5027
03800     0.9204      0.6700     0.7461     6.4099
03900     0.9505      0.6500     0.7461     6.5167
04000     0.8704      0.6600     0.7482     6.6556
04100     0.7378      0.6800     0.7556     6.2598
04200     0.7315      0.7600     0.7556     6.1508
04300     0.8303      0.7500     0.7604     6.4770
04400     0.7555      0.7500     0.7632     6.4185
04500     0.6892      0.7600     0.7709     6.1902
04600     0.7401      0.7500     0.7907     6.4022
04700     0.9331      0.7200     0.7907     6.0095
04800     0.7672      0.7400     0.7907     5.8970
04900     0.7999      0.7500     0.7907     5.9437
05000     0.6332      0.8200     0.7987     5.3088
05100     0.6719      0.8100     0.7987     8.2789
05200     0.6831      0.7900     0.8097     6.0740
05300     0.7422      0.7400     0.8112     6.5022
05400     0.7597      0.7700     0.8125     6.2061
05500     0.6923      0.7800     0.8192     6.3926
05600     0.7506      0.7500     0.8192     6.8262
05700     0.5182      0.8200     0.8192     6.4546
05800     0.5078      0.8300     0.8278     6.8408
05900     0.8045      0.7400     0.8278     6.1721
06000     0.6705      0.7500     0.8302     6.7110
06100     0.6331      0.7800     0.8348     6.3922
06200     0.6832      0.7600     0.8361     6.5468
06300     0.5666      0.7900     0.8361     6.0046
06400     0.5728      0.7900     0.8385     6.6992
06500     0.6307      0.8300     0.8385     6.5352
06600     0.6496      0.7400     0.8412     6.8356
06700     0.5304      0.8300     0.8412     6.2796
06800     0.5935      0.8400     0.8511     6.9537
06900     0.5100      0.8500     0.8541     6.4325
07000     0.6971      0.7600     0.8541     6.3204
07100     0.4170      0.8500     0.8541     6.3428
07200     0.6983      0.7500     0.8541     6.2948
07300     0.5117      0.8700     0.8541     6.1948
07400     0.5091      0.8600     0.8569     5.6650
07500     0.5293      0.8600     0.8569     6.0878
07600     0.5346      0.8400     0.8569     6.1543
07700     0.3764      0.8800     0.8569     6.2659
07800     0.6051      0.8200     0.8569     5.7443
07900     0.5374      0.8200     0.8597     6.2926
08000     0.5167      0.8300     0.8652     6.0520
08100     0.4605      0.8600     0.8652     6.1350
08200     0.5328      0.8200     0.8652     6.3062
08300     0.4663      0.8700     0.8652     6.2338
08400     0.4168      0.8900     0.8664     5.8572
08500     0.4335      0.8600     0.8664     7.3140
08600     0.5129      0.8000     0.8717     6.3063
08700     0.4895      0.8300     0.8717     6.5167
08800     0.3527      0.9000     0.8717     6.4866
08900     0.5459      0.8400     0.8717     6.4144
09000     0.3634      0.9100     0.8728     5.9116
09100     0.3779      0.9000     0.8728     6.0218
09200     0.5148      0.8100     0.8773     6.0337
09300     0.4846      0.8400     0.8773     6.0768
09400     0.5256      0.8300     0.8773     6.2848
09500     0.7409      0.7600     0.8773     6.2428
09600     0.5644      0.8100     0.8773     6.4791
09700     0.6351      0.7600     0.8773     6.6827
09800     0.3655      0.8800     0.8773     6.4475
09900     0.3299      0.8900     0.8773     6.4369
10000     0.4250      0.8700     0.8773     6.2306
10100     0.3282      0.8500     0.8864     6.1940
10200     0.3966      0.8100     0.8864     5.8806
10300     0.3896      0.8200     0.8886     6.7752
10400     0.3305      0.9000     0.8886     5.7384
10500     0.4893      0.8600     0.8886     6.2192
10600     0.3994      0.8700     0.8890     6.5136
10700     0.2680      0.9200     0.8890     6.7024
10800     0.5021      0.8700     0.8890     6.8544
10900     0.3125      0.9100     0.8890     7.1656
11000     0.5215      0.8500     0.8890     6.6351
11100     0.2747      0.9200     0.8890     6.5152
11200     0.4311      0.8700     0.8890     5.9572
11300     0.4033      0.8500     0.8929     6.1687
11400     0.3825      0.8800     0.8929     5.8917
11500     0.3922      0.8600     0.8929     5.8953
11600     0.3538      0.8900     0.8929     6.0621
11700     0.3498      0.9000     0.8929     6.1554
11800     0.4127      0.8600     0.8929     6.0402
11900     0.4610      0.8400     0.8929     6.0294
12000     0.4281      0.8500     0.8929     6.7505
12100     0.3865      0.8800     0.8929     6.0834
12200     0.4382      0.8300     0.8929     6.0013
12300     0.4598      0.8200     0.8929     5.7889
12400     0.4531      0.8500     0.8929     6.3642
12500     0.3351      0.9000     0.8929     6.6184
12600     0.4765      0.8300     0.8929     6.1531
12700     0.5405      0.8000     0.8929     5.7907
12800     0.4314      0.8300     0.8929     5.9064
12900     0.4039      0.8400     0.8929     5.9010
13000     0.4363      0.8700     0.8929     5.9710
13100     0.4687      0.8300     0.8929     6.3350
13200     0.3460      0.8800     0.8929     6.7257
13300     0.1968      0.9500     0.8929     6.6483
13400     0.4602      0.8200     0.8979     6.6626
13500     0.3769      0.8500     0.8979     6.5650
13600     0.4218      0.8500     0.8979     6.7375
13700     0.5508      0.8500     0.8979     6.5612
13800     0.3144      0.9100     0.8979     6.6136
13900     0.4160      0.8300     0.8979     6.5524
14000     0.4137      0.8200     0.8979     6.5795
14100     0.4644      0.8400     0.8979     6.4834
14200     0.3014      0.9200     0.8979     6.0665
14300     0.3081      0.8700     0.8979     6.2738
14400     0.4055      0.8600     0.8979     6.4526
