Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cy_div=2, cy_scale=2, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', fc_blocks=0, global_beta=1.5, hidden=118, hop_length=320, init_factor=2, inp_mean=-1.9685, inp_std=10.8398, learning_rate='0.0005,0.0001,0.00002', lstm_blocks=0, n_mfcc=10, noise_injectionI=0, noise_injectionT=0, pool_method='avg', quant_actMVM=0, quant_actNM=0, quant_inp=16, quant_w=0, sample_rate=16000, silence_percentage=0.1, std_scale=3, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
24c8f5f0-4069-4c43-802a-ee21d85bede6
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.4891      0.0700     0.0763     4.0553
00100     2.3781      0.1600     0.1787     4.6098
00200     2.4123      0.1300     0.1860     4.7429
00300     2.3078      0.1200     0.1943     4.6871
00400     2.1451      0.2000     0.2193     4.8012
00500     2.1493      0.1800     0.2348     4.7352
00600     2.0453      0.2500     0.2506     4.8831
00700     2.1448      0.2100     0.2506     4.6311
00800     2.0116      0.2100     0.2710     4.6707
00900     1.9769      0.2600     0.2751     4.6823
01000     2.0664      0.2000     0.2751     4.6144
01100     1.9753      0.2800     0.2770     4.9212
01200     1.9499      0.2200     0.2828     4.7799
01300     1.8048      0.3300     0.3064     4.6666
01400     1.8713      0.2700     0.3143     4.8658
01500     1.8386      0.3300     0.3624     4.8584
01600     1.5031      0.3900     0.3818     4.9552
01700     1.7407      0.3200     0.4149     5.7376
01800     1.6742      0.3700     0.4290     4.8910
01900     1.3977      0.5500     0.4498     4.9957
02000     1.6278      0.3900     0.4725     4.9934
02100     1.6041      0.4600     0.4872     4.9340
02200     1.2877      0.5800     0.5209     4.7761
02300     1.3537      0.5600     0.5370     4.7450
02400     1.3125      0.4900     0.5633     4.7663
02500     1.1278      0.6200     0.5778     4.7494
02600     1.3374      0.5600     0.6111     4.7851
02700     1.0324      0.5900     0.6304     4.6147
02800     1.0624      0.5900     0.6671     4.6749
02900     1.0803      0.6400     0.6790     4.6959
03000     1.0047      0.6100     0.6790     4.7530
03100     0.8504      0.7400     0.7000     4.7567
03200     0.8904      0.7400     0.7000     4.7289
03300     1.0662      0.6500     0.7000     4.8986
03400     0.9018      0.7100     0.7084     5.6077
03500     1.0235      0.6200     0.7200     4.9425
03600     0.5892      0.8500     0.7284     5.2382
03700     0.9375      0.6600     0.7284     4.8924
03800     0.9204      0.6700     0.7461     5.0067
03900     0.9505      0.6500     0.7461     4.7080
04000     0.8704      0.6600     0.7482     4.9330
04100     0.7378      0.6800     0.7556     4.7580
04200     0.7315      0.7600     0.7556     5.0241
04300     0.8303      0.7500     0.7604     4.9372
04400     0.7555      0.7500     0.7632     4.9014
04500     0.6892      0.7600     0.7709     5.0779
04600     0.7401      0.7500     0.7907     5.2539
04700     0.9331      0.7200     0.7907     5.0018
04800     0.7672      0.7400     0.7907     4.7999
04900     0.7999      0.7500     0.7907     4.7738
05000     0.6332      0.8200     0.7987     4.9476
05100     0.6719      0.8100     0.7987     5.4858
05200     0.6831      0.7900     0.8097     4.8895
05300     0.7422      0.7400     0.8112     4.8334
05400     0.7597      0.7700     0.8125     4.7321
05500     0.6923      0.7800     0.8192     4.7613
05600     0.7506      0.7500     0.8192     4.7035
05700     0.5182      0.8200     0.8192     4.7935
05800     0.5078      0.8300     0.8278     4.8137
05900     0.8045      0.7400     0.8278     4.7461
06000     0.6705      0.7500     0.8302     4.8481
06100     0.6331      0.7800     0.8348     4.7643
06200     0.6832      0.7600     0.8361     5.0890
06300     0.5666      0.7900     0.8361     4.8391
06400     0.5728      0.7900     0.8385     4.8059
06500     0.6307      0.8300     0.8385     4.9764
06600     0.6496      0.7400     0.8412     4.7905
06700     0.5304      0.8300     0.8412     4.9681
06800     0.5935      0.8400     0.8511     6.5002
06900     0.5100      0.8500     0.8541     4.9032
07000     0.6971      0.7600     0.8541     4.8813
07100     0.4170      0.8500     0.8541     4.9757
07200     0.6983      0.7500     0.8541     5.3111
07300     0.5117      0.8700     0.8541     5.0022
07400     0.5091      0.8600     0.8569     5.0543
07500     0.5293      0.8600     0.8569     5.0938
07600     0.5346      0.8400     0.8569     4.8617
07700     0.3764      0.8800     0.8569     5.2374
07800     0.6051      0.8200     0.8569     5.1072
07900     0.5374      0.8200     0.8597     5.1004
08000     0.5167      0.8300     0.8652     4.9859
08100     0.4605      0.8600     0.8652     4.7908
08200     0.5328      0.8200     0.8652     4.8978
08300     0.4663      0.8700     0.8652     4.8038
08400     0.4168      0.8900     0.8664     4.8268
08500     0.4335      0.8600     0.8664     5.9788
08600     0.5129      0.8000     0.8717     5.4265
08700     0.4895      0.8300     0.8717     5.0365
08800     0.3527      0.9000     0.8717     5.1348
08900     0.5459      0.8400     0.8717     4.9350
09000     0.3634      0.9100     0.8728     5.0770
09100     0.3779      0.9000     0.8728     4.9936
09200     0.5148      0.8100     0.8773     5.0158
09300     0.4846      0.8400     0.8773     4.9263
09400     0.5256      0.8300     0.8773     5.0640
09500     0.7409      0.7600     0.8773     5.2657
09600     0.5644      0.8100     0.8773     5.1554
09700     0.6351      0.7600     0.8773     5.0628
09800     0.3655      0.8800     0.8773     5.0646
09900     0.3299      0.8900     0.8773     4.8587
10000     0.4250      0.8700     0.8773     4.8939
10100     0.3282      0.8500     0.8864     4.8282
10200     0.3966      0.8100     0.8864     4.8177
10300     0.3896      0.8200     0.8886     5.7852
