Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cy_div=2, cy_scale=2, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', fc_blocks=0, global_beta=1.5, hidden=118, hop_length=320, init_factor=2, inp_mean=-1.9685, inp_std=10.8398, learning_rate='0.0005,0.0001,0.00002', lstm_blocks=0, n_mfcc=10, noise_injectionI=0, noise_injectionT=0, pool_method='avg', quant_actMVM=0, quant_actNM=0, quant_inp=2, quant_w=0, sample_rate=16000, silence_percentage=0.1, std_scale=3, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,10000', unknown_percentage=0.1, validation_percentage=10, win_length=640, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
e883ce12-e007-4656-bcf6-b8540b1c1752
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.4919      0.0700     0.0761     4.2371
00100     2.4827      0.1100     0.1035     5.3464
00200     2.4110      0.1400     0.1911     5.2332
00300     2.4279      0.1700     0.1959     5.0543
00400     2.2755      0.1700     0.2036     5.4468
00500     2.2672      0.1800     0.2052     5.4884
00600     2.2144      0.1900     0.2052     5.2171
00700     2.3047      0.1500     0.2130     5.1825
00800     2.2988      0.1700     0.2259     5.5168
00900     2.1289      0.1800     0.2268     5.7893
01000     2.1753      0.1800     0.2337     5.7833
01100     2.1739      0.2200     0.2337     5.7949
01200     2.1608      0.2300     0.2647     5.3384
01300     2.0071      0.2900     0.2647     5.7104
01400     2.2044      0.2100     0.2647     5.6150
01500     2.1645      0.1600     0.2757     5.8945
01600     1.8531      0.3000     0.2757     5.6618
01700     2.2599      0.2000     0.2757     6.8803
01800     2.1716      0.2200     0.2816     5.3748
01900     2.0800      0.3000     0.2816     5.6856
02000     2.1951      0.2700     0.2977     5.1917
02100     2.2708      0.2200     0.2977     5.2854
02200     2.0120      0.2500     0.2977     4.9800
02300     1.9823      0.2900     0.2977     5.4092
02400     2.1682      0.2500     0.3010     5.7896
02500     2.0601      0.2600     0.3010     5.8099
02600     2.0554      0.2600     0.3010     5.7084
02700     1.9785      0.3000     0.3140     5.5256
02800     1.8485      0.3000     0.3245     5.7525
