Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
4899c768-ecf0-46a8-a415-2835c4af3956
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.0809      0.0500     0.0784     18.8149   0.4321
00100     2.0675      0.3100     0.3233     76.2000   0.2402
00200     1.7663      0.4100     0.4509     75.9101   0.1284
00300     1.4279      0.5400     0.5477     76.7669   0.0692
00400     1.3032      0.5800     0.5742     76.1604   0.0335
00500     0.9038      0.7300     0.6481     75.9742   0.0102
00600     1.1799      0.6400     0.6658     75.9331   0.0001
00700     0.9039      0.7200     0.6902     75.9565   0.0000
00800     0.9927      0.6900     0.7084     74.8100   0.0000
00900     0.9496      0.7300     0.7074     73.5200   0.0000
01000     0.9471      0.7300     0.7242     73.2134   0.0000
01100     0.9940      0.6500     0.7274     72.9547   0.0000
01200     0.8871      0.7400     0.7150     74.7140   0.0000
01300     0.9157      0.7600     0.7461     71.7645   0.0001
01400     0.7509      0.7400     0.7134     70.8518   0.0000
01500     0.9000      0.7300     0.7474     70.8889   0.0000
01600     0.6720      0.7700     0.7530     70.8474   0.0001
01700     1.2653      0.5900     0.7403     70.5812   0.0000
01800     0.8644      0.7000     0.7653     71.6603   0.0000
01900     1.1618      0.6600     0.7676     71.4708   0.0000
02000     0.8814      0.7000     0.7451     70.7533   0.0000
02100     1.1012      0.6300     0.7558     71.2838   0.0000
02200     1.1668      0.5800     0.7653     71.0433   0.0000
02300     0.8073      0.7900     0.7645     71.5149   0.0000
02400     0.8305      0.6700     0.7622     71.4855   0.0000
02500     0.8350      0.7100     0.7682     70.8969   0.0000
02600     0.9060      0.7400     0.7640     71.0890   0.0000
02700     0.8253      0.7900     0.7910     71.3961   0.0000
02800     0.7970      0.7700     0.7758     71.6049   0.0000
02900     0.9482      0.6800     0.7371     71.3635   0.0000
03000     0.6211      0.8300     0.7663     71.1403   0.0000
03100     0.9327      0.7500     0.7919     71.1966   0.0000
03200     0.8546      0.7300     0.7947     70.9644   0.0001
