Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=394, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=8627169, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
e6d8e2f4-3a89-4641-a76d-cbc9480d87e6
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.4206      0.0700     0.1063     21.9455   0.4424
00100     1.7277      0.4300     0.4647     73.4623   0.3336
00200     1.2134      0.6300     0.6152     74.3213   0.2498
00300     1.1143      0.6400     0.6669     75.1586   0.1883
00400     1.0836      0.6600     0.7085     72.1655   0.1450
00500     1.0540      0.6700     0.7262     76.2707   0.1128
00600     1.0899      0.6200     0.7650     77.0416   0.0890
00700     1.0373      0.6700     0.7531     76.4837   0.0694
00800     0.9108      0.7000     0.7619     74.1045   0.0523
00900     0.9039      0.7100     0.7841     73.1237   0.0376
01000     0.7276      0.7300     0.7837     76.7598   0.0251
01100     0.8294      0.7400     0.7966     72.9236   0.0141
01200     0.9273      0.7500     0.7919     77.3436   0.0046
01300     0.7939      0.7400     0.8093     78.8023   0.0000
01400     0.9244      0.7100     0.8104     74.1441   0.0000
01500     0.9795      0.6700     0.8167     73.5449   0.0000
01600     0.7366      0.7800     0.8151     74.6055   0.0000
01700     0.5601      0.7800     0.7984     75.2971   0.0000
01800     0.9184      0.7100     0.8271     73.2662   0.0000
01900     0.6203      0.7900     0.8239     72.0996   0.0000
02000     0.8257      0.7300     0.8255     76.2629   0.0000
02100     0.6887      0.7500     0.8060     75.7642   0.0000
02200     0.6203      0.8000     0.8412     75.5839   0.0000
02300     0.7864      0.7900     0.8264     70.1062   0.0000
02400     0.6950      0.7700     0.8254     72.6687   0.0000
02500     0.5215      0.8300     0.8323     71.5905   0.0000
02600     0.6753      0.7600     0.8454     74.1876   0.0000
02700     0.6624      0.8000     0.8422     74.2257   0.0000
02800     0.6304      0.7800     0.8354     76.8654   0.0000
02900     0.7466      0.7400     0.8183     73.8851   0.0000
03000     0.8091      0.7000     0.8319     71.7800   0.0000
03100     0.3823      0.8500     0.8504     74.2307   0.0000
03200     0.7099      0.8200     0.8383     78.3960   0.0000
03300     0.6858      0.8100     0.8516     74.1013   0.0000
03400     0.7385      0.7500     0.8488     74.5745   0.0000
03500     0.5673      0.7700     0.8467     74.2291   0.0000
03600     0.6815      0.7800     0.8472     72.3184   0.0000
03700     0.7060      0.8100     0.8533     73.9786   0.0000
03800     0.4862      0.8800     0.8562     74.2950   0.0000
03900     0.5621      0.8000     0.8628     72.7792   0.0000
04000     0.7171      0.7700     0.8196     72.2435   0.0000
04100     0.5845      0.8400     0.8561     72.8357   0.0000
04200     0.6202      0.7900     0.8505     71.4757   0.0000
04300     0.5263      0.8700     0.8564     74.3541   0.0000
04400     0.5283      0.8400     0.8516     74.6691   0.0000
04500     0.4382      0.8700     0.8425     73.3482   0.0000
04600     0.4825      0.8500     0.8553     72.1437   0.0000
04700     0.6762      0.8100     0.8507     71.8466   0.0000
04800     0.5553      0.8200     0.8461     72.6272   0.0000
04900     0.4168      0.8800     0.8443     74.5010   0.0000
05000     0.5786      0.8000     0.8526     75.5662   0.0000
05100     0.6209      0.8200     0.8515     77.3548   0.0000
05200     0.5875      0.8200     0.8075     71.7877   0.0000
05300     0.5420      0.8600     0.8555     74.1801   0.0000
05400     0.5234      0.8400     0.8207     74.7621   0.0000
05500     0.4959      0.8300     0.8572     75.9325   0.0000
05600     0.5608      0.8400     0.7974     73.4685   0.0000
