Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=494, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
c0b539a9-c019-4b8f-a139-a93536da2b2a
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     4.1879      0.0700     0.1321     18.2936   0.4436
00100     1.5583      0.5300     0.4715     73.8257   0.3440
00200     1.2553      0.6400     0.6236     72.9228   0.2637
00300     1.2440      0.5800     0.6571     76.9166   0.2035
00400     1.0729      0.6300     0.7356     73.0710   0.1574
00500     0.8650      0.7100     0.7602     76.5370   0.1234
00600     0.8962      0.7100     0.7384     76.7507   0.0978
00700     0.7035      0.7700     0.7843     74.2894   0.0768
00800     0.8232      0.7500     0.7669     72.1307   0.0580
00900     0.6876      0.8400     0.7961     73.2179   0.0419
01000     0.9180      0.6900     0.8028     78.8970   0.0278
01100     0.8702      0.7000     0.8021     77.5115   0.0155
01200     0.7089      0.8000     0.8105     77.6522   0.0046
01300     0.8022      0.7500     0.8039     72.8635   0.0000
01400     0.7968      0.7700     0.8099     73.5737   0.0000
01500     0.7544      0.7700     0.7987     77.2318   0.0000
01600     0.6687      0.7900     0.8088     74.6433   0.0000
01700     0.5720      0.8400     0.8174     75.7488   0.0000
01800     0.6543      0.8100     0.8237     72.7761   0.0000
01900     0.6501      0.8000     0.8258     76.4418   0.0000
02000     0.6726      0.7300     0.8292     72.5971   0.0000
02100     0.6952      0.8200     0.8302     72.4120   0.0000
02200     0.8212      0.7200     0.8353     72.6681   0.0000
02300     0.7184      0.7500     0.8519     76.0443   0.0000
02400     0.6711      0.7700     0.8358     73.8940   0.0000
02500     0.6885      0.8300     0.8492     74.9396   0.0000
02600     0.4395      0.8800     0.8546     76.7587   0.0000
02700     0.6245      0.8000     0.8242     73.4071   0.0000
02800     0.5788      0.7900     0.7868     75.5589   0.0000
02900     0.4134      0.8600     0.8484     73.3299   0.0000
03000     0.6670      0.8000     0.8516     75.6599   0.0000
03100     0.5883      0.8100     0.8444     74.8561   0.0000
03200     0.6438      0.8000     0.8634     73.9425   0.0000
03300     0.5729      0.8400     0.8540     76.5474   0.0000
03400     0.5642      0.8100     0.8476     72.2587   0.0000
03500     0.7061      0.8000     0.8589     73.0473   0.0000
03600     0.4816      0.8600     0.8545     74.6713   0.0000
03700     0.5602      0.8200     0.8519     71.5022   0.0000
03800     0.5530      0.8200     0.8468     77.6901   0.0000
03900     0.5466      0.8400     0.8341     78.5723   0.0000
04000     0.5464      0.8600     0.8610     72.7253   0.0000
04100     0.4782      0.8500     0.8563     72.6701   0.0000
04200     0.6054      0.8400     0.8674     78.9191   0.0000
04300     0.4709      0.8600     0.8642     72.4492   0.0000
04400     0.4215      0.8800     0.8508     72.8158   0.0000
04500     0.6398      0.7900     0.8597     72.7468   0.0000
04600     0.6050      0.8000     0.8562     71.8243   0.0000
04700     0.3689      0.8900     0.8750     75.9459   0.0000
04800     0.8051      0.7800     0.8652     74.9706   0.0000
04900     0.5413      0.8100     0.8578     75.7679   0.0000
05000     0.4106      0.8900     0.8611     75.9262   0.0000
05100     0.4470      0.8600     0.8681     76.1168   0.0000
05200     0.7364      0.7400     0.8603     74.1555   0.0000
05300     0.4638      0.8500     0.8736     71.7641   0.0000
05400     0.5310      0.8400     0.8618     75.0514   0.0000
05500     0.5199      0.8500     0.8597     77.4682   0.0000
05600     0.6269      0.7700     0.8692     76.4891   0.0000
05700     0.4793      0.8600     0.8559     71.3293   0.0000
05800     0.4002      0.8900     0.8693     76.5403   0.0000
05900     0.5959      0.8300     0.8658     75.9804   0.0000
06000     0.5940      0.7900     0.8692     73.2742   0.0000
06100     0.4716      0.8400     0.8655     73.5223   0.0000
06200     0.5744      0.8400     0.8674     72.9746   0.0000
06300     0.4505      0.8800     0.8766     75.4846   0.0000
06400     0.5749      0.8400     0.8786     73.4408   0.0000
06500     0.5351      0.8200     0.8715     70.9932   0.0000
06600     0.6130      0.8300     0.8672     73.4286   0.0001
06700     0.5108      0.8100     0.8694     76.2621   0.0000
06800     0.4096      0.8600     0.8733     72.3836   0.0000
06900     0.4182      0.8800     0.8773     76.6273   0.0001
07000     0.7552      0.7600     0.8732     73.8554   0.0000
07100     0.4889      0.8300     0.8805     74.3465   0.0000
07200     0.4943      0.8300     0.8595     73.8554   0.0000
07300     0.4005      0.8700     0.8674     76.8335   0.0000
07400     0.5535      0.8500     0.8781     77.3959   0.0000
07500     0.3606      0.8600     0.8667     73.5758   0.0000
07600     0.7790      0.7500     0.8705     71.5708   0.0000
07700     0.6427      0.8300     0.8707     72.1947   0.0000
07800     0.7100      0.7600     0.8460     75.4399   0.0000
07900     0.5139      0.8000     0.8714     75.0403   0.0000
08000     0.4834      0.8200     0.8246     75.0550   0.0000
08100     0.5717      0.8300     0.8596     74.6708   0.0000
08200     0.4445      0.8600     0.8560     76.3840   0.0000
08300     0.5420      0.8200     0.8488     72.1703   0.0000
08400     0.4300      0.8600     0.8683     73.6106   0.0000
08500     0.5506      0.7900     0.8782     74.2745   0.0000
08600     0.3824      0.8600     0.8809     73.5328   0.0000
08700     0.5239      0.8400     0.8759     76.0398   0.0000
08800     0.5394      0.8300     0.8819     74.5492   0.0000
08900     0.3068      0.9200     0.8658     79.6830   0.0000
09000     0.4979      0.8800     0.8752     75.7403   0.0001
09100     0.3987      0.8900     0.8657     74.2843   0.0000
09200     0.4781      0.8400     0.8761     77.0899   0.0000
09300     0.5416      0.8400     0.8753     70.5494   0.0001
09400     0.4603      0.8400     0.8758     71.4246   0.0000
09500     0.5153      0.8500     0.8819     79.2811   0.0000
09600     0.3947      0.9100     0.8000     73.9240   0.0000
09700     0.4342      0.8600     0.8704     72.0333   0.0000
09800     0.4818      0.8500     0.8847     75.5110   0.0000
09900     0.4446      0.8700     0.8686     74.4288   0.0000
10000     0.4816      0.8400     0.8783     71.2405   0.0001
10100     0.3009      0.9000     0.8767     75.5997   0.0000
10200     0.5470      0.8600     0.8836     75.4250   0.0000
10300     0.3714      0.8500     0.8910     76.8751   0.0000
10400     0.4745      0.8400     0.8899     72.2488   0.0000
10500     0.5466      0.8500     0.8860     76.0185   0.0000
10600     0.3922      0.8900     0.8908     74.6570   0.0000
10700     0.4859      0.8300     0.8796     75.4776   0.0000
10800     0.3941      0.9000     0.8568     74.1429   0.0000
10900     0.3668      0.8900     0.8953     72.8930   0.0000
11000     0.4432      0.8600     0.8833     76.5861   0.0000
11100     0.3997      0.8700     0.8904     73.2264   0.0000
11200     0.2787      0.9500     0.8958     77.8722   0.0000
11300     0.3809      0.9100     0.8945     77.1016   0.0000
11400     0.2848      0.9300     0.8900     74.2835   0.0000
11500     0.3452      0.8600     0.8919     72.1615   0.0000
11600     0.5134      0.8600     0.8947     73.7351   0.0000
11700     0.4674      0.8200     0.8989     72.5494   0.0000
11800     0.2310      0.9600     0.8989     71.0220   0.0000
11900     0.3559      0.9000     0.8972     75.4774   0.0000
12000     0.4796      0.8300     0.8991     75.0260   0.0000
12100     0.2882      0.8800     0.8990     75.1162   0.0000
12200     0.3469      0.9100     0.8966     73.6832   0.0000
12300     0.2665      0.9200     0.8950     73.3533   0.0000
12400     0.3242      0.9100     0.8972     73.8773   0.0000
12500     0.3725      0.8900     0.8151     77.4247   0.0000
12600     0.2875      0.9000     0.8912     77.0934   0.0000
12700     0.2736      0.9200     0.8935     74.1520   0.0000
12800     0.2767      0.8900     0.8876     77.7656   0.0000
12900     0.2835      0.9100     0.8983     77.0149   0.0000
13000     0.3966      0.8700     0.8946     75.3394   0.0000
13100     0.4987      0.8300     0.8927     75.2265   0.0000
13200     0.3347      0.8900     0.8999     73.3002   0.0000
13300     0.4253      0.8700     0.8996     76.0976   0.0000
13400     0.3932      0.8800     0.9002     77.5108   0.0000
13500     0.2673      0.9100     0.8966     71.6440   0.0000
13600     0.5888      0.8300     0.8986     75.6752   0.0000
13700     0.3325      0.9000     0.8060     75.7323   0.0000
13800     0.4300      0.8400     0.8963     71.4940   0.0000
13900     0.2953      0.9000     0.8955     73.0489   0.0000
14000     0.3341      0.9200     0.8762     72.1513   0.0000
14100     0.4596      0.8400     0.8894     78.6136   0.0000
14200     0.3343      0.9000     0.8966     75.2957   0.0000
14300     0.2798      0.9400     0.8829     77.6548   0.0000
14400     0.2871      0.9300     0.8850     71.5905   0.0000
14500     0.2842      0.9100     0.8956     73.0799   0.0000
14600     0.3026      0.8900     0.8991     77.2567   0.0000
14700     0.2743      0.9300     0.8984     74.6672   0.0000
14800     0.3424      0.9100     0.8926     74.6570   0.0000
14900     0.5063      0.8100     0.8941     73.6644   0.0000
15000     0.5333      0.8000     0.9024     79.7823   0.0000
15100     0.3589      0.9100     0.8943     71.7946   0.0000
15200     0.3671      0.8800     0.8940     74.1404   0.0000
15300     0.3711      0.8900     0.8903     75.1524   0.0000
15400     0.5503      0.8100     0.9016     72.8957   0.0000
15500     0.2887      0.9100     0.8975     75.3222   0.0000
15600     0.4009      0.8300     0.8927     73.2097   0.0000
15700     0.2744      0.9300     0.9016     76.8025   0.0000
15800     0.3624      0.9400     0.8957     76.6087   0.0000
15900     0.3976      0.8500     0.8908     74.6548   0.0000
16000     0.3440      0.9000     0.8964     74.0490   0.0000
16100     0.3171      0.8900     0.8877     71.6203   0.0000
16200     0.3226      0.9300     0.8947     73.8510   0.0000
16300     0.3458      0.8900     0.8964     75.2950   0.0000
16400     0.3774      0.9100     0.8964     77.9206   0.0000
16500     0.4553      0.9000     0.8938     78.2511   0.0000
16600     0.2299      0.9000     0.8965     75.6447   0.0000
16700     0.2916      0.9300     0.8837     74.9990   0.0000
16800     0.2805      0.9000     0.8955     78.1698   0.0000
16900     0.2775      0.9300     0.8793     75.9101   0.0000
17000     0.3274      0.9200     0.8993     72.6207   0.0000
17100     0.2989      0.9000     0.8986     77.3569   0.0000
17200     0.2833      0.9300     0.8968     74.8061   0.0000
17300     0.2172      0.9500     0.9036     76.9023   0.0000
17400     0.4178      0.9000     0.9008     76.8584   0.0000
17500     0.2302      0.9200     0.8822     72.2157   0.0000
17600     0.2564      0.9300     0.8989     75.6654   0.0000
