Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=494, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
32448876-7523-46e3-a08a-86cf816a352d
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
Traceback (most recent call last):
  File "KWS_LSTM.py", line 167, in <module>
    output = model(x_data)
  File "/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torch/nn/modules/module.py", line 722, in _call_impl
    result = self.forward(*input, **kwargs)
  File "/afs/crc.nd.edu/user/c/cschaef6/QuantizedLSTM/model.py", line 374, in forward
    lstm_out, _ = self.lstmBlocks(inputs, self.hidden_state)
  File "/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torch/nn/modules/module.py", line 722, in _call_impl
    result = self.forward(*input, **kwargs)
  File "/afs/crc.nd.edu/user/c/cschaef6/QuantizedLSTM/model.py", line 65, in forward
    out, state = self.cell(inputs[i], state, w_mask)
  File "/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torch/nn/modules/module.py", line 722, in _call_impl
    result = self.forward(*input, **kwargs)
  File "/afs/crc.nd.edu/user/c/cschaef6/QuantizedLSTM/model.py", line 211, in forward
    part2 = CustomMM_bmm.apply(quant_pass(pact_a_bmm(hx, self.a11), self.ib, self.a11), self.weight_hh * w_mask, self.bias_hh, self.noise_level, self.wb, self.bias_r)
  File "/afs/crc.nd.edu/user/c/cschaef6/QuantizedLSTM/model.py", line 141, in forward
    noise_w = torch.randn(weight.shape, device = input.device) * max_w * nl
RuntimeError: CUDA out of memory. Tried to allocate 16.00 MiB (GPU 0; 10.76 GiB total capacity; 8.64 GiB already allocated; 13.12 MiB free; 9.79 GiB reserved in total by PyTorch)
Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=100, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=494, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
8d17964f-5602-455e-8835-468a6254d148
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.8457      0.0900     0.0959     21.2930   0.4427
00100     1.7311      0.4100     0.5087     64.2422   0.3197
00200     1.2241      0.6400     0.6442     62.5964   0.2335
00300     0.9611      0.6400     0.7004     60.6523   0.1745
00400     0.8967      0.7300     0.7458     62.9266   0.1312
00500     1.0266      0.7000     0.7521     62.7078   0.0981
00600     0.7802      0.7200     0.7503     59.4323   0.0727
00700     0.8150      0.7500     0.7602     63.1940   0.0523
00800     0.9396      0.7100     0.7808     60.2245   0.0344
00900     0.7605      0.7700     0.7952     63.9126   0.0188
01000     0.7387      0.7300     0.8030     61.3946   0.0051
01100     0.9782      0.7700     0.7856     64.6982   0.0000
01200     0.9148      0.6800     0.8008     60.1469   0.0000
01300     0.7451      0.7900     0.8109     64.8319   0.0000
01400     0.6631      0.7300     0.8291     66.4702   0.0000
01500     0.5339      0.8100     0.8000     63.6786   0.0000
01600     0.5233      0.8500     0.8146     65.8879   0.0000
01700     0.6617      0.7800     0.8340     64.4237   0.0000
01800     0.6760      0.7600     0.7522     60.4360   0.0000
01900     0.8303      0.7300     0.7620     58.0330   0.0000
02000     0.6645      0.8200     0.8311     59.2312   0.0000
02100     0.9210      0.7200     0.8371     63.0383   0.0000
02200     0.6882      0.7900     0.8515     63.3343   0.0000
02300     0.7313      0.8500     0.8326     60.5048   0.0000
02400     0.5915      0.8400     0.7819     59.8573   0.0000
02500     0.5099      0.8400     0.7919     62.2716   0.0000
02600     0.5585      0.8400     0.8173     61.0178   0.0000
02700     0.4400      0.8500     0.7948     62.8507   0.0000
02800     0.3989      0.8800     0.8468     58.3733   0.0000
02900     0.6344      0.7600     0.8436     60.8633   0.0000
03000     0.6160      0.7500     0.8563     66.6307   0.0000
03100     0.5650      0.8200     0.8561     62.5356   0.0000
03200     0.6971      0.7900     0.8629     60.6357   0.0000
03300     0.5464      0.8200     0.7602     61.3886   0.0000
03400     0.4561      0.8900     0.8313     58.8050   0.0000
03500     0.5303      0.8400     0.8452     64.1395   0.0000
03600     0.5638      0.8200     0.8421     61.0650   0.0000
03700     0.6894      0.8100     0.8550     62.7230   0.0000
03800     0.6281      0.8100     0.8593     59.7580   0.0000
03900     0.6808      0.8000     0.8053     59.2144   0.0000
04000     0.6270      0.7900     0.8167     59.5664   0.0000
04100     0.4062      0.8900     0.8568     61.8678   0.0000
04200     0.6040      0.7800     0.8547     58.1160   0.0000
04300     0.5530      0.8100     0.8316     59.4627   0.0000
04400     0.5726      0.8200     0.8569     64.1581   0.0000
04500     0.5836      0.8500     0.8753     60.9030   0.0000
04600     0.6742      0.7900     0.8682     63.7422   0.0000
04700     0.5463      0.8300     0.8564     62.8562   0.0000
04800     0.4845      0.8600     0.8784     59.2785   0.0000
04900     0.5556      0.8300     0.8702     61.6272   0.0000
05000     0.6774      0.8200     0.8736     64.3964   0.0000
05100     0.5949      0.7800     0.8733     62.6722   0.0000
05200     0.4512      0.8300     0.8701     61.5670   0.0001
05300     0.6993      0.7900     0.8730     58.1966   0.0000
05400     0.5085      0.8400     0.8646     58.7872   0.0000
05500     0.4571      0.8300     0.8618     61.8932   0.0000
05600     0.6002      0.8200     0.8716     64.5468   0.0000
05700     0.5886      0.8500     0.8729     63.2191   0.0000
05800     0.5489      0.8300     0.8480     63.2022   0.0000
05900     0.5153      0.8200     0.8692     62.3557   0.0000
06000     0.5241      0.8400     0.8633     62.8513   0.0001
06100     0.4974      0.8700     0.8708     61.6117   0.0000
06200     0.4985      0.8000     0.8793     61.8208   0.0000
06300     0.5746      0.8000     0.8707     62.6280   0.0000
06400     0.5045      0.8400     0.8700     59.7481   0.0000
