Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=2, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
5ed579d0-36d7-491b-9b49-85a30d71379f
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     2.9130      0.0844     0.0837     9.4187   0.2861
00100     1.8981      0.3840     0.3749     53.1614   0.0016
00200     1.4262      0.5190     0.5939     53.3779   0.0001
00300     1.1287      0.6224     0.6802     54.1419   0.0001
00400     1.1487      0.6287     0.7166     53.8941   0.0000
00500     0.9013      0.7321     0.7456     53.4694   0.0001
00600     0.9016      0.6878     0.7606     53.8191   0.0001
00700     0.9882      0.6857     0.7556     53.5174   0.0001
00800     0.9194      0.7025     0.7608     54.5593   0.0001
00900     0.8404      0.7468     0.7712     53.7081   0.0000
01000     0.7861      0.7468     0.7760     53.1863   0.0000
01100     0.7807      0.7574     0.8038     55.7160   0.0000
01200     0.8034      0.7426     0.7987     59.2361   0.0000
01300     0.7966      0.7405     0.7873     56.0056   0.0000
01400     0.8053      0.7553     0.8014     57.4095   0.0000
01500     0.7306      0.7848     0.7976     59.2787   0.0000
01600     0.7667      0.7679     0.7943     57.9635   0.0000
01700     0.7975      0.7574     0.8109     56.3169   0.0001
01800     0.7632      0.7489     0.8105     55.7387   0.0000
01900     0.7827      0.7658     0.7913     56.9715   0.0001
