Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=3, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=8627169, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
7b36b958-fcb1-44fe-9ed1-e47eb652fb0b
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     2.9264      0.1055     0.0807     11.2215   0.3824
00100     1.7517      0.4325     0.4731     73.3849   0.1258
00200     1.2814      0.5464     0.6228     73.6296   0.0186
00300     1.1669      0.6392     0.6864     72.9581   0.0000
00400     1.0053      0.6899     0.7197     70.5245   0.0001
00500     0.9661      0.6983     0.7486     72.9710   0.0000
00600     0.8070      0.7532     0.7748     72.9329   0.0000
00700     0.8481      0.7089     0.7761     75.5242   0.0001
00800     0.8024      0.7321     0.7763     73.6983   0.0000
00900     0.8643      0.7215     0.7760     73.8906   0.0000
01000     0.8771      0.7257     0.7869     73.0944   0.0000
01100     0.7796      0.7574     0.8030     73.7994   0.0000
01200     0.8180      0.7363     0.8048     73.5671   0.0000
01300     0.6622      0.8038     0.7949     72.0346   0.0000
01400     0.7887      0.7384     0.8041     74.1075   0.0000
01500     0.7845      0.7321     0.8183     74.6420   0.0000
01600     0.7422      0.7616     0.8139     72.8050   0.0000
01700     0.7232      0.7827     0.8214     70.7729   0.0000
01800     0.6243      0.8186     0.7889     72.4689   0.0000
01900     0.6346      0.8059     0.8296     73.7796   0.0000
02000     0.6504      0.7848     0.8052     72.4383   0.0000
02100     0.6873      0.8017     0.8081     72.2465   0.0000
02200     0.6428      0.8080     0.8097     72.6227   0.0000
02300     0.7245      0.7848     0.8312     73.6614   0.0000
02400     0.7189      0.7785     0.8285     75.1392   0.0000
02500     0.6909      0.7827     0.8034     72.8303   0.0000
02600     0.6464      0.7890     0.7910     74.2342   0.0000
02700     0.6307      0.8186     0.8179     72.7666   0.0000
02800     0.6680      0.8017     0.8151     71.2734   0.0000
02900     0.6513      0.8080     0.8222     72.7373   0.0000
03000     0.6562      0.7954     0.8087     72.8420   0.0000
03100     0.5882      0.8165     0.7989     73.6434   0.0000
03200     0.6399      0.8038     0.8357     71.8245   0.0000
03300     0.6572      0.7932     0.8260     72.6735   0.0000
03400     0.6954      0.7722     0.7934     74.5148   0.0000
03500     0.6522      0.8080     0.8303     73.4488   0.0000
03600     0.6068      0.8059     0.8221     71.2758   0.0000
03700     0.5996      0.8038     0.8114     72.8003   0.0000
03800     0.6491      0.7975     0.7825     71.6090   0.0000
03900     0.7397      0.7722     0.8005     69.6661   0.0000
04000     0.5678      0.8207     0.7580     71.9661   0.0000
04100     0.5603      0.8439     0.8327     71.8133   0.0000
04200     0.6303      0.7827     0.8399     72.2726   0.0000
04300     0.6605      0.8143     0.8275     72.7513   0.0000
04400     0.6948      0.7911     0.7702     71.9452   0.0000
04500     0.5234      0.8354     0.8351     72.8618   0.0000
04600     0.6146      0.8122     0.8301     74.4283   0.0000
04700     0.5885      0.8207     0.8384     72.0901   0.0000
04800     0.6058      0.8122     0.7413     73.4289   0.0000
04900     0.6388      0.7932     0.7962     73.6743   0.0000
05000     0.5848      0.8312     0.8393     72.0480   0.0000
05100     0.5264      0.8249     0.8325     72.3089   0.0000
05200     0.5915      0.8228     0.8144     71.7658   0.0000
05300     0.6171      0.8143     0.8263     73.3414   0.0000
05400     0.7018      0.7722     0.8136     72.0056   0.0000
05500     0.6607      0.8165     0.8045     72.0552   0.0000
05600     0.6546      0.8122     0.7791     73.3853   0.0000
05700     0.5430      0.8354     0.8409     73.1489   0.0000
05800     0.6453      0.8249     0.8350     71.9599   0.0000
05900     0.6418      0.8101     0.8457     73.0470   0.0000
06000     0.5875      0.7954     0.8454     72.2034   0.0000
06100     0.5521      0.8418     0.8081     72.7991   0.0000
06200     0.6454      0.8038     0.8261     71.8981   0.0000
06300     0.5804      0.8291     0.7831     71.8316   0.0000
06400     0.5265      0.8418     0.7663     73.5130   0.0000
06500     0.6327      0.8101     0.8264     70.9559   0.0000
06600     0.5083      0.8586     0.8378     72.7690   0.0000
06700     0.5784      0.8312     0.8341     73.4607   0.0000
06800     0.5334      0.8502     0.7592     73.3800   0.0000
06900     0.5687      0.8333     0.8424     74.0901   0.0000
07000     0.5946      0.8101     0.7821     72.3073   0.0000
07100     0.5457      0.8122     0.8202     71.7708   0.0000
07200     0.5767      0.8249     0.8508     72.5074   0.0000
07300     0.5956      0.8017     0.8207     73.0496   0.0000
