Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=8627169, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
a4b16022-148e-449d-bf16-32520a8d4970
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     2.9788      0.0759     0.0761     11.1209   0.4327
00100     1.8313      0.3966     0.4207     54.8008   0.2035
00200     1.2047      0.6245     0.6107     55.4816   0.0908
00300     1.1148      0.6224     0.6766     56.2436   0.0398
00400     0.9924      0.6793     0.7173     54.8329   0.0112
00500     0.8937      0.7194     0.7510     54.7534   0.0000
00600     0.9194      0.6646     0.7512     55.3086   0.0000
00700     0.8302      0.7447     0.7581     54.8345   0.0000
00800     0.8164      0.7405     0.7868     55.6597   0.0000
00900     0.8297      0.7194     0.7759     54.7494   0.0000
01000     0.8194      0.7574     0.7955     56.8781   0.0000
01100     0.8968      0.7110     0.7994     55.3165   0.0000
01200     0.7360      0.7722     0.7971     54.2907   0.0000
01300     0.7023      0.7637     0.8042     54.9234   0.0000
01400     0.7510      0.7447     0.8106     56.6061   0.0000
01500     0.6611      0.7806     0.7689     55.8413   0.0000
01600     0.7955      0.7489     0.8026     55.1920   0.0000
01700     0.6839      0.7911     0.8130     55.2911   0.0000
01800     0.7078      0.7996     0.7488     54.7058   0.0000
01900     0.6186      0.8059     0.7993     55.9089   0.0000
02000     0.7104      0.7679     0.8126     55.0478   0.0000
02100     0.7215      0.7553     0.8181     55.6050   0.0000
02200     0.7729      0.7468     0.7945     57.1766   0.0000
02300     0.6127      0.7996     0.8141     55.1195   0.0000
02400     0.6775      0.7932     0.8248     55.3457   0.0000
02500     0.7028      0.7785     0.8070     54.6175   0.0000
02600     0.8123      0.7405     0.7706     55.9095   0.0000
02700     0.6377      0.8017     0.7817     55.5743   0.0000
02800     0.6797      0.7911     0.7851     54.6730   0.0000
02900     0.6187      0.8080     0.8220     54.8311   0.0000
03000     0.6240      0.8270     0.8210     54.9160   0.0000
03100     0.6925      0.7975     0.7555     55.4483   0.0000
03200     0.6776      0.7890     0.7881     55.7437   0.0000
03300     0.5894      0.8165     0.8275     55.0858   0.0000
03400     0.6126      0.8207     0.7768     56.8763   0.0000
03500     0.6305      0.8059     0.7751     56.5071   0.0000
03600     0.6064      0.8101     0.8225     56.1463   0.0000
03700     0.6443      0.7827     0.7843     54.8719   0.0000
03800     0.6283      0.8228     0.7958     55.3116   0.0000
03900     0.6432      0.7890     0.7478     55.0898   0.0000
04000     0.5932      0.8165     0.8358     56.4755   0.0000
04100     0.5601      0.8249     0.8060     56.3475   0.0000
04200     0.6384      0.8038     0.7481     55.6704   0.0000
04300     0.5910      0.8207     0.7990     55.6578   0.0000
04400     0.6485      0.7890     0.8331     55.0230   0.0000
04500     0.5651      0.8228     0.8234     56.4316   0.0000
04600     0.6004      0.8038     0.8031     56.0461   0.0000
04700     0.5123      0.8544     0.7961     55.1836   0.0000
04800     0.6278      0.8038     0.7995     55.3536   0.0000
04900     0.6114      0.8080     0.7680     56.1700   0.0000
05000     0.5257      0.8376     0.8058     55.4785   0.0000
05100     0.6540      0.8059     0.8302     56.1604   0.0000
05200     0.5264      0.8397     0.8171     55.6380   0.0000
05300     0.5316      0.8228     0.8347     54.6598   0.0000
05400     0.5060      0.8439     0.7638     55.7002   0.0000
05500     0.6036      0.8101     0.8276     54.9611   0.0000
05600     0.5794      0.8186     0.8125     56.3698   0.0000
