Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=5, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
a2dccc1e-3f9e-4a45-9059-e679617e8cb5
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.3541      0.0802     0.0796     11.7738   0.4606
00100     1.6893      0.4536     0.4797     77.3007   0.2588
00200     1.2274      0.6224     0.6336     75.1353   0.1469
00300     1.1105      0.6751     0.6964     73.9988   0.0907
00400     1.0400      0.6435     0.7235     73.9961   0.0581
00500     1.0150      0.6519     0.7499     74.8021   0.0372
00600     0.8040      0.7574     0.7766     73.6995   0.0217
00700     0.7896      0.7236     0.7876     75.4441   0.0096
00800     0.7811      0.7679     0.7892     75.6916   0.0003
00900     0.7961      0.7342     0.7876     74.1276   0.0000
01000     0.7289      0.7637     0.7995     74.3673   0.0000
01100     0.7637      0.7574     0.7994     74.7318   0.0000
01200     0.7442      0.7574     0.8137     73.1094   0.0000
01300     0.7199      0.7722     0.8192     74.5786   0.0001
01400     0.7023      0.7658     0.8194     73.8362   0.0000
01500     0.7140      0.7700     0.8173     75.2035   0.0000
01600     0.7279      0.7553     0.8215     73.2060   0.0000
01700     0.7110      0.7764     0.8148     73.7676   0.0000
01800     0.6966      0.7553     0.8171     73.9361   0.0000
01900     0.5693      0.8207     0.8301     74.5707   0.0000
02000     0.6781      0.7700     0.8150     74.1379   0.0000
02100     0.6876      0.7743     0.8227     73.2376   0.0000
02200     0.6289      0.7911     0.8199     73.9955   0.0000
02300     0.6399      0.7700     0.8195     75.2215   0.0001
02400     0.6892      0.7764     0.8356     72.5501   0.0000
02500     0.5822      0.8312     0.8278     74.7667   0.0000
02600     0.6839      0.7954     0.8246     73.7642   0.0000
02700     0.5821      0.8270     0.8137     73.6116   0.0000
02800     0.5902      0.8165     0.8075     74.5366   0.0000
02900     0.6639      0.7954     0.8096     72.8412   0.0000
03000     0.6407      0.8059     0.8237     75.0768   0.0000
03100     0.6315      0.8038     0.8412     73.3001   0.0000
03200     0.6224      0.8143     0.8284     73.6096   0.0000
03300     0.6005      0.7975     0.8287     72.2315   0.0000
03400     0.6598      0.7954     0.8263     74.2251   0.0000
03500     0.5300      0.8397     0.8397     73.1658   0.0000
03600     0.6025      0.8017     0.8365     73.2579   0.0000
03700     0.5480      0.8228     0.8358     73.7692   0.0000
03800     0.6275      0.7911     0.8365     74.6150   0.0000
03900     0.6524      0.7975     0.8325     74.1351   0.0000
04000     0.5574      0.8333     0.8335     73.5617   0.0000
04100     0.6212      0.8122     0.8311     74.2458   0.0000
04200     0.5791      0.8080     0.7720     73.3912   0.0000
04300     0.4914      0.8481     0.8231     72.9836   0.0000
04400     0.5127      0.8228     0.7697     74.4979   0.0000
04500     0.5079      0.8397     0.8357     75.2009   0.0000
04600     0.5623      0.8270     0.8471     74.3381   0.0000
04700     0.5732      0.8270     0.8417     71.3573   0.0000
04800     0.6254      0.7911     0.8474     73.7552   0.0000
04900     0.5315      0.8439     0.8175     73.2264   0.0000
05000     0.4833      0.8629     0.8427     74.0294   0.0000
05100     0.5777      0.8165     0.7501     75.0081   0.0000
05200     0.5859      0.8207     0.8243     75.2402   0.0000
05300     0.5095      0.8439     0.7401     74.1867   0.0000
05400     0.5100      0.8376     0.8395     75.1109   0.0000
05500     0.5683      0.8186     0.8131     72.8609   0.0000
05600     0.5926      0.8165     0.8152     74.3696   0.0000
05700     0.4710      0.8523     0.8462     73.2953   0.0000
05800     0.5062      0.8397     0.7839     73.9744   0.0000
05900     0.5613      0.8228     0.8433     72.7441   0.0000
06000     0.5394      0.8186     0.8357     74.2432   0.0000
06100     0.6168      0.7975     0.8447     72.9677   0.0000
06200     0.5240      0.8291     0.8308     74.7905   0.0000
06300     0.5523      0.8397     0.8231     74.8305   0.0000
06400     0.5036      0.8354     0.8539     77.2156   0.0000
06500     0.4933      0.8376     0.7887     73.8426   0.0000
06600     0.4814      0.8502     0.8381     73.6983   0.0000
06700     0.5652      0.8228     0.7685     73.0212   0.0000
06800     0.5473      0.8502     0.8258     73.2687   0.0000
06900     0.4621      0.8586     0.8184     73.8788   0.0000
07000     0.4615      0.8544     0.8153     73.5745   0.0000
07100     0.5497      0.8186     0.8110     74.3455   0.0000
07200     0.5806      0.8333     0.8351     72.1059   0.0000
07300     0.5438      0.8397     0.8474     72.8415   0.0000
07400     0.5613      0.8249     0.8135     73.8959   0.0000
07500     0.5707      0.8270     0.7512     74.7707   0.0000
07600     0.4944      0.8586     0.7869     71.9933   0.0000
07700     0.6093      0.8228     0.7477     74.5315   0.0000
07800     0.4406      0.8861     0.7982     73.3808   0.0000
07900     0.5264      0.8333     0.7464     75.3656   0.0000
08000     0.5223      0.8502     0.7617     75.0114   0.0000
08100     0.5321      0.8354     0.7667     75.3640   0.0000
08200     0.5417      0.8122     0.7797     74.2416   0.0000
08300     0.5619      0.8207     0.8167     75.7042   0.0000
08400     0.4712      0.8481     0.8021     74.6962   0.0000
08500     0.4141      0.8776     0.7471     73.3945   0.0000
08600     0.5271      0.8333     0.8444     74.2410   0.0000
08700     0.5188      0.8481     0.8113     74.0970   0.0000
08800     0.5975      0.8059     0.8246     73.0448   0.0000
08900     0.5122      0.8460     0.7803     73.0772   0.0000
09000     0.4746      0.8460     0.7510     74.2049   0.0000
09100     0.4720      0.8586     0.8035     74.4649   0.0000
09200     0.5602      0.8291     0.8239     73.5575   0.0000
09300     0.4746      0.8565     0.7510     72.5693   0.0000
09400     0.4751      0.8565     0.7435     73.7181   0.0000
09500     0.5189      0.8418     0.7798     74.3837   0.0000
09600     0.4324      0.8797     0.8058     73.1116   0.0000
09700     0.5271      0.8481     0.7665     73.1275   0.0000
09800     0.5183      0.8523     0.8604     74.1677   0.0000
09900     0.5084      0.8397     0.8177     74.3263   0.0000
10000     0.5353      0.8312     0.7579     72.3398   0.0000
10100     0.4538      0.8608     0.7601     73.3169   0.0000
10200     0.4506      0.8692     0.7682     74.8738   0.0000
10300     0.4774      0.8523     0.7656     73.9721   0.0000
10400     0.3695      0.8755     0.7651     73.5351   0.0000
10500     0.4645      0.8376     0.7671     74.8781   0.0000
10600     0.5116      0.8228     0.7605     75.1618   0.0000
10700     0.4418      0.8544     0.7588     74.1086   0.0000
10800     0.4479      0.8608     0.7606     73.7178   0.0000
10900     0.3804      0.8755     0.7680     73.7320   0.0000
11000     0.4653      0.8565     0.7700     72.1675   0.0000
11100     0.4039      0.8903     0.7719     73.2002   0.0000
11200     0.4373      0.8608     0.7775     73.2689   0.0000
11300     0.4642      0.8629     0.7606     72.4784   0.0000
11400     0.4007      0.8650     0.7660     74.5269   0.0000
11500     0.4143      0.8713     0.7573     73.5076   0.0000
11600     0.4708      0.8629     0.7651     72.5821   0.0000
11700     0.5176      0.8312     0.7613     71.6773   0.0000
11800     0.3540      0.8903     0.7710     71.8047   0.0000
11900     0.4442      0.8523     0.7867     72.9998   0.0000
12000     0.4083      0.8713     0.7581     73.6708   0.0000
12100     0.3764      0.8861     0.7653     72.4312   0.0000
12200     0.4528      0.8544     0.7608     74.3337   0.0000
12300     0.4998      0.8418     0.7618     73.3701   0.0000
12400     0.4118      0.8713     0.7631     73.2387   0.0000
12500     0.4680      0.8460     0.7605     72.8042   0.0000
12600     0.4238      0.8671     0.7807     74.5389   0.0000
12700     0.4090      0.8671     0.7583     75.1778   0.0000
12800     0.4417      0.8629     0.7802     73.3216   0.0000
12900     0.3509      0.8861     0.7605     72.3810   0.0000
13000     0.4175      0.8671     0.7643     73.5443   0.0000
13100     0.4395      0.8586     0.7777     74.1664   0.0000
13200     0.3762      0.8987     0.7782     73.1177   0.0000
13300     0.4205      0.8755     0.7814     73.6763   0.0000
13400     0.4196      0.8671     0.7993     72.5678   0.0000
13500     0.4671      0.8481     0.7607     72.8444   0.0000
13600     0.3844      0.8755     0.7615     73.7516   0.0000
13700     0.3907      0.8776     0.7562     72.8978   0.0000
13800     0.3934      0.8776     0.7659     74.6403   0.0000
13900     0.4122      0.8692     0.7542     73.9343   0.0000
14000     0.4260      0.8650     0.7851     73.8995   0.0000
14100     0.4236      0.8692     0.7908     73.5994   0.0000
14200     0.4114      0.8650     0.7587     73.4580   0.0000
14300     0.4033      0.8840     0.7614     73.5470   0.0000
14400     0.4475      0.8671     0.7743     74.6462   0.0000
14500     0.4228      0.8376     0.7915     74.6877   0.0000
14600     0.4138      0.8713     0.7584     73.0954   0.0000
14700     0.3756      0.8924     0.7601     73.7347   0.0000
14800     0.4398      0.8629     0.7616     76.0603   0.0000
14900     0.4153      0.8629     0.7612     74.4091   0.0000
15000     0.3714      0.8924     0.7623     73.6394   0.0000
15100     0.3817      0.8966     0.7643     74.4886   0.0000
15200     0.4964      0.8376     0.7859     74.1064   0.0000
15300     0.4521      0.8544     0.7718     73.7496   0.0000
15400     0.4299      0.8586     0.7595     72.6466   0.0000
15500     0.3135      0.9114     0.7845     75.7264   0.0000
15600     0.3621      0.8903     0.7679     72.3592   0.0000
15700     0.4458      0.8629     0.7613     72.7724   0.0000
15800     0.3385      0.8987     0.7710     73.7636   0.0000
15900     0.4232      0.8713     0.7736     74.1254   0.0000
16000     0.4306      0.8713     0.7658     74.4276   0.0000
16100     0.4325      0.8755     0.7604     73.7137   0.0000
16200     0.3778      0.8755     0.7623     73.4203   0.0000
16300     0.4174      0.8776     0.7728     73.2062   0.0000
16400     0.3747      0.8882     0.7607     73.2310   0.0000
16500     0.4382      0.8608     0.7610     74.5336   0.0000
16600     0.3397      0.8903     0.7721     72.3237   0.0000
16700     0.4161      0.8692     0.7600     75.7703   0.0000
16800     0.4190      0.8734     0.7738     75.3021   0.0000
16900     0.4710      0.8460     0.7598     72.3499   0.0000
17000     0.4623      0.8565     0.7646     73.8817   0.0000
17100     0.3782      0.8840     0.7885     74.7141   0.0000
17200     0.4133      0.8713     0.7660     76.1481   0.0000
17300     0.4536      0.8523     0.7629     74.4782   0.0000
17400     0.3876      0.8776     0.7644     74.9591   0.0000
17500     0.3369      0.9008     0.7610     74.0294   0.0000
17600     0.3777      0.8840     0.7660     74.0188   0.0000
17700     0.4331      0.8713     0.7676     72.5909   0.0000
17800     0.4492      0.8713     0.7721     73.1161   0.0000
17900     0.3685      0.8755     0.7890     74.1598   0.0000
18000     0.4027      0.8861     0.7596     75.0362   0.0000
18100     0.4250      0.8586     0.7598     73.7833   0.0000
18200     0.3545      0.8776     0.7832     74.1221   0.0000
18300     0.4112      0.8671     0.7613     73.9325   0.0000
18400     0.3514      0.8903     0.7523     73.2009   0.0000
18500     0.4267      0.8544     0.7635     73.7192   0.0000
18600     0.3824      0.8840     0.7587     73.5417   0.0000
18700     0.5030      0.8544     0.7655     73.9920   0.0000
18800     0.3886      0.8903     0.7713     73.1144   0.0000
18900     0.3955      0.8861     0.7693     74.6079   0.0000
19000     0.3586      0.8945     0.7604     73.6010   0.0000
19100     0.3804      0.8797     0.7568     73.8529   0.0000
19200     0.4546      0.8565     0.7675     73.3437   0.0000
19300     0.4489      0.8650     0.7822     73.2549   0.0000
19400     0.3974      0.8755     0.7710     74.0324   0.0000
19500     0.4068      0.8755     0.7608     72.7337   0.0000
19600     0.4365      0.8755     0.7751     74.2622   0.0000
19700     0.4664      0.8586     0.7598     73.2106   0.0000
19800     0.3629      0.8713     0.7721     73.7260   0.0000
19900     0.4325      0.8629     0.7672     72.3293   0.0000
20000     0.3489      0.8797     0.7714     73.2787   0.0000
20100     0.4417      0.8608     0.7731     71.8286   0.0000
20199     0.3931      0.8650     0.7643     71.0838   0.0000
Start finetuning with noise:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     0.6627      0.7890     0.7644     9.8120   0.0000
00100     0.4378      0.8692     0.8773     71.2219   0.0000
00200     0.4206      0.8565     0.8823     72.4182   0.0000
00300     0.4580      0.8650     0.8811     71.4079   0.0000
