Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=5, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=8627169, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
d3f7d5ee-72c5-4a66-9526-5490aee1d2e3
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     2.9725      0.0654     0.1204     10.4073   0.4612
00100     1.7019      0.4388     0.4601     54.4119   0.2475
00200     1.1655      0.6371     0.5995     54.2096   0.1365
00300     1.0767      0.6603     0.6946     54.8300   0.0826
00400     1.0655      0.6540     0.7315     54.2225   0.0516
00500     0.9614      0.7025     0.7482     54.6417   0.0312
00600     0.7816      0.7511     0.7630     55.2835   0.0166
00700     0.8945      0.7004     0.7789     54.2706   0.0044
00800     0.7844      0.7342     0.7766     54.9363   0.0000
00900     0.8175      0.7363     0.7853     54.4635   0.0000
01000     0.7358      0.7511     0.7993     54.4209   0.0000
01100     0.7561      0.7532     0.8028     55.0007   0.0000
01200     0.6972      0.7764     0.8091     55.0468   0.0000
01300     0.7341      0.7658     0.8020     55.2605   0.0000
01400     0.7033      0.7658     0.8141     55.0197   0.0000
01500     0.7241      0.7764     0.8209     55.0441   0.0000
01600     0.7168      0.7806     0.8227     54.9533   0.0000
01700     0.6300      0.7911     0.8195     54.4702   0.0000
01800     0.6445      0.7954     0.8078     54.5716   0.0000
01900     0.5972      0.8165     0.8188     54.8916   0.0000
02000     0.6873      0.7679     0.8149     53.9933   0.0000
02100     0.6005      0.7806     0.8209     54.2465   0.0000
02200     0.7555      0.7764     0.8298     55.7017   0.0000
02300     0.6147      0.7911     0.8310     55.3767   0.0000
02400     0.7190      0.7553     0.8312     55.7246   0.0000
02500     0.6309      0.8038     0.8156     55.5838   0.0000
02600     0.5768      0.8228     0.8403     55.8228   0.0000
02700     0.6384      0.8038     0.8246     55.1706   0.0000
02800     0.5505      0.8312     0.8386     54.8666   0.0000
02900     0.5964      0.7996     0.8126     54.6953   0.0000
03000     0.5993      0.8101     0.8350     55.0533   0.0000
