Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=6, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
a990016a-9a66-4f7e-a99f-4aa84c8b1479
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
Traceback (most recent call last):
  File "KWS_LSTM.py", line 167, in <module>
    output = model(x_data)
  File "/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torch/nn/modules/module.py", line 722, in _call_impl
    result = self.forward(*input, **kwargs)
  File "/afs/crc.nd.edu/user/c/cschaef6/QuantizedLSTM/model.py", line 374, in forward
    lstm_out, _ = self.lstmBlocks(inputs, self.hidden_state)
  File "/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torch/nn/modules/module.py", line 722, in _call_impl
    result = self.forward(*input, **kwargs)
  File "/afs/crc.nd.edu/user/c/cschaef6/QuantizedLSTM/model.py", line 65, in forward
    out, state = self.cell(inputs[i], state, w_mask)
  File "/afs/crc.nd.edu/user/c/cschaef6/.local/lib/python3.7/site-packages/torch/nn/modules/module.py", line 722, in _call_impl
    result = self.forward(*input, **kwargs)
  File "/afs/crc.nd.edu/user/c/cschaef6/QuantizedLSTM/model.py", line 213, in forward
    gates = quant_pass(pact_a_bmm( quant_pass(pact_a_bmm(part1, self.a12), self.abMVM, self.a12) + quant_pass(pact_a_bmm(part2, self.a13), self.abMVM, self.a13), self.a14), self.abNM, self.a14)
  File "/afs/crc.nd.edu/user/c/cschaef6/QuantizedLSTM/model.py", line 89, in forward
    x01q =  torch.round(x01 * step_d ) / step_d
RuntimeError: CUDA out of memory. Tried to allocate 20.00 MiB (GPU 0; 10.76 GiB total capacity; 9.70 GiB already allocated; 11.12 MiB free; 9.79 GiB reserved in total by PyTorch)
Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=6, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
9a7d6db1-f8a3-49a0-a869-5ecb4f80d914
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.1870      0.0907     0.0741     9.6670   0.4802
00100     1.6182      0.4641     0.4750     52.8925   0.2970
00200     1.1877      0.6118     0.6230     52.8203   0.1903
00300     1.1063      0.6371     0.6874     53.2584   0.1328
00400     0.9743      0.6624     0.7183     53.1217   0.0975
00500     0.9032      0.7068     0.7439     53.7489   0.0740
00600     0.8383      0.6962     0.7654     53.4774   0.0564
00700     0.7814      0.7511     0.7806     53.0719   0.0424
00800     0.7374      0.7700     0.7849     53.5353   0.0305
00900     0.8659      0.7553     0.7869     52.9526   0.0209
01000     0.7530      0.7363     0.7816     54.9313   0.0128
01100     0.7966      0.7447     0.8052     54.2423   0.0059
01200     0.6968      0.7722     0.8031     53.2919   0.0001
01300     0.7712      0.7468     0.8102     53.3442   0.0000
01400     0.6786      0.7637     0.8110     53.2816   0.0000
01500     0.7958      0.7278     0.8094     53.5761   0.0000
01600     0.7424      0.7489     0.8247     53.7175   0.0000
01700     0.7559      0.7405     0.8183     53.0912   0.0000
01800     0.7803      0.7447     0.8006     53.2983   0.0000
01900     0.6284      0.8017     0.8166     53.7614   0.0000
02000     0.6830      0.7848     0.8201     53.5729   0.0000
02100     0.6218      0.7996     0.8182     53.2727   0.0000
02200     0.6797      0.7827     0.8254     54.1949   0.0000
02300     0.6253      0.7848     0.8223     53.2710   0.0000
02400     0.5776      0.8165     0.8303     53.3504   0.0000
02500     0.6968      0.7743     0.8145     53.9957   0.0000
02600     0.6557      0.8017     0.8240     52.9797   0.0000
02700     0.6287      0.8080     0.8268     53.3006   0.0000
02800     0.6310      0.8059     0.8171     52.9434   0.0000
02900     0.6142      0.7996     0.8230     52.8168   0.0000
03000     0.6672      0.7637     0.8257     53.6123   0.0000
03100     0.6432      0.7848     0.8321     53.9231   0.0000
03200     0.5830      0.8165     0.8260     52.9220   0.0000
03300     0.6751      0.7890     0.8396     53.6538   0.0000
03400     0.5666      0.8122     0.8304     54.7411   0.0000
03500     0.5131      0.8354     0.8222     55.0220   0.0000
03600     0.5353      0.8101     0.8346     54.9346   0.0000
03700     0.6499      0.7932     0.8256     53.6975   0.0000
03800     0.4886      0.8354     0.8296     55.3065   0.0000
03900     0.5488      0.8333     0.8358     53.2410   0.0000
04000     0.5218      0.8207     0.8314     55.4122   0.0000
04100     0.6059      0.8101     0.8465     54.9987   0.0000
04200     0.5555      0.8312     0.8188     54.2661   0.0000
04300     0.5753      0.8186     0.8437     55.3219   0.0000
04400     0.5391      0.8143     0.8362     53.9341   0.0000
04500     0.5453      0.8207     0.8390     54.3407   0.0000
04600     0.5384      0.8460     0.8016     54.5560   0.0000
04700     0.5610      0.8122     0.7769     54.2274   0.0000
04800     0.4968      0.8439     0.7837     54.8962   0.0000
04900     0.5145      0.8228     0.8414     54.9779   0.0000
05000     0.5712      0.8101     0.8284     54.1353   0.0000
05100     0.5080      0.8376     0.7920     56.0762   0.0000
05200     0.4646      0.8481     0.8503     55.2858   0.0000
05300     0.5464      0.8186     0.8334     54.4438   0.0000
05400     0.5167      0.8354     0.8463     54.2026   0.0000
05500     0.5570      0.8017     0.7649     54.6301   0.0000
05600     0.5009      0.8354     0.8207     54.9407   0.0000
05700     0.5571      0.8165     0.7955     54.3996   0.0000
05800     0.5261      0.8249     0.8453     54.1946   0.0000
05900     0.4961      0.8418     0.8210     54.4669   0.0000
06000     0.4743      0.8376     0.8284     54.4562   0.0000
06100     0.4546      0.8544     0.8416     54.4937   0.0000
06200     0.4539      0.8565     0.8107     54.9834   0.0000
06300     0.4703      0.8692     0.8435     55.1202   0.0000
06400     0.4424      0.8544     0.8062     54.0954   0.0000
06500     0.4734      0.8565     0.8553     52.7936   0.0000
06600     0.5473      0.8291     0.8014     54.5343   0.0000
06700     0.5124      0.8439     0.8529     55.1990   0.0000
06800     0.5454      0.8228     0.7848     55.1717   0.0000
06900     0.5916      0.8101     0.8354     54.3967   0.0000
07000     0.4895      0.8354     0.8407     54.8905   0.0000
07100     0.5245      0.8228     0.7403     54.3890   0.0000
07200     0.4760      0.8418     0.8133     55.4688   0.0000
07300     0.5003      0.8544     0.7661     54.3741   0.0000
07400     0.5969      0.8059     0.7743     56.0132   0.0000
07500     0.5712      0.8165     0.8000     55.4417   0.0000
07600     0.4420      0.8629     0.8569     54.8173   0.0000
07700     0.4003      0.8692     0.8315     54.9471   0.0000
07800     0.4430      0.8650     0.8346     54.4804   0.0000
07900     0.3943      0.8797     0.8175     54.7272   0.0000
08000     0.6040      0.8101     0.7541     55.9603   0.0000
08100     0.4414      0.8565     0.7588     53.8588   0.0000
08200     0.4755      0.8502     0.7569     54.1646   0.0000
08300     0.5209      0.8333     0.7631     54.7018   0.0000
08400     0.5347      0.8059     0.7987     54.1797   0.0000
08500     0.5202      0.8376     0.8636     54.6018   0.0000
08600     0.4913      0.8460     0.8691     54.5742   0.0000
08700     0.4386      0.8586     0.8558     53.6211   0.0000
08800     0.5381      0.8270     0.7920     55.1120   0.0000
08900     0.4832      0.8270     0.8095     53.8974   0.0000
09000     0.4675      0.8502     0.7926     53.9276   0.0000
09100     0.4721      0.8586     0.8096     55.0056   0.0000
09200     0.4341      0.8460     0.7934     53.4595   0.0000
09300     0.5501      0.8270     0.8223     54.0117   0.0000
09400     0.4872      0.8460     0.8545     55.1074   0.0000
09500     0.4768      0.8650     0.7672     54.3630   0.0000
09600     0.4554      0.8650     0.7754     55.5316   0.0000
09700     0.5587      0.8101     0.7557     54.6233   0.0000
09800     0.4751      0.8354     0.8543     54.4312   0.0000
09900     0.4794      0.8333     0.7743     54.7528   0.0000
10000     0.5016      0.8481     0.7614     54.6507   0.0000
10100     0.4348      0.8650     0.7804     54.8620   0.0000
10200     0.4954      0.8354     0.7668     54.6683   0.0000
10300     0.4444      0.8523     0.7674     55.3673   0.0000
10400     0.4319      0.8460     0.7741     55.3257   0.0000
10500     0.4508      0.8608     0.7647     55.1204   0.0000
10600     0.3875      0.8882     0.7661     54.2503   0.0000
10700     0.3979      0.8755     0.7733     55.7166   0.0000
10800     0.4598      0.8397     0.7808     53.9570   0.0000
10900     0.3502      0.8987     0.7674     53.7861   0.0000
11000     0.3750      0.8713     0.7727     54.5214   0.0000
11100     0.3802      0.8797     0.7692     53.4057   0.0000
11200     0.5009      0.8397     0.7678     54.7456   0.0000
11300     0.3688      0.8819     0.7735     54.3074   0.0000
11400     0.3696      0.8734     0.7814     54.8394   0.0000
11500     0.4298      0.8734     0.7741     55.2060   0.0000
11600     0.3282      0.9093     0.7680     53.4868   0.0000
11700     0.4383      0.8713     0.7900     53.6811   0.0000
11800     0.3815      0.8713     0.7844     54.5640   0.0000
11900     0.4222      0.8692     0.7852     54.7325   0.0000
12000     0.4902      0.8629     0.7660     53.9044   0.0000
12100     0.3801      0.8692     0.7979     54.3182   0.0000
12200     0.4362      0.8713     0.7752     54.3696   0.0000
12300     0.4601      0.8502     0.7745     55.0965   0.0000
12400     0.4096      0.8629     0.7748     54.9259   0.0000
12500     0.3739      0.8966     0.7689     54.1098   0.0000
12600     0.4156      0.8861     0.7983     54.5599   0.0000
12700     0.3142      0.9177     0.7767     54.9390   0.0000
12800     0.3881      0.8840     0.7706     55.2956   0.0000
12900     0.4493      0.8713     0.7678     54.1421   0.0000
13000     0.3965      0.8608     0.7789     54.4550   0.0000
13100     0.3610      0.8755     0.7690     54.4080   0.0000
13200     0.4333      0.8776     0.7700     53.9744   0.0000
13300     0.3254      0.8966     0.7767     53.2921   0.0000
13400     0.3581      0.8840     0.7702     54.3532   0.0000
13500     0.4295      0.8565     0.7650     54.9257   0.0000
13600     0.3293      0.9135     0.7809     54.5479   0.0000
13700     0.4030      0.8713     0.7647     53.9827   0.0000
13800     0.3599      0.8903     0.7737     54.4750   0.0000
13900     0.3101      0.9177     0.7725     55.6071   0.0000
14000     0.3964      0.8713     0.7628     54.4100   0.0000
14100     0.3671      0.8776     0.7693     54.4080   0.0000
14200     0.3647      0.8797     0.7816     53.8346   0.0000
14300     0.4322      0.8544     0.7882     53.5551   0.0000
14400     0.3968      0.8755     0.7715     54.5207   0.0000
14500     0.4544      0.8523     0.7723     54.6790   0.0000
14600     0.3889      0.8671     0.7944     54.3402   0.0000
