Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=5, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=8627169, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
99544044-3a0e-4ae6-b4b5-a0af4865cd75
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.0131      0.0717     0.0855     9.8402   0.4324
00100     2.1320      0.3122     0.2747     54.7452   0.1658
00200     1.6791      0.4008     0.4434     54.6113   0.0291
00300     1.3688      0.5190     0.5641     55.1214   0.0000
00400     1.2064      0.6055     0.6298     54.8908   0.0000
00500     0.9975      0.6709     0.7048     55.0382   0.0001
00600     1.0456      0.6624     0.7408     55.4009   0.0000
00700     0.8625      0.7363     0.7408     55.4889   0.0000
00800     0.8852      0.7110     0.7460     56.1266   0.0000
00900     0.9662      0.6899     0.7571     54.9025   0.0000
01000     0.9138      0.6983     0.7581     55.1586   0.0000
01100     0.9394      0.6962     0.7883     55.1142   0.0000
01200     0.7770      0.7532     0.7855     54.8033   0.0001
01300     0.8052      0.7384     0.7757     54.6708   0.0000
01400     0.8285      0.7236     0.7705     54.8810   0.0000
01500     0.7558      0.7996     0.8000     55.0827   0.0000
01600     0.8956      0.7342     0.7523     55.4886   0.0000
01700     0.7510      0.7553     0.7937     55.7663   0.0000
01800     0.7390      0.7574     0.7472     56.9564   0.0000
01900     0.6128      0.8080     0.7814     56.7425   0.0000
