Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=11, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
19cddd32-1cfe-4985-af6f-797a842c1b9e
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.0218      0.0844     0.0789     9.9851   0.4318
00100     1.6586      0.4768     0.5049     55.3293   0.2127
00200     1.2060      0.6224     0.6412     52.6175   0.1082
00300     1.1007      0.6540     0.6863     55.2751   0.0588
00400     1.0194      0.6624     0.7270     54.0275   0.0300
00500     0.8200      0.7489     0.7690     54.5974   0.0113
00600     0.7996      0.7658     0.7721     54.3515   0.0001
00700     0.7797      0.7511     0.7858     53.9581   0.0000
00800     0.8410      0.7257     0.7929     54.3028   0.0000
00900     0.7648      0.7574     0.7849     54.1535   0.0000
01000     0.7164      0.7658     0.7957     55.2158   0.0000
01100     0.7563      0.7743     0.8076     54.5962   0.0000
01200     0.6370      0.7911     0.8187     54.3722   0.0000
01300     0.7834      0.7722     0.8050     54.2114   0.0000
01400     0.6956      0.7785     0.8130     54.8216   0.0000
01500     0.7605      0.7827     0.8224     54.2498   0.0000
01600     0.7024      0.7806     0.8169     54.3773   0.0000
01700     0.5994      0.8228     0.8130     54.6600   0.0000
01800     0.7076      0.7679     0.8076     54.7802   0.0000
01900     0.7072      0.7637     0.8181     54.9911   0.0000
02000     0.5675      0.8249     0.8192     54.3322   0.0000
02100     0.6879      0.7764     0.8235     53.6027   0.0000
02200     0.6448      0.7954     0.8102     54.5901   0.0000
02300     0.6530      0.7954     0.8222     53.9498   0.0000
02400     0.6605      0.7932     0.8310     54.9111   0.0000
02500     0.6538      0.7932     0.8001     55.2822   0.0000
02600     0.6771      0.8017     0.8295     55.2532   0.0000
02700     0.6352      0.8038     0.8304     55.4641   0.0000
02800     0.6316      0.8017     0.8273     54.8257   0.0000
02900     0.6503      0.7890     0.8217     55.7941   0.0000
03000     0.6375      0.7932     0.8195     55.0684   0.0000
03100     0.6593      0.7890     0.8403     55.1374   0.0000
03200     0.6092      0.8038     0.8267     54.1277   0.0000
03300     0.5655      0.8228     0.8341     55.1051   0.0000
03400     0.5978      0.8354     0.8407     54.1568   0.0000
03500     0.5737      0.8186     0.8425     54.8992   0.0000
03600     0.6043      0.8080     0.8357     54.4750   0.0000
03700     0.5497      0.8376     0.8466     53.8406   0.0000
03800     0.6276      0.8122     0.8387     55.2921   0.0000
03900     0.5431      0.8460     0.8309     54.7340   0.0000
04000     0.6130      0.7975     0.8405     54.5487   0.0000
04100     0.7157      0.7869     0.8360     55.1365   0.0000
04200     0.6323      0.7848     0.8270     55.5141   0.0000
04300     0.5756      0.8270     0.8475     55.8469   0.0000
04400     0.5730      0.8291     0.8021     53.7770   0.0000
04500     0.5544      0.8312     0.8298     53.9418   0.0000
04600     0.6127      0.8101     0.8521     56.0052   0.0000
04700     0.5621      0.8502     0.8464     54.2702   0.0000
04800     0.4976      0.8354     0.8474     54.5076   0.0000
04900     0.5872      0.8312     0.8493     54.0506   0.0000
05000     0.5519      0.8228     0.8287     53.6160   0.0000
05100     0.5550      0.8228     0.8507     54.9709   0.0000
05200     0.6208      0.8186     0.8387     54.3880   0.0000
05300     0.5258      0.8186     0.8517     54.7536   0.0000
05400     0.6505      0.7954     0.8395     54.6021   0.0000
05500     0.5636      0.8376     0.8319     54.9217   0.0000
05600     0.5889      0.8080     0.8384     55.6442   0.0000
05700     0.5563      0.8397     0.8196     55.1842   0.0000
05800     0.4908      0.8460     0.8340     55.1118   0.0000
05900     0.5692      0.8207     0.8054     54.4602   0.0000
06000     0.5199      0.8397     0.7835     54.6657   0.0000
06100     0.6138      0.8038     0.8505     54.6063   0.0000
06200     0.4945      0.8565     0.8539     55.3353   0.0000
06300     0.4706      0.8418     0.8502     53.9120   0.0000
06400     0.5303      0.8418     0.8330     54.1858   0.0000
06500     0.5074      0.8439     0.8349     53.9831   0.0000
06600     0.5253      0.8312     0.7980     54.4008   0.0000
06700     0.5145      0.8376     0.8241     54.1636   0.0000
06800     0.5512      0.8228     0.8564     54.0553   0.0000
06900     0.4768      0.8692     0.8012     54.6833   0.0000
07000     0.5081      0.8333     0.8641     54.2013   0.0000
07100     0.5649      0.8207     0.8517     53.6748   0.0000
07200     0.5816      0.8228     0.8527     55.0051   0.0000
07300     0.5299      0.8481     0.8550     54.0666   0.0000
07400     0.5140      0.8565     0.7733     54.1748   0.0000
07500     0.5489      0.8270     0.8613     54.6768   0.0000
07600     0.4882      0.8397     0.8280     54.2530   0.0000
07700     0.4829      0.8713     0.8396     54.2483   0.0000
07800     0.5318      0.8354     0.8555     55.5904   0.0000
07900     0.5930      0.8101     0.8652     54.4911   0.0000
08000     0.5364      0.8312     0.8354     55.7763   0.0000
08100     0.4800      0.8544     0.7737     54.3226   0.0000
08200     0.5509      0.8207     0.8253     54.1347   0.0000
08300     0.5710      0.8080     0.8593     54.5686   0.0000
08400     0.4869      0.8439     0.8676     54.1843   0.0000
08500     0.4851      0.8291     0.7850     55.1788   0.0000
08600     0.5087      0.8481     0.8532     53.9668   0.0000
08700     0.4998      0.8376     0.8572     54.5417   0.0000
08800     0.4753      0.8586     0.8624     54.6283   0.0000
08900     0.5229      0.8502     0.8543     55.5730   0.0000
09000     0.4304      0.8650     0.7536     54.6197   0.0000
09100     0.5434      0.8228     0.8133     55.6400   0.0000
09200     0.5445      0.8165     0.8212     54.4619   0.0000
09300     0.5565      0.8376     0.8534     55.4695   0.0000
09400     0.5311      0.8291     0.8448     55.5859   0.0000
09500     0.4950      0.8376     0.8768     54.0826   0.0000
