Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=2, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
2c762d5d-5642-4235-8c8b-47c62e458b90
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     2.5692      0.0633     0.0806     11.1143   0.4230
00100     2.5256      0.0928     0.0807     69.8026   0.0001
00200     2.5255      0.0802     0.0808     69.9658   0.0005
00300     2.5255      0.0781     0.0805     69.2751   0.0003
00400     2.5253      0.0928     0.0804     70.3555   0.0000
00500     2.5252      0.0675     0.0806     72.2914   0.0001
00600     2.5251      0.0717     0.0806     68.6159   0.0000
00700     2.5251      0.0570     0.0806     71.9163   0.0005
00800     2.5250      0.0844     0.0808     71.7195   0.0002
00900     2.5249      0.0802     0.0807     69.8005   0.0003
01000     2.5249      0.0949     0.0805     69.8258   0.0014
01100     2.5248      0.0738     0.0810     71.3495   0.0001
01200     2.5247      0.0865     0.0808     71.2364   0.0006
01300     2.5246      0.0696     0.0805     71.1914   0.0010
01400     2.5247      0.0823     0.0801     70.0840   0.0011
01500     2.5244      0.0717     0.0805     70.2269   0.0006
01600     2.5244      0.0865     0.0808     72.6677   0.0003
01700     2.5243      0.1034     0.0803     69.0046   0.0007
01800     2.5242      0.0865     0.0809     69.1556   0.0001
01900     2.5242      0.0506     0.0808     70.1341   0.0010
02000     2.5241      0.0696     0.0800     69.5031   0.0008
02100     2.5240      0.0738     0.0808     70.5241   0.0003
02200     2.5239      0.0907     0.0812     71.4865   0.0002
02300     2.5238      0.1160     0.0801     71.0709   0.0003
02400     2.5237      0.0844     0.0806     71.2436   0.0004
02500     2.5237      0.0570     0.0812     68.9676   0.0001
02600     2.5237      0.0738     0.0807     72.5866   0.0002
02700     2.5235      0.0591     0.0807     72.5796   0.0013
02800     2.5235      0.0717     0.0805     71.2254   0.0005
02900     2.5234      0.0781     0.0814     71.6640   0.0005
03000     2.5234      0.0717     0.0808     72.3721   0.0003
03100     2.5233      0.0928     0.0800     70.9634   0.0002
03200     2.5232      0.0844     0.0803     71.1196   0.0003
03300     2.5231      0.0717     0.0811     70.9066   0.0004
03400     2.5230      0.1076     0.0807     71.4452   0.0007
03500     2.5230      0.0696     0.0806     70.0963   0.0004
03600     2.5229      0.0654     0.0807     72.0819   0.0008
03700     2.5229      0.0865     0.0807     69.3138   0.0005
03800     2.5227      0.0654     0.0808     71.4674   0.0009
03900     2.5227      0.0844     0.0803     69.7136   0.0004
04000     2.5226      0.0844     0.0803     68.7942   0.0007
04100     2.5226      0.0781     0.0808     69.2844   0.0013
04200     2.5225      0.0759     0.0806     72.2742   0.0003
04300     2.5225      0.0612     0.0807     71.5989   0.0013
04400     2.5224      0.0886     0.0800     68.2185   0.0001
04500     2.5223      0.0633     0.0803     69.9200   0.0000
04600     2.5222      0.0823     0.0804     68.8983   0.0001
04700     2.5222      0.0907     0.0807     69.9151   0.0004
04800     2.5221      0.0802     0.0804     71.7794   0.0006
04900     2.5220      0.0907     0.0807     70.1069   0.0002
05000     2.5220      0.0633     0.0805     68.9843   0.0004
05100     2.5219      0.0844     0.0807     70.1709   0.0003
05200     2.5218      0.0844     0.0805     69.3359   0.0010
05300     2.5217      0.0823     0.0803     69.7910   0.0001
05400     2.5218      0.0717     0.0807     71.1979   0.0014
05500     2.5216      0.0675     0.0806     71.4728   0.0003
05600     2.5216      0.0802     0.0806     71.0701   0.0017
05700     2.5214      0.0802     0.0803     71.2028   0.0007
05800     2.5214      0.1076     0.0807     69.7757   0.0002
05900     2.5213      0.0696     0.0806     70.2485   0.0005
06000     2.5213      0.0696     0.0808     70.5554   0.0002
06100     2.5212      0.0738     0.0807     71.5492   0.0004
06200     2.5212      0.0591     0.0808     70.8358   0.0014
06300     2.5211      0.0696     0.0797     68.5408   0.0004
06400     2.5211      0.0844     0.0805     68.8970   0.0022
06500     2.5209      0.0781     0.0807     68.5528   0.0002
06600     2.5208      0.0591     0.0806     68.8712   0.0014
