Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=4, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
60dafb7f-d939-4708-81bd-e654ec72109d
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     2.5692      0.0633     0.0806     11.0610   0.4285
00100     2.9421      0.1477     0.1217     71.4524   0.0800
00200     3.4903      0.3080     0.1931     69.2470   0.0001
00300     3.2183      0.3270     0.2121     72.0164   0.0001
00400     3.4002      0.3143     0.2424     71.4258   0.0000
00500     3.1335      0.3418     0.2151     71.3540   0.0000
00600     3.1175      0.3713     0.2319     71.6840   0.0001
00700     2.8760      0.3840     0.2565     71.7835   0.0000
00800     3.0477      0.3671     0.2853     72.5803   0.0001
00900     2.8783      0.2869     0.2476     71.4898   0.0001
01000     2.4064      0.3797     0.3468     71.5023   0.0002
01100     2.5026      0.4515     0.3663     72.2216   0.0000
01200     2.2261      0.4536     0.3806     71.3967   0.0000
01300     2.3237      0.4346     0.3613     71.2608   0.0001
01400     2.2111      0.3776     0.3281     71.4661   0.0000
01500     2.2993      0.3861     0.3263     71.1563   0.0001
01600     2.3128      0.4895     0.4045     71.3387   0.0001
01700     1.9154      0.4241     0.3732     72.0987   0.0000
01800     2.1597      0.4241     0.3271     72.2555   0.0001
01900     1.8578      0.4241     0.3652     71.6496   0.0001
02000     1.8855      0.4219     0.4074     71.7338   0.0000
02100     2.0704      0.4515     0.3903     72.3495   0.0000
02200     1.8597      0.4684     0.3810     72.2002   0.0000
02300     1.9425      0.4641     0.3945     72.4619   0.0000
02400     2.1497      0.4198     0.4129     72.2585   0.0000
02500     1.9759      0.4325     0.3998     73.9465   0.0000
02600     1.9766      0.4662     0.4279     73.7065   0.0000
02700     1.8873      0.4810     0.4160     72.9294   0.0000
02800     1.6724      0.5127     0.4388     72.6903   0.0000
02900     1.7967      0.5211     0.4561     72.4882   0.0000
03000     1.7018      0.5211     0.4693     72.2749   0.0000
03100     2.0102      0.5527     0.4728     72.7552   0.0000
03200     1.7958      0.5169     0.4602     72.3414   0.0000
03300     1.4627      0.5485     0.4772     72.5748   0.0000
03400     1.6574      0.5612     0.4607     71.4743   0.0000
03500     1.6084      0.5422     0.4636     72.0152   0.0000
03600     1.6534      0.5506     0.4667     72.0736   0.0000
03700     2.0074      0.4895     0.4538     72.3211   0.0000
03800     1.6859      0.5570     0.4951     71.4955   0.0000
03900     1.5964      0.5359     0.4830     71.9897   0.0000
04000     1.8799      0.5316     0.4724     72.3420   0.0000
04100     1.8926      0.5295     0.4415     71.3698   0.0000
04200     1.9181      0.4726     0.4572     71.8617   0.0001
04300     1.7457      0.4916     0.4531     71.5449   0.0000
04400     1.7093      0.5169     0.4836     72.0696   0.0000
04500     1.6601      0.4895     0.4628     72.1276   0.0000
04600     1.5668      0.4937     0.4448     72.5515   0.0000
04700     1.6939      0.5485     0.4819     71.7272   0.0000
04800     1.4455      0.5949     0.4839     72.7039   0.0000
04900     1.7934      0.5506     0.5072     71.9172   0.0000
05000     1.6412      0.5675     0.4680     72.4789   0.0000
05100     1.7165      0.5654     0.4972     72.9190   0.0000
05200     1.7063      0.5759     0.5055     71.5874   0.0000
05300     1.6339      0.5506     0.4823     72.3694   0.0000
05400     1.7301      0.5527     0.4776     72.2612   0.0000
05500     1.5207      0.5549     0.4783     71.9130   0.0000
05600     1.6340      0.5612     0.4879     72.5382   0.0000
05700     1.4967      0.5823     0.5032     71.7785   0.0000
05800     1.4207      0.6097     0.5022     71.8989   0.0000
05900     1.5707      0.5759     0.4930     72.6948   0.0000
06000     1.4540      0.5654     0.4925     72.5226   0.0000
06100     1.7705      0.5781     0.5006     71.7481   0.0000
06200     1.4686      0.5464     0.5064     72.8021   0.0000
06300     1.4195      0.6160     0.5140     72.3091   0.0000
06400     1.4007      0.5464     0.5021     72.2204   0.0000
06500     1.5104      0.5591     0.4622     72.0034   0.0000
06600     1.8347      0.5401     0.5085     72.7355   0.0000
06700     1.7899      0.5675     0.5169     72.3053   0.0000
06800     1.4429      0.6034     0.5049     71.8936   0.0000
06900     1.4804      0.5738     0.5061     71.5073   0.0000
07000     1.6900      0.5527     0.5114     71.5744   0.0000
07100     1.4564      0.5063     0.5172     71.9822   0.0000
07200     1.4870      0.5654     0.5084     72.6423   0.0000
07300     1.5718      0.5844     0.5058     71.4732   0.0000
07400     1.5141      0.5886     0.5165     72.0672   0.0000
07500     1.8300      0.5380     0.5188     71.9988   0.0000
07600     1.4570      0.5949     0.5057     71.1567   0.0000
07700     1.4734      0.5865     0.5193     72.2738   0.0000
07800     1.7291      0.5928     0.4997     72.3297   0.0000
07900     1.7212      0.5738     0.5137     72.4716   0.0000
08000     1.5696      0.5928     0.5213     72.4032   0.0000
08100     1.2322      0.6456     0.5232     72.3523   0.0000
08200     1.7004      0.5907     0.5325     72.3458   0.0000
08300     1.5683      0.5696     0.5261     72.3853   0.0000
08400     1.3936      0.6203     0.5370     71.8068   0.0000
08500     1.4552      0.5654     0.5230     72.2918   0.0000
08600     1.5507      0.6076     0.5141     71.9818   0.0000
08700     1.5249      0.5781     0.5390     71.9886   0.0000
08800     1.5822      0.5823     0.5266     72.8237   0.0000
08900     1.5182      0.6034     0.5508     71.9432   0.0000
09000     1.3540      0.5949     0.5295     72.3049   0.0000
09100     1.8056      0.5675     0.5368     71.9402   0.0000
09200     1.6678      0.5823     0.5923     71.5814   0.0000
09300     1.5777      0.5970     0.5440     71.7813   0.0000
09400     1.4514      0.6287     0.5431     71.6404   0.0000
09500     1.3545      0.6034     0.5408     71.6214   0.0000
09600     1.4059      0.5992     0.5625     72.5645   0.0000
09700     1.3640      0.5738     0.5254     73.2952   0.0000
09800     1.5705      0.5970     0.5596     72.1838   0.0000
09900     1.3864      0.6350     0.5429     71.4325   0.0000
10000     1.4647      0.6287     0.5595     72.5023   0.0000
10100     1.4713      0.6266     0.5676     72.5679   0.0000
10200     1.4082      0.6181     0.5597     72.3920   0.0000
10300     1.4460      0.5865     0.5507     72.0973   0.0000
10400     1.4430      0.6055     0.5507     72.5265   0.0000
10500     1.5047      0.6139     0.5601     72.1384   0.0000
10600     1.3916      0.6181     0.5613     72.1433   0.0000
10700     1.4343      0.6055     0.5682     72.1218   0.0000
10800     1.4151      0.6118     0.5731     72.4796   0.0000
10900     1.5251      0.5970     0.5579     72.1420   0.0000
