Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=5, quant_inp=4, quant_w=None, random_seed=8627169, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
6448f7eb-b94d-4424-a3fa-82fb39eb2e29
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     2.5896      0.0802     0.0813     10.3842   0.4310
00100     2.3390      0.2511     0.2783     55.4299   0.1544
00200     1.9217      0.3059     0.3356     55.1061   0.0260
00300     1.8931      0.3312     0.3407     55.9387   0.0000
00400     1.6935      0.3650     0.3042     56.8789   0.0000
00500     1.5333      0.4409     0.4549     54.4758   0.0002
00600     1.3756      0.5274     0.4493     56.2458   0.0001
00700     1.3942      0.5000     0.3933     56.1307   0.0000
00800     1.2013      0.5781     0.5463     56.1992   0.0000
00900     1.1712      0.5928     0.5581     54.7389   0.0000
01000     1.3169      0.6203     0.5431     56.8190   0.0000
01100     1.2432      0.6329     0.5757     54.4463   0.0000
01200     1.1005      0.6519     0.4815     53.8694   0.0000
01300     1.0697      0.6034     0.5459     54.8513   0.0000
01400     1.1952      0.6034     0.5965     55.8577   0.0000
01500     1.0930      0.6582     0.5745     54.6306   0.0000
01600     1.1264      0.6730     0.5955     55.5547   0.0000
01700     1.0354      0.6498     0.5938     55.1379   0.0000
01800     1.0078      0.6688     0.5988     54.7898   0.0000
01900     1.0206      0.6772     0.6104     55.3941   0.0000
02000     0.9948      0.6477     0.6113     54.9203   0.0000
02100     1.0205      0.6561     0.6167     54.9562   0.0000
02200     1.1356      0.6540     0.6132     55.6756   0.0000
02300     1.0064      0.6456     0.6284     55.3152   0.0000
02400     0.9767      0.6730     0.6155     56.2412   0.0000
02500     0.9990      0.6603     0.6308     55.0898   0.0000
02600     1.0264      0.6751     0.6343     56.2884   0.0000
02700     0.9522      0.6730     0.6332     55.3458   0.0000
02800     0.9730      0.7089     0.6307     54.6039   0.0000
02900     0.8938      0.6920     0.6355     55.7347   0.0000
03000     0.8822      0.7025     0.6499     55.6750   0.0000
03100     0.9835      0.6962     0.6459     55.1118   0.0000
03200     0.9244      0.6814     0.6472     54.6360   0.0000
03300     0.8754      0.7046     0.6519     55.1687   0.0000
03400     0.9022      0.6835     0.6355     55.0307   0.0000
03500     0.8968      0.7194     0.6769     56.0233   0.0000
03600     0.9217      0.6941     0.6452     54.8032   0.0000
