Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=2, quant_w=None, random_seed=193012823, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
19ca61b9-1784-4c30-a8cb-d5f462c80e0d
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     2.5693      0.0717     0.0807     12.3350   0.4241
00100     2.5256      0.0570     0.0810     73.7943   0.0006
00200     2.5255      0.0865     0.0805     72.4962   0.0004
00300     2.5254      0.0823     0.0807     73.9233   0.0004
00400     2.5253      0.0591     0.0805     73.6483   0.0007
00500     2.5253      0.0907     0.0808     73.3241   0.0004
00600     2.5251      0.0886     0.0808     72.9698   0.0001
00700     2.5251      0.0970     0.0805     72.8600   0.0005
00800     2.5251      0.0738     0.0806     73.1610   0.0002
00900     2.5249      0.0717     0.0809     72.3068   0.0000
01000     2.5249      0.0928     0.0802     72.6440   0.0016
01100     2.5248      0.0759     0.0805     73.1682   0.0013
01200     2.5247      0.0738     0.0803     72.6015   0.0004
01300     2.5246      0.0907     0.0804     72.6625   0.0001
01400     2.5246      0.0654     0.0804     74.2937   0.0012
01500     2.5246      0.0781     0.0809     73.9695   0.0019
01600     2.5244      0.0696     0.0803     73.6260   0.0006
01700     2.5243      0.0949     0.0803     74.6815   0.0001
01800     2.5243      0.0844     0.0805     75.5170   0.0006
01900     2.5241      0.0738     0.0807     74.1158   0.0000
02000     2.5241      0.0675     0.0807     72.9268   0.0009
02100     2.5240      0.0970     0.0801     73.8272   0.0003
02200     2.5239      0.0844     0.0810     74.8082   0.0000
02300     2.5238      0.0844     0.0810     72.7508   0.0005
02400     2.5237      0.0823     0.0808     73.8095   0.0005
02500     2.5237      0.1097     0.0808     74.5773   0.0014
02600     2.5237      0.0738     0.0801     74.1893   0.0004
02700     2.5237      0.0970     0.0809     75.2449   0.0016
02800     2.5236      0.0928     0.0805     72.8421   0.0013
02900     2.5234      0.0865     0.0808     74.4350   0.0007
03000     2.5233      0.0654     0.0805     73.8053   0.0000
03100     2.5233      0.0759     0.0805     74.7450   0.0003
03200     2.5232      0.0949     0.0801     75.1369   0.0004
03300     2.5232      0.1076     0.0805     73.5214   0.0006
03400     2.5231      0.0570     0.0803     74.3507   0.0001
03500     2.5230      0.0633     0.0809     73.1051   0.0009
03600     2.5230      0.0886     0.0807     74.7315   0.0010
03700     2.5228      0.0823     0.0804     76.0533   0.0002
03800     2.5228      0.0759     0.0806     74.5472   0.0005
03900     2.5227      0.0759     0.0807     74.4828   0.0001
04000     2.5226      0.0527     0.0807     75.3402   0.0005
04100     2.5225      0.0654     0.0805     75.0914   0.0003
04200     2.5226      0.0865     0.0802     76.0226   0.0004
04300     2.5224      0.0802     0.0807     75.2855   0.0000
04400     2.5223      0.0844     0.0805     74.3161   0.0000
04500     2.5223      0.0802     0.0810     76.4951   0.0007
04600     2.5222      0.0802     0.0807     75.2615   0.0009
04700     2.5221      0.0527     0.0814     75.0858   0.0005
04800     2.5220      0.0633     0.0807     76.6314   0.0007
04900     2.5220      0.0992     0.0811     74.8639   0.0003
05000     2.5219      0.1055     0.0808     75.7155   0.0004
05100     2.5220      0.0781     0.0802     76.2949   0.0008
05200     2.5218      0.0802     0.0808     75.4271   0.0000
05300     2.5217      0.0823     0.0803     75.0662   0.0001
05400     2.5218      0.0527     0.0802     75.9933   0.0012
05500     2.5217      0.0738     0.0812     76.3918   0.0013
05600     2.5215      0.0970     0.0807     73.9469   0.0008
05700     2.5214      0.0612     0.0807     75.1615   0.0003
05800     2.5214      0.0823     0.0806     76.9384   0.0002
05900     2.5213      0.0675     0.0803     75.0226   0.0004
06000     2.5213      0.0928     0.0807     76.2119   0.0004
06100     2.5212      0.0759     0.0806     78.1890   0.0002
06200     2.5212      0.0992     0.0805     74.9692   0.0008
06300     2.5210      0.1076     0.0805     78.8794   0.0010
06400     2.5210      0.0802     0.0804     78.6007   0.0001
06500     2.5210      0.0654     0.0799     75.3604   0.0007
06600     2.5209      0.0844     0.0807     75.2095   0.0000
06700     2.5209      0.1076     0.0805     77.6094   0.0011
06800     2.5207      0.0738     0.0797     75.7558   0.0004
06900     2.5207      0.0886     0.0806     76.4973   0.0004
07000     2.5207      0.0570     0.0803     74.5567   0.0006
07100     2.5206      0.0992     0.0805     76.9975   0.0008
07200     2.5205      0.0907     0.0801     79.0055   0.0004
07300     2.5204      0.0886     0.0808     75.4272   0.0003
07400     2.5204      0.0949     0.0801     73.6969   0.0005
07500     2.5203      0.0759     0.0807     75.2788   0.0007
07600     2.5202      0.0738     0.0813     75.2042   0.0003
07700     2.5202      0.0886     0.0806     75.0878   0.0014
07800     2.5201      0.0865     0.0807     75.4036   0.0007
07900     2.5202      0.0781     0.0803     75.7340   0.0022
08000     2.5200      0.0886     0.0806     76.4413   0.0007
08100     2.5199      0.0823     0.0810     74.9601   0.0004
08200     2.5199      0.0675     0.0803     75.3039   0.0011
08300     2.5199      0.0865     0.0807     74.3031   0.0013
08400     2.5197      0.0802     0.0800     75.8685   0.0003
08500     2.5197      0.0717     0.0807     76.4182   0.0009
08600     2.5195      0.0781     0.0812     76.0399   0.0004
08700     2.5195      0.0717     0.0808     75.0042   0.0003
08800     2.5194      0.0781     0.0809     76.7806   0.0005
08900     2.5194      0.0802     0.0808     76.1899   0.0001
09000     2.5193      0.1034     0.0812     76.6757   0.0002
09100     2.5193      0.0738     0.0802     75.4707   0.0003
09200     2.5192      0.0865     0.0807     78.2801   0.0010
09300     2.5191      0.0823     0.0805     78.1418   0.0000
09400     2.5190      0.0759     0.0810     74.0494   0.0001
09500     2.5190      0.1160     0.0805     74.2510   0.0008
09600     2.5189      0.0759     0.0810     75.8283   0.0002
09700     2.5189      0.1076     0.0801     74.8507   0.0004
09800     2.5188      0.0907     0.0803     76.2849   0.0003
09900     2.5189      0.0654     0.0807     75.7060   0.0008
10000     2.5187      0.0717     0.0807     75.0825   0.0008
10100     2.5187      0.0949     0.0807     76.4591   0.0001
10200     2.5187      0.0781     0.0809     74.9371   0.0002
10300     2.5186      0.0823     0.0812     75.5870   0.0001
10400     2.5186      0.0970     0.0803     77.9979   0.0000
10500     2.5186      0.0675     0.0805     76.1915   0.0000
10600     2.5186      0.0633     0.0808     76.6994   0.0000
10700     2.5185      0.0823     0.0807     76.5326   0.0000
10800     2.5185      0.0675     0.0809     76.8804   0.0000
10900     2.5185      0.0717     0.0802     78.1511   0.0001
11000     2.5185      0.0907     0.0805     76.9507   0.0000
11100     2.5185      0.0802     0.0801     76.7507   0.0002
11200     2.5185      0.0759     0.0807     77.6466   0.0001
11300     2.5184      0.0612     0.0801     76.4486   0.0000
11400     2.5185      0.0928     0.0802     77.7405   0.0002
11500     2.5184      0.0654     0.0809     76.6790   0.0001
11600     2.5184      0.1013     0.0810     75.8866   0.0002
11700     2.5184      0.0844     0.0807     77.7326   0.0001
11800     2.5184      0.0886     0.0802     77.6101   0.0000
11900     2.5184      0.0823     0.0808     77.7028   0.0001
12000     2.5183      0.0928     0.0807     77.5446   0.0000
12100     2.5183      0.0802     0.0805     77.0293   0.0001
12200     2.5183      0.0738     0.0807     78.3071   0.0001
12300     2.5183      0.0844     0.0803     78.3061   0.0000
12400     2.5183      0.0759     0.0806     77.6764   0.0001
12500     2.5183      0.0823     0.0803     77.9513   0.0001
12600     2.5182      0.0612     0.0806     78.1086   0.0002
12700     2.5182      0.0865     0.0812     76.5388   0.0000
12800     2.5182      0.0886     0.0803     78.3210   0.0002
