Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=2, quant_w=None, random_seed=8627169, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
1ab8ce9e-7be8-420a-b1ba-794e845a7868
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     2.5693      0.0802     0.0805     12.3534   0.4239
00100     2.5256      0.0675     0.0807     74.0458   0.0000
00200     2.5256      0.0717     0.0808     71.4029   0.0002
00300     2.5254      0.0781     0.0807     72.6095   0.0004
00400     2.5254      0.0717     0.0805     71.0039   0.0005
00500     2.5253      0.0949     0.0808     69.9521   0.0002
00600     2.5252      0.0654     0.0812     70.6075   0.0005
00700     2.5251      0.0928     0.0808     71.5599   0.0012
00800     2.5250      0.1055     0.0805     71.9339   0.0004
00900     2.5251      0.0949     0.0799     69.4900   0.0021
01000     2.5248      0.0928     0.0808     69.6096   0.0006
01100     2.5248      0.0823     0.0808     65.8481   0.0002
01200     2.5248      0.0907     0.0807     68.9652   0.0003
01300     2.5246      0.0675     0.0802     70.1065   0.0005
01400     2.5246      0.0506     0.0810     69.5008   0.0008
01500     2.5245      0.0970     0.0801     68.9541   0.0005
01600     2.5244      0.0738     0.0803     70.4485   0.0009
01700     2.5243      0.0928     0.0807     69.8010   0.0008
01800     2.5242      0.0802     0.0811     69.5647   0.0003
01900     2.5242      0.0949     0.0805     71.1567   0.0016
02000     2.5241      0.0633     0.0808     70.4695   0.0013
02100     2.5240      0.0759     0.0808     69.5189   0.0004
02200     2.5240      0.0802     0.0805     70.7161   0.0008
02300     2.5239      0.0696     0.0806     69.7882   0.0012
02400     2.5237      0.0907     0.0808     71.1172   0.0008
02500     2.5237      0.0907     0.0802     69.2304   0.0002
02600     2.5236      0.1034     0.0809     70.4747   0.0005
02700     2.5235      0.0865     0.0810     72.1770   0.0007
02800     2.5235      0.0717     0.0807     70.0298   0.0007
02900     2.5234      0.0844     0.0805     69.9725   0.0000
03000     2.5234      0.0907     0.0810     70.4106   0.0013
03100     2.5233      0.1266     0.0807     73.0776   0.0002
03200     2.5232      0.0802     0.0804     68.8192   0.0004
03300     2.5231      0.0781     0.0805     71.1720   0.0006
03400     2.5231      0.0802     0.0805     72.0902   0.0000
03500     2.5229      0.0759     0.0802     71.2766   0.0006
03600     2.5229      0.0675     0.0807     70.1251   0.0005
03700     2.5229      0.0738     0.0805     69.2954   0.0006
03800     2.5228      0.1013     0.0805     68.9667   0.0006
03900     2.5228      0.0886     0.0810     71.4253   0.0016
04000     2.5226      0.0781     0.0805     70.6490   0.0001
04100     2.5226      0.0823     0.0807     69.6994   0.0003
04200     2.5225      0.0781     0.0807     70.2715   0.0001
04300     2.5224      0.0717     0.0801     70.2309   0.0002
04400     2.5224      0.0696     0.0807     72.3537   0.0003
04500     2.5223      0.0970     0.0805     69.2982   0.0004
04600     2.5223      0.0907     0.0803     69.6974   0.0005
04700     2.5222      0.0717     0.0808     71.9814   0.0010
04800     2.5220      0.0759     0.0805     69.4842   0.0002
04900     2.5221      0.0633     0.0804     70.5035   0.0010
05000     2.5220      0.0759     0.0804     69.6990   0.0006
05100     2.5218      0.0717     0.0801     70.8261   0.0003
05200     2.5218      0.0675     0.0806     70.3952   0.0002
05300     2.5218      0.0759     0.0806     72.1586   0.0014
05400     2.5217      0.0802     0.0810     70.7417   0.0013
05500     2.5216      0.0802     0.0808     70.7135   0.0003
05600     2.5215      0.0886     0.0812     71.3604   0.0001
05700     2.5214      0.0844     0.0804     68.3803   0.0001
05800     2.5214      0.0485     0.0807     69.2817   0.0004
05900     2.5214      0.0928     0.0808     69.1890   0.0005
06000     2.5213      0.1034     0.0808     70.0525   0.0001
06100     2.5212      0.0949     0.0807     70.8186   0.0002
06200     2.5211      0.0781     0.0809     69.1299   0.0003
06300     2.5211      0.0696     0.0808     68.9367   0.0000
06400     2.5210      0.0802     0.0805     69.0173   0.0006
06500     2.5209      0.0844     0.0808     72.3448   0.0006
06600     2.5209      0.0717     0.0808     69.4675   0.0005
06700     2.5208      0.1013     0.0807     70.4163   0.0000
06800     2.5208      0.0717     0.0805     69.9928   0.0009
06900     2.5206      0.0781     0.0808     70.0798   0.0003
07000     2.5206      0.0654     0.0805     70.4368   0.0003
07100     2.5206      0.0823     0.0809     71.0254   0.0001
07200     2.5205      0.0886     0.0803     72.0051   0.0011
07300     2.5204      0.0696     0.0812     70.5562   0.0006
07400     2.5204      0.0717     0.0805     70.6741   0.0021
07500     2.5203      0.0865     0.0805     72.8120   0.0001
07600     2.5202      0.0928     0.0807     69.6011   0.0001
07700     2.5202      0.0781     0.0813     71.8027   0.0014
07800     2.5201      0.0886     0.0806     69.1614   0.0004
07900     2.5200      0.0696     0.0807     68.8155   0.0001
08000     2.5199      0.0612     0.0803     71.7482   0.0007
08100     2.5199      0.1013     0.0804     71.9140   0.0003
