Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
bd89cd28-df69-486f-b238-8aec16f05239
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     3.0148      0.0928     0.0770     10.2631   0.4316
00100     1.7276      0.4494     0.4722     54.7757   0.1990
00200     1.2607      0.5865     0.6189     55.3828   0.0897
00300     1.1106      0.6519     0.6927     55.7153   0.0391
00400     1.1098      0.6371     0.7250     55.0213   0.0111
00500     0.8339      0.7468     0.7389     54.3023   0.0000
00600     0.8140      0.7405     0.7695     55.0987   0.0000
00700     0.8073      0.7384     0.7766     54.7063   0.0000
00800     0.8824      0.7384     0.7861     57.4729   0.0000
00900     0.7720      0.7363     0.7845     54.4426   0.0000
01000     0.7395      0.7658     0.7910     55.9410   0.0000
01100     0.7612      0.7532     0.7984     56.2380   0.0000
01200     0.6875      0.7595     0.8039     55.9021   0.0000
01300     0.7682      0.7595     0.8042     56.2048   0.0000
01400     0.7156      0.7700     0.7949     55.9720   0.0000
01500     0.7684      0.7658     0.8096     55.9193   0.0000
01600     0.7507      0.7658     0.8064     56.6279   0.0000
01700     0.6617      0.7700     0.8085     54.9901   0.0000
01800     0.7210      0.7743     0.8122     55.2115   0.0000
01900     0.6974      0.7616     0.8056     55.7195   0.0000
02000     0.6119      0.8038     0.8253     55.0621   0.0000
02100     0.7068      0.7806     0.8183     56.2235   0.0000
02200     0.6572      0.7911     0.7921     56.6049   0.0000
02300     0.6548      0.7932     0.8047     57.2079   0.0000
02400     0.7278      0.7679     0.8153     56.4207   0.0000
02500     0.6658      0.7932     0.8039     55.2235   0.0000
02600     0.6890      0.7954     0.8299     55.1354   0.0000
02700     0.6548      0.7911     0.8181     55.5304   0.0000
02800     0.6494      0.7848     0.8265     54.8354   0.0000
02900     0.6615      0.7764     0.8214     55.7826   0.0000
03000     0.6271      0.7848     0.7997     55.8912   0.0000
03100     0.6156      0.8186     0.8300     54.8692   0.0000
03200     0.6181      0.8080     0.8375     55.4895   0.0000
03300     0.6240      0.7996     0.8149     54.5613   0.0000
03400     0.5904      0.8312     0.8276     54.8952   0.0000
03500     0.5722      0.8143     0.8278     56.5156   0.0000
03600     0.5990      0.8249     0.8334     56.0248   0.0000
03700     0.5650      0.8397     0.8358     55.8469   0.0000
03800     0.6090      0.8186     0.8204     55.0890   0.0000
03900     0.5788      0.8291     0.8160     55.0315   0.0000
04000     0.5617      0.8354     0.8420     56.9857   0.0000
04100     0.6691      0.7848     0.8172     56.1357   0.0000
04200     0.6457      0.7932     0.8390     55.5713   0.0000
04300     0.5578      0.8333     0.8320     55.7394   0.0000
04400     0.5903      0.8249     0.8262     54.7307   0.0000
04500     0.5578      0.8333     0.8337     55.8614   0.0000
04600     0.6046      0.8017     0.8185     55.7012   0.0000
04700     0.5712      0.8418     0.8444     54.7934   0.0000
04800     0.5120      0.8523     0.8315     55.3231   0.0000
04900     0.5997      0.8017     0.8525     55.1247   0.0000
05000     0.5493      0.8291     0.8455     55.2539   0.0000
05100     0.5535      0.8143     0.8541     55.7977   0.0000
05200     0.6381      0.8059     0.8391     55.0747   0.0000
05300     0.4962      0.8376     0.8398     56.3453   0.0000
05400     0.6305      0.8080     0.8445     56.6747   0.0000
05500     0.6056      0.8101     0.8484     55.0157   0.0000
05600     0.6099      0.7975     0.8458     56.1017   0.0000
05700     0.5615      0.8249     0.8463     54.5486   0.0000
05800     0.4924      0.8354     0.8461     55.9487   0.0000
05900     0.5945      0.8228     0.8317     55.9239   0.0000
06000     0.5559      0.8080     0.8415     56.4847   0.0000
06100     0.5756      0.8143     0.8172     55.5379   0.0000
06200     0.4969      0.8460     0.8561     57.5371   0.0000
06300     0.4952      0.8502     0.8362     56.3859   0.0000
06400     0.5507      0.8291     0.8479     55.8015   0.0000
06500     0.5517      0.8354     0.8258     54.9949   0.0000
06600     0.5639      0.8122     0.8357     55.4046   0.0000
06700     0.5277      0.8270     0.8518     55.7442   0.0000
06800     0.5098      0.8354     0.8532     55.8491   0.0000
06900     0.5220      0.8439     0.8477     55.8952   0.0000
07000     0.4639      0.8565     0.8349     56.9042   0.0000
07100     0.5530      0.8080     0.8276     56.6344   0.0000
07200     0.5789      0.8186     0.8476     56.0532   0.0000
07300     0.5329      0.8312     0.8382     55.8044   0.0000
07400     0.5226      0.8228     0.8499     56.1597   0.0000
07500     0.5901      0.8038     0.8503     56.1583   0.0000
07600     0.5362      0.8291     0.8533     54.5930   0.0000
07700     0.4765      0.8734     0.8510     54.3206   0.0000
07800     0.5676      0.8122     0.8335     56.3010   0.0000
07900     0.5469      0.8207     0.8503     55.5776   0.0000
08000     0.5105      0.8291     0.8460     56.2212   0.0000
08100     0.4628      0.8565     0.8458     54.6185   0.0000
08200     0.5809      0.8017     0.8481     54.8702   0.0000
08300     0.5537      0.8122     0.8615     56.1182   0.0000
08400     0.5315      0.8312     0.8439     56.3132   0.0000
08500     0.4935      0.8333     0.8494     56.3159   0.0000
08600     0.5346      0.8228     0.8609     55.1072   0.0000
08700     0.5262      0.8376     0.8649     54.7668   0.0000
08800     0.4573      0.8544     0.8565     55.8743   0.0000
08900     0.5449      0.8291     0.8591     55.8591   0.0000
09000     0.4358      0.8439     0.8455     54.3095   0.0000
09100     0.5540      0.8291     0.8582     55.1682   0.0000
09200     0.5314      0.8333     0.8549     56.4295   0.0000
09300     0.5966      0.8207     0.8574     58.3034   0.0000
09400     0.5052      0.8397     0.8559     56.5026   0.0000
09500     0.4569      0.8481     0.8340     55.7445   0.0000
09600     0.4842      0.8650     0.8658     56.1720   0.0000
09700     0.4949      0.8439     0.8662     56.3747   0.0000
09800     0.5172      0.8312     0.8552     56.4384   0.0000
09900     0.4821      0.8586     0.8471     55.3925   0.0000
10000     0.4110      0.8650     0.8439     55.4312   0.0000
10100     0.4136      0.8755     0.8652     56.8524   0.0000
10200     0.4065      0.8840     0.8520     55.8961   0.0000
10300     0.4390      0.8586     0.8681     55.4343   0.0000
10400     0.4191      0.8797     0.8472     55.1355   0.0000
10500     0.4996      0.8586     0.8575     55.8838   0.0000
10600     0.4522      0.8692     0.8522     56.7447   0.0000
10700     0.4553      0.8586     0.8647     55.6028   0.0000
10800     0.4387      0.8608     0.8476     55.9870   0.0000
10900     0.5127      0.8207     0.8120     54.9722   0.0000
11000     0.4341      0.8608     0.8295     54.2584   0.0000
11100     0.4937      0.8333     0.8453     54.4590   0.0000
11200     0.4676      0.8713     0.8662     56.5763   0.0000
11300     0.3975      0.8713     0.8529     55.8067   0.0000
11400     0.4853      0.8418     0.8665     55.7784   0.0000
11500     0.5064      0.8439     0.8605     55.3984   0.0000
11600     0.4079      0.8734     0.8645     55.9877   0.0000
11700     0.5170      0.8228     0.8509     55.2319   0.0000
11800     0.3696      0.8819     0.8494     54.7999   0.0000
11900     0.4454      0.8650     0.8304     54.4446   0.0000
12000     0.4138      0.8734     0.8642     55.4773   0.0000
12100     0.4581      0.8544     0.8120     54.0414   0.0000
12200     0.4486      0.8586     0.8657     54.8501   0.0000
