Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=6, quant_w=None, random_seed=8627169, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
64e90473-f3ae-4352-b8e8-cb9beac5cbe1
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     2.9521      0.0738     0.0967     10.7674   0.4343
00100     1.6969      0.4768     0.4562     72.9145   0.2657
00200     1.0784      0.6646     0.6577     74.3005   0.1416
00300     0.9314      0.6941     0.7271     73.6274   0.0790
00400     0.7842      0.7743     0.7711     75.3072   0.0416
00500     0.6566      0.7848     0.7923     73.9116   0.0167
00600     0.6446      0.7869     0.8109     74.0769   0.0004
00700     0.6090      0.8059     0.7985     73.8757   0.0000
00800     0.5803      0.8312     0.8296     73.5186   0.0001
00900     0.5339      0.8333     0.8293     74.0007   0.0000
01000     0.5079      0.8354     0.8362     74.2157   0.0000
01100     0.6080      0.8207     0.8550     74.5992   0.0000
01200     0.4757      0.8819     0.8493     74.7962   0.0000
01300     0.5226      0.8333     0.8382     74.2808   0.0000
01400     0.5591      0.8038     0.8588     74.8059   0.0000
01500     0.4060      0.8734     0.8427     74.4541   0.0000
01600     0.5197      0.8460     0.8549     73.9572   0.0000
01700     0.4025      0.8797     0.8437     73.3836   0.0000
01800     0.4802      0.8439     0.8562     72.9752   0.0000
01900     0.3596      0.9093     0.8623     73.6857   0.0000
02000     0.4053      0.8629     0.8630     74.4707   0.0000
02100     0.4125      0.8797     0.8537     74.4819   0.0000
02200     0.4774      0.8439     0.8596     73.3232   0.0000
02300     0.3903      0.8713     0.8635     72.5041   0.0000
02400     0.3824      0.8861     0.8577     74.5449   0.0000
02500     0.3939      0.8713     0.8547     72.7099   0.0000
02600     0.4552      0.8608     0.8756     74.1373   0.0000
02700     0.3579      0.9093     0.8695     70.7276   0.0000
02800     0.3740      0.8861     0.8670     71.2301   0.0000
02900     0.3452      0.8861     0.8711     74.1438   0.0000
03000     0.3379      0.9008     0.8733     72.5478   0.0000
03100     0.3385      0.9008     0.8659     76.0256   0.0000
03200     0.3355      0.8882     0.8710     75.8832   0.0000
03300     0.3260      0.8945     0.8566     74.1787   0.0000
03400     0.3316      0.9051     0.8701     73.9878   0.0000
03500     0.3622      0.8987     0.8596     73.1747   0.0000
03600     0.3008      0.9072     0.8662     73.9657   0.0000
03700     0.3382      0.8987     0.8679     74.8930   0.0000
03800     0.3961      0.8903     0.8673     74.6842   0.0000
