Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=8, quant_w=None, random_seed=235899598, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
2b946016-aab1-44ef-897a-0cdaf2eb3c28
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s) Cosine
00000     2.9521      0.1055     0.0733     10.7475   0.4332
00100     1.5912      0.4705     0.5084     54.4867   0.2531
00200     1.0964      0.6646     0.6805     54.5156   0.1307
00300     0.8591      0.7068     0.7536     54.9482   0.0688
00400     0.8137      0.7595     0.7848     54.8955   0.0324
00500     0.5903      0.8059     0.7901     54.8080   0.0085
00600     0.6258      0.8143     0.8017     54.9285   0.0000
00700     0.5029      0.8418     0.8081     54.5246   0.0000
00800     0.5836      0.8228     0.8306     55.4737   0.0000
00900     0.5257      0.8481     0.8461     56.3480   0.0000
01000     0.4565      0.8608     0.8516     54.7840   0.0000
01100     0.5005      0.8565     0.8537     55.8681   0.0000
01200     0.4050      0.8819     0.8588     54.3872   0.0000
01300     0.4420      0.8797     0.8490     54.5480   0.0000
01400     0.3868      0.9008     0.8590     55.2663   0.0000
01500     0.4658      0.8544     0.8527     54.6791   0.0000
01600     0.4224      0.8797     0.8586     55.3330   0.0000
01700     0.3329      0.8903     0.8570     54.8470   0.0000
01800     0.4095      0.8840     0.8697     55.1155   0.0001
01900     0.4153      0.8819     0.8587     54.9181   0.0000
02000     0.3098      0.9156     0.8691     55.0030   0.0000
02100     0.3660      0.8797     0.8668     55.2777   0.0000
02200     0.3634      0.8945     0.8569     55.0967   0.0000
02300     0.3457      0.8945     0.8647     54.5387   0.0000
02400     0.4179      0.8755     0.8660     55.1271   0.0000
02500     0.3746      0.8882     0.8656     55.2095   0.0000
02600     0.3579      0.8966     0.8678     54.7688   0.0000
02700     0.3850      0.8861     0.8696     55.1879   0.0000
02800     0.3594      0.8671     0.8682     54.9907   0.0000
02900     0.3227      0.9051     0.8757     55.0450   0.0000
03000     0.3281      0.8945     0.8634     55.5489   0.0000
03100     0.3056      0.9114     0.8713     54.6633   0.0000
03200     0.3542      0.9008     0.8703     55.3533   0.0000
03300     0.3259      0.9030     0.8730     54.7033   0.0000
03400     0.2602      0.9325     0.8822     55.0914   0.0000
03500     0.2486      0.9388     0.8899     56.5352   0.0000
03600     0.3211      0.9093     0.8793     57.1510   0.0000
03700     0.2955      0.9114     0.8785     55.7880   0.0000
03800     0.3876      0.8987     0.8836     56.5256   0.0000
03900     0.2818      0.9198     0.8699     55.3582   0.0000
04000     0.3046      0.9051     0.8728     56.1025   0.0000
04100     0.3314      0.9093     0.8743     54.6338   0.0000
04200     0.2897      0.9114     0.8737     54.8789   0.0000
04300     0.2498      0.9367     0.8814     55.4505   0.0000
04400     0.3216      0.9008     0.8781     54.8229   0.0000
04500     0.2804      0.9283     0.8755     54.4940   0.0000
04600     0.2992      0.9219     0.8819     54.9570   0.0000
04700     0.2727      0.9262     0.8756     54.4215   0.0000
04800     0.2214      0.9430     0.8825     54.7917   0.0000
04900     0.2513      0.9262     0.8885     54.8915   0.0000
05000     0.2797      0.9283     0.8778     54.5443   0.0000
05100     0.2475      0.9346     0.8816     55.0036   0.0000
05200     0.3270      0.9008     0.8839     55.0126   0.0000
05300     0.2515      0.9367     0.8901     55.1634   0.0000
05400     0.3555      0.8840     0.8834     54.9923   0.0000
