Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(batch_size=256, cy_div=2, cy_scale=2, dataloader_num_workers=4, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', epochs=45000, global_beta=1.5, hidden=100, hop_length=320, hp_bw=False, init_factor=2, learning_rate=0.0005, lr_divide=15000, n_mfcc=64, noise_injectionI=0.0, noise_injectionT=0.0, quant_actMVM=0, quant_actNM=0, quant_inp=0, quant_w=None, sample_rate=16000, std_scale=3, testing_percentage=10, validation_batch=8192, validation_percentage=10, validation_size=3, win_length=400, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
438aceeb-d89a-42c6-be5b-a63a60c3f753
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6061      0.0859     0.0755     0.3114
00100     2.3449      0.1875     0.2253     0.1558
00200     2.1672      0.2148     0.2786     0.1607
00300     2.1416      0.2930     0.2891     0.1823
00400     2.0314      0.3359     0.3177     0.1706
00500     2.0314      0.2930     0.3359     0.1705
00600     1.9579      0.3398     0.3477     0.1548
00700     1.9989      0.3086     0.3724     0.1593
00800     1.9717      0.2969     0.3906     0.1633
00900     1.8067      0.4180     0.4036     0.1516
01000     1.8917      0.3750     0.4219     0.1527
01100     1.8268      0.3750     0.4375     0.1736
01200     1.7803      0.3789     0.4375     0.1488
01300     1.7680      0.4219     0.4635     0.1802
01400     1.7072      0.4141     0.4635     0.1726
01500     1.7969      0.3477     0.4635     0.1635
01600     1.7257      0.3867     0.4635     0.1670
01700     1.7200      0.4062     0.4740     0.1535
01800     1.6963      0.4141     0.4740     0.1691
01900     1.7263      0.3711     0.4740     0.1807
02000     1.6406      0.4805     0.4740     0.1644
02100     1.6464      0.4531     0.4805     0.5107
02200     1.6380      0.4570     0.4805     0.1515
02300     1.6600      0.4102     0.4805     0.1752
02400     1.6845      0.4102     0.4818     0.1615
02500     1.5390      0.4961     0.4844     0.1714
02600     1.6192      0.4531     0.4844     0.1672
02700     1.6264      0.4414     0.4844     0.1544
02800     1.5597      0.4297     0.4883     0.1406
02900     1.6723      0.4258     0.4883     0.1458
03000     1.6419      0.4531     0.4883     0.1378
03100     1.5417      0.4844     0.4961     0.1547
03200     1.5081      0.4805     0.4961     0.1516
03300     1.6193      0.4688     0.4961     0.1504
03400     1.4948      0.5117     0.4961     0.1643
03500     1.6097      0.4609     0.4961     0.1583
03600     1.5874      0.4180     0.5091     0.1648
03700     1.6046      0.4609     0.5091     0.1459
03800     1.5365      0.4922     0.5091     0.1482
03900     1.5685      0.4219     0.5143     0.1588
04000     1.7290      0.3477     0.5143     0.1949
04100     1.5517      0.4219     0.5143     0.1681
