Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(batch_size=256, cy_div=2, cy_scale=2, dataloader_num_workers=4, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', epochs=45000, global_beta=1.5, hidden=200, hop_length=320, hp_bw=False, init_factor=2, learning_rate=0.0005, lr_divide=15000, n_mfcc=64, noise_injectionI=0.0, noise_injectionT=0.0, quant_actMVM=0, quant_actNM=0, quant_inp=0, quant_w=None, sample_rate=16000, std_scale=3, testing_percentage=10, validation_batch=8192, validation_percentage=10, validation_size=3, win_length=400, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
2c82e211-f921-4e05-90b7-8927bbe9ddf5
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5380      0.1055     0.0977     0.4922
00100     2.1710      0.2500     0.2552     0.1146
00200     2.0761      0.2812     0.3255     0.1325
00300     2.0432      0.3164     0.3503     0.1095
00400     2.3841      0.1680     0.3503     0.1168
00500     2.4030      0.1641     0.3503     0.1178
00600     2.1672      0.2070     0.3503     0.1161
00700     2.0438      0.2930     0.3503     0.1166
00800     1.9856      0.3242     0.3503     0.1198
00900     2.2119      0.2422     0.3594     0.1175
01000     1.8377      0.3633     0.3711     0.1223
01100     1.7886      0.3711     0.4023     0.1197
01200     1.7974      0.3984     0.4167     0.1175
01300     1.7940      0.3828     0.4375     0.1197
01400     1.7312      0.4062     0.4466     0.1171
01500     1.7453      0.4141     0.4714     0.1183
01600     1.6273      0.4297     0.4714     0.1166
01700     1.6229      0.4688     0.4857     0.1185
01800     1.6745      0.4219     0.4935     0.1441
01900     1.6535      0.4492     0.5039     0.1306
02000     1.7230      0.4219     0.5091     0.1169
02100     1.7477      0.4258     0.5091     0.1169
02200     1.6602      0.4453     0.5091     0.1202
02300     1.7073      0.4258     0.5091     0.1194
02400     1.7270      0.4375     0.5156     0.1148
02500     1.6441      0.4336     0.5156     0.1099
02600     1.5965      0.5000     0.5156     0.1184
02700     1.5856      0.4453     0.5156     0.1185
02800     1.6239      0.4688     0.5430     0.1218
02900     1.5028      0.5352     0.5573     0.1184
03000     1.6237      0.5430     0.5573     0.1182
03100     1.5823      0.5273     0.5573     0.6393
