Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(batch_size=512, cy_div=2, cy_scale=2, dataloader_num_workers=4, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', epochs=20000, global_beta=1.5, hidden=256, hop_length=250, hp_bw=False, init_factor=2, learning_rate=0.0005, lr_divide=10000, n_mfcc=40, noise_injection=0.1, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, sample_rate=16000, std_scale=2, testing_percentage=10, validation_percentage=10, validation_size=4000, win_length=400, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
b6d0233e-4b41-457a-937a-618cd97c1881
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5561      0.0527     0.0923     0.3188
00100     2.4890      0.0840     0.1028     0.2049
00200     2.4661      0.1133     0.1158     0.2167
00300     2.4464      0.1250     0.1425     0.2195
00400     2.4603      0.0996     0.1525     0.2170
00500     2.4537      0.1094     0.1593     0.2183
00600     2.4240      0.1660     0.1593     0.2173
00700     2.4222      0.1680     0.1593     0.2060
00800     2.4362      0.1445     0.1593     0.2190
00900     2.4317      0.1562     0.1643     0.2101
01000     2.4210      0.1523     0.1643     0.2113
01100     2.5426      0.0723     0.1643     3.4162
01200     2.4374      0.1367     0.1643     0.2125
01300     2.4116      0.2031     0.1643     0.2120
01400     2.4361      0.1426     0.1645     0.2152
01500     2.4347      0.1230     0.1645     0.2145
01600     2.4375      0.1426     0.1645     0.2152
01700     2.4378      0.1309     0.1698     0.2150
01800     2.4291      0.1582     0.1698     0.2134
01900     2.4254      0.1621     0.1698     0.2074
02000     2.4373      0.1309     0.1698     3.7000
02100     2.4421      0.1250     0.1698     0.2072
02200     2.4218      0.1562     0.1698     0.2096
02300     2.4237      0.1680     0.1698     0.2183
02400     2.4225      0.1797     0.1698     0.2155
02500     2.4284      0.1758     0.1698     0.2128
02600     2.4427      0.1250     0.1698     0.2148
02700     2.4301      0.1602     0.1698     0.2167
02800     2.4162      0.1621     0.1698     0.2144
02900     2.4345      0.1445     0.1718     0.2167
