Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(batch_size=512, cy_div=2, cy_scale=2, dataloader_num_workers=4, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', epochs=20000, global_beta=1.5, hidden=256, hop_length=320, hp_bw=False, init_factor=2, learning_rate=0.0005, lr_divide=10000, n_mfcc=40, noise_injection=0.1, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, sample_rate=16000, std_scale=2, testing_percentage=10, validation_percentage=10, validation_size=4000, win_length=400, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
0ca14d34-811f-4f35-a651-4e9f1cca420a
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5009      0.0977     0.0808     0.2695
00100     2.4686      0.1094     0.1275     0.1674
00200     2.4396      0.1660     0.1558     0.1741
00300     2.4399      0.1289     0.1638     0.1690
00400     2.5184      0.0605     0.1638     0.1718
00500     2.4375      0.1406     0.1638     0.1708
00600     2.4301      0.1504     0.1638     0.1668
00700     2.4132      0.1895     0.1638     0.1731
00800     2.4321      0.1465     0.1638     0.1729
00900     2.4328      0.1426     0.1638     0.1723
01000     2.4241      0.1367     0.1638     0.1713
01100     2.4402      0.1484     0.1638     0.1661
01200     2.4263      0.1484     0.1638     0.1737
01300     2.4208      0.1895     0.1638     0.2230
01400     2.4300      0.1543     0.1638     0.1691
01500     2.4504      0.1055     0.1638     0.1786
01600     2.4603      0.1152     0.1638     0.1722
01700     2.4618      0.1094     0.1638     0.1730
01800     2.4369      0.1504     0.1638     0.1764
01900     2.5199      0.0957     0.1638     0.1724
02000     2.5331      0.0820     0.1638     0.1751
02100     2.4449      0.1250     0.1638     0.1735
02200     2.4281      0.1504     0.1638     0.1806
02300     2.4286      0.1641     0.1638     0.1789
02400     2.4215      0.1797     0.1638     0.1655
02500     2.4386      0.1523     0.1693     0.1727
02600     2.4389      0.1328     0.1693     0.1749
02700     2.4315      0.1543     0.1693     0.1861
02800     2.4161      0.1699     0.1693     0.1765
02900     2.4314      0.1562     0.1693     0.1717
03000     2.4392      0.1426     0.1693     0.1655
03100     2.4394      0.1406     0.1705     0.1767
03200     2.4235      0.1621     0.1705     0.1675
03300     2.4464      0.1230     0.1705     0.1763
03400     2.4309      0.1484     0.1705     0.1761
03500     2.4360      0.1406     0.1705     0.1720
03600     2.4315      0.1660     0.1810     0.1703
03700     2.4409      0.1543     0.1810     0.1809
03800     2.4298      0.1465     0.1810     0.1722
03900     2.4346      0.1621     0.1810     0.1749
04000     2.4309      0.1348     0.1810     0.1731
04100     2.4274      0.1543     0.1810     0.1705
04200     2.4274      0.1602     0.1810     0.1781
04300     2.4471      0.1406     0.1810     0.1777
04400     2.4145      0.1699     0.1810     0.1741
04500     2.4211      0.1445     0.1810     0.1870
04600     2.4481      0.1426     0.1810     0.1764
04700     2.4289      0.1582     0.1810     0.1907
04800     2.5218      0.0938     0.1810     0.1804
04900     2.5218      0.0938     0.1810     0.1737
05000     2.5096      0.0977     0.1810     0.2119
05100     2.4250      0.1641     0.1810     0.1913
05200     2.4230      0.1562     0.1810     0.1786
05300     2.4263      0.1777     0.1810     0.1824
05400     2.4395      0.1328     0.1810     0.1767
05500     2.4303      0.1777     0.1810     0.1828
05600     2.4085      0.1719     0.1810     0.1801
05700     2.4359      0.1484     0.1810     0.1894
05800     2.4409      0.1406     0.1810     0.1758
05900     2.4232      0.1445     0.1810     0.1808
06000     2.4159      0.1836     0.1810     0.2165
06100     2.4359      0.1406     0.1810     0.1907
06200     2.4162      0.1562     0.1810     0.1790
06300     2.4325      0.1523     0.1810     0.2196
06400     2.4422      0.1465     0.1810     0.1857
06500     2.4194      0.1680     0.1810     0.1829
06600     2.4274      0.1484     0.1810     0.1827
06700     2.4340      0.1348     0.1810     0.1820
06800     2.4295      0.1367     0.1810     0.1833
06900     2.4348      0.1289     0.1810     0.2000
07000     2.4326      0.1426     0.1810     0.1799
07100     2.4378      0.1367     0.1810     0.1881
07200     2.4309      0.1543     0.1810     0.1744
07300     2.4125      0.1816     0.1810     0.1898
07400     2.4373      0.1250     0.1810     0.1795
07500     2.4307      0.1582     0.1810     0.1886
07600     2.4047      0.1641     0.1810     0.1797
07700     2.4131      0.1523     0.1810     0.1990
07800     2.4244      0.1562     0.1810     0.1862
07900     2.4274      0.1523     0.1810     0.1860
08000     2.4263      0.1562     0.1810     0.1834
08100     2.4172      0.1582     0.1810     0.1920
08200     2.4225      0.1523     0.1810     0.1878
08300     2.4356      0.1484     0.1810     0.1820
