Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=0, n_mfcc=40, n_msb=10, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
2249d2a4-c54a-4db7-9a82-f07142ed5881
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6675      0.1224     0.1237     10.2541
00100     1.4056      0.5253     0.5772     53.0824
00200     1.1464      0.6371     0.6943     53.5148
00300     0.9072      0.7025     0.7524     53.8967
00400     0.8888      0.7489     0.7857     53.6195
00500     0.7709      0.7447     0.7925     53.0546
00600     0.7936      0.7342     0.8050     54.0844
00700     0.7383      0.7722     0.8147     53.2980
00800     0.7710      0.7658     0.8147     54.1732
00900     0.7503      0.7574     0.8196     53.9992
01000     0.7578      0.7658     0.8196     53.1644
01100     0.6142      0.8017     0.8298     53.9080
01200     0.6144      0.8101     0.8298     53.3059
01300     0.7243      0.7764     0.8298     53.0015
01400     0.6065      0.7954     0.8349     54.0300
01500     0.6203      0.8080     0.8349     53.2378
01600     0.5735      0.8249     0.8349     53.9016
01700     0.6268      0.8122     0.8410     53.4351
01800     0.6292      0.8080     0.8410     53.1130
01900     0.5845      0.8165     0.8410     53.7513
02000     0.7010      0.7785     0.8472     53.1835
02100     0.5831      0.8101     0.8472     53.1175
02200     0.7357      0.7679     0.8472     54.1476
02300     0.5990      0.8186     0.8472     53.4945
02400     0.5429      0.8207     0.8472     54.1412
02500     0.5347      0.8291     0.8506     54.0569
02600     0.6117      0.8186     0.8506     54.8536
02700     0.5301      0.8333     0.8506     54.0229
02800     0.6316      0.8059     0.8506     52.9150
02900     0.6158      0.8207     0.8506     53.0208
03000     0.5605      0.8270     0.8523     54.0565
03100     0.5226      0.8439     0.8537     53.7134
03200     0.5352      0.8439     0.8616     54.9017
03300     0.5694      0.8249     0.8616     53.6143
03400     0.5354      0.8291     0.8616     53.7515
03500     0.5491      0.8165     0.8616     53.8535
03600     0.4675      0.8439     0.8616     53.7414
03700     0.5083      0.8397     0.8616     54.0412
03800     0.5479      0.8186     0.8616     53.9795
03900     0.5329      0.8165     0.8616     53.5849
04000     0.5421      0.8397     0.8616     53.8366
04100     0.5341      0.8502     0.8616     53.7688
04200     0.4946      0.8460     0.8616     53.6152
04300     0.4532      0.8481     0.8616     54.4247
04400     0.4833      0.8376     0.8616     53.5298
04500     0.5356      0.8333     0.8616     53.7892
04600     0.4835      0.8418     0.8616     54.5600
04700     0.5543      0.8502     0.8616     53.5616
04800     0.4954      0.8502     0.8616     53.8196
04900     0.4500      0.8671     0.8616     53.8065
05000     0.4512      0.8734     0.8616     53.4218
05100     0.5642      0.8122     0.8616     53.9612
05200     0.4644      0.8565     0.8616     53.3869
05300     0.5002      0.8376     0.8616     53.2996
05400     0.5223      0.8333     0.8616     53.9647
05500     0.5713      0.8249     0.8616     54.1952
05600     0.5755      0.8249     0.8616     54.4209
05700     0.4158      0.8713     0.8616     53.0434
05800     0.4921      0.8544     0.8616     53.1565
05900     0.6054      0.8249     0.8616     53.3106
06000     0.4499      0.8734     0.8616     53.7756
06100     0.4864      0.8502     0.8616     53.5667
06200     0.4146      0.8671     0.8616     53.4306
06300     0.4569      0.8586     0.8616     53.3760
06400     0.5171      0.8523     0.8616     53.9643
06500     0.5008      0.8544     0.8616     53.1724
06600     0.4520      0.8608     0.8616     53.7862
06700     0.4539      0.8608     0.8616     53.9320
06800     0.4428      0.8608     0.8616     53.3965
06900     0.4667      0.8713     0.8616     53.3566
07000     0.5036      0.8291     0.8616     54.8078
07100     0.4922      0.8397     0.8654     55.0704
07200     0.4439      0.8692     0.8654     55.3589
07300     0.4716      0.8629     0.8654     54.0734
07400     0.4725      0.8586     0.8654     53.0857
07500     0.5462      0.8439     0.8654     54.2116
07600     0.4537      0.8671     0.8654     53.1772
07700     0.4474      0.8586     0.8654     53.1898
07800     0.4553      0.8544     0.8654     53.5427
07900     0.4604      0.8586     0.8654     53.1206
08000     0.4367      0.8565     0.8654     54.3621
08100     0.5078      0.8376     0.8654     52.6794
08200     0.5043      0.8312     0.8654     52.9440
08300     0.4700      0.8481     0.8654     53.3555
08400     0.4922      0.8418     0.8654     53.0645
08500     0.4589      0.8565     0.8654     53.7143
08600     0.5523      0.8376     0.8654     53.8347
08700     0.5726      0.8333     0.8654     53.1990
08800     0.5011      0.8565     0.8654     54.3917
08900     0.4476      0.8608     0.8654     53.9909
09000     0.4812      0.8608     0.8654     54.8539
09100     0.4002      0.8734     0.8654     54.6545
09200     0.4448      0.8671     0.8654     53.8006
09300     0.4526      0.8629     0.8654     53.3601
09400     0.5269      0.8312     0.8654     54.2470
09500     0.3946      0.8840     0.8654     53.6710
09600     0.3940      0.8755     0.8654     53.7652
09700     0.4869      0.8586     0.8654     53.2115
09800     0.3575      0.8924     0.8654     53.5850
09900     0.3421      0.8924     0.8654     54.8570
10000     0.4693      0.8418     0.8654     53.6657
10100     0.4656      0.8650     0.8654     54.0479
10200     0.4045      0.8713     0.8654     53.4869
10300     0.3535      0.8945     0.8654     53.1602
10400     0.3816      0.8734     0.8654     53.8672
10500     0.3911      0.8861     0.8654     53.4292
10600     0.3688      0.8840     0.8654     54.0529
10700     0.3765      0.8903     0.8654     54.5657
10800     0.3681      0.8945     0.8654     53.7362
10900     0.3935      0.8797     0.8654     53.4112
11000     0.3701      0.8924     0.8654     53.7416
11100     0.4082      0.8776     0.8654     53.3587
11200     0.3687      0.8924     0.8654     54.3576
11300     0.3693      0.8776     0.8654     53.0784
11400     0.3777      0.8861     0.8654     54.0143
11500     0.4540      0.8523     0.8654     53.9731
11600     0.3915      0.8734     0.8654     53.5006
11700     0.4330      0.8650     0.8654     53.4597
11800     0.3583      0.8797     0.8654     54.0097
11900     0.3487      0.8840     0.8654     53.6610
12000     0.4569      0.8671     0.8654     53.7201
12100     0.3484      0.9030     0.8654     53.1804
12200     0.4852      0.8608     0.8654     53.2820
12300     0.3688      0.8819     0.8654     53.4791
12400     0.3852      0.8797     0.8654     53.9515
12500     0.4469      0.8776     0.8654     54.3628
12600     0.4154      0.8629     0.8654     54.2501
12700     0.4098      0.8671     0.8654     53.8684
12800     0.3576      0.8945     0.8654     54.2498
12900     0.3535      0.8966     0.8654     53.4470
13000     0.3905      0.8713     0.8654     53.9303
13100     0.3572      0.8924     0.8654     53.4151
13200     0.4248      0.8586     0.8654     53.3721
13300     0.3994      0.8797     0.8654     54.1759
13400     0.3666      0.8755     0.8654     53.7722
13500     0.3709      0.8924     0.8654     53.8235
13600     0.4640      0.8671     0.8654     53.8020
13700     0.3131      0.8882     0.8654     53.2007
13800     0.3842      0.8776     0.8654     53.2835
13900     0.3330      0.9051     0.8654     53.9375
14000     0.4466      0.8629     0.8654     53.3965
14100     0.3853      0.8882     0.8654     53.6640
14200     0.3081      0.9051     0.8654     53.7014
14300     0.3253      0.9051     0.8654     54.0647
14400     0.3623      0.8945     0.8654     54.0160
14500     0.4070      0.8819     0.8654     54.0248
14600     0.4376      0.8565     0.8654     53.2775
14700     0.3195      0.9072     0.8654     54.2438
14800     0.3679      0.8586     0.8654     54.1735
14900     0.3552      0.8797     0.8654     53.9145
15000     0.3545      0.9030     0.8654     54.7648
15100     0.4242      0.8713     0.8654     52.9416
15200     0.4202      0.8650     0.8654     54.3590
15300     0.3625      0.8924     0.8654     53.4177
15400     0.2797      0.9114     0.8654     53.4889
15500     0.3838      0.8882     0.8654     53.7679
15600     0.3717      0.8903     0.8654     53.4248
15700     0.3765      0.8819     0.8654     53.8632
15800     0.2950      0.9135     0.8654     53.8125
15900     0.3786      0.8840     0.8654     53.8325
16000     0.4012      0.8776     0.8654     53.8775
16100     0.4348      0.8692     0.8654     53.0860
16200     0.3849      0.8882     0.8654     53.1563
16300     0.3619      0.9008     0.8654     54.3259
16400     0.3877      0.8840     0.8654     53.4009
16500     0.3648      0.9072     0.8654     54.3917
