Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=0, n_mfcc=40, n_msb=1, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
223f5c25-c68b-4eee-9bc4-307b296517b9
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6463      0.0527     0.0798     11.7078
00100     1.9703      0.3544     0.3973     55.4751
00200     1.5008      0.5274     0.5501     54.3750
00300     1.3365      0.5802     0.6409     54.4500
00400     1.2431      0.6329     0.6627     54.4055
00500     1.0031      0.6835     0.7125     54.2388
00600     1.0060      0.6835     0.7250     54.8432
00700     1.0895      0.6540     0.7390     54.7327
00800     1.0159      0.6983     0.7512     55.1942
00900     1.0137      0.6751     0.7512     54.7682
01000     0.8582      0.7447     0.7587     54.3469
01100     0.9003      0.7236     0.7661     54.3580
01200     0.9519      0.7152     0.7661     54.1976
01300     0.9529      0.7384     0.7661     54.6241
01400     0.8714      0.7574     0.7684     54.8179
01500     0.8710      0.7321     0.7765     54.6459
01600     0.8261      0.7426     0.7765     54.9451
01700     0.8494      0.7257     0.7828     54.6950
01800     0.8393      0.7574     0.7885     54.1871
01900     0.8856      0.7384     0.7885     54.8219
02000     0.9307      0.7173     0.7885     54.5138
02100     0.9921      0.6941     0.7885     53.9455
02200     0.8759      0.7236     0.7905     54.5922
02300     0.7777      0.7869     0.7962     54.7015
02400     0.8568      0.7384     0.7962     54.8859
02500     0.9522      0.7110     0.7962     54.2457
02600     0.8765      0.7447     0.7962     54.0339
