Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=0, n_mfcc=40, n_msb=3, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
c9b5533d-9d64-4c97-8284-4c68ecff2346
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5867      0.0949     0.0984     10.3643
00100     1.7642      0.4219     0.4841     68.0430
00200     1.3364      0.5844     0.6319     70.3490
00300     1.1440      0.6624     0.7081     68.9005
00400     1.1481      0.6540     0.7295     71.0340
00500     0.8775      0.7384     0.7517     69.5158
00600     0.8930      0.7405     0.7732     68.9871
00700     0.8869      0.7321     0.7732     70.5410
00800     0.8355      0.7616     0.7802     70.7067
00900     0.9305      0.7004     0.7802     68.4114
01000     0.8909      0.7068     0.7855     69.6416
01100     0.7840      0.7616     0.7969     65.9372
01200     0.8430      0.7215     0.8050     65.7725
01300     0.8514      0.7257     0.8050     67.2922
01400     0.7839      0.7300     0.8050     67.5678
01500     0.6821      0.7932     0.8050     67.6051
01600     0.7093      0.7553     0.8050     71.5029
01700     0.8396      0.7532     0.8080     70.4315
01800     0.7783      0.7700     0.8131     69.2676
01900     0.6790      0.8101     0.8131     70.0811
02000     0.7434      0.7616     0.8196     70.8690
02100     0.7808      0.7553     0.8196     70.9425
02200     0.7429      0.7700     0.8196     70.2247
02300     0.7331      0.7827     0.8296     70.4218
02400     0.7108      0.7848     0.8298     71.0136
02500     0.7019      0.8017     0.8298     70.2556
02600     0.6918      0.7890     0.8298     71.0279
02700     0.7333      0.7806     0.8304     70.6481
02800     0.6772      0.8080     0.8356     69.4365
02900     0.7479      0.7722     0.8356     70.3265
03000     0.6791      0.8059     0.8356     70.2441
03100     0.7741      0.7679     0.8356     70.1079
03200     0.7007      0.7954     0.8356     70.3522
03300     0.6620      0.7975     0.8356     69.3996
03400     0.6396      0.7996     0.8356     70.5421
03500     0.6647      0.7848     0.8356     70.6640
03600     0.6602      0.8101     0.8356     71.0531
03700     0.6904      0.7890     0.8356     70.3701
03800     0.6337      0.8059     0.8356     70.1082
03900     0.6249      0.8249     0.8356     68.8392
04000     0.5559      0.8544     0.8356     69.5570
04100     0.6426      0.8143     0.8356     70.3587
04200     0.6879      0.7975     0.8356     70.2453
04300     0.6438      0.8038     0.8356     72.4450
04400     0.5880      0.8291     0.8356     71.0177
04500     0.5433      0.8481     0.8356     70.7936
