Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=2, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
0ccd0316-ed0b-4a0c-8018-938136900b38
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5257      0.0823     0.0995     12.7491
00100     2.6531      0.1181     0.1071     56.8258
00200     2.7060      0.1329     0.1429     55.3372
00300     2.8653      0.1498     0.1503     54.0782
00400     2.9011      0.1519     0.1818     53.6146
00500     4.2625      0.2616     0.2602     53.0713
00600     2.7002      0.2489     0.2619     53.7372
00700     2.9186      0.2447     0.2619     53.1262
00800     2.7541      0.2384     0.2785     53.7586
00900     2.6453      0.2004     0.2785     53.2388
01000     2.5381      0.2489     0.2808     53.4418
01100     2.3897      0.2426     0.2808     53.9273
01200     2.6344      0.2257     0.2808     52.8558
01300     2.6024      0.1962     0.2808     52.7080
01400     2.6523      0.2848     0.2974     53.3654
01500     2.6168      0.2447     0.3017     53.4040
01600     2.4748      0.3608     0.3273     54.1779
01700     2.5040      0.2743     0.3273     53.0811
01800     2.5334      0.3101     0.3404     53.5317
01900     2.2635      0.2342     0.3404     53.8029
02000     2.1864      0.2236     0.3404     53.2971
02100     2.3601      0.2700     0.3404     53.2542
02200     2.3938      0.2806     0.3404     53.7049
02300     2.3005      0.2869     0.3454     53.5561
02400     2.1208      0.3186     0.3489     53.2043
02500     2.2924      0.2785     0.3489     53.4214
02600     2.1558      0.3291     0.3619     53.7487
02700     2.3340      0.2616     0.3619     53.0400
02800     2.2142      0.3228     0.3619     53.6814
02900     2.1315      0.3207     0.3619     53.8978
03000     2.1344      0.3460     0.3619     53.9995
03100     2.3238      0.3333     0.3619     53.3041
03200     2.2916      0.3080     0.3619     53.8964
03300     2.1779      0.3397     0.3730     53.6790
03400     2.0817      0.3122     0.3730     53.7270
03500     1.9777      0.3059     0.3730     53.5227
03600     1.8852      0.4008     0.3730     53.0980
03700     2.0314      0.3797     0.3730     52.8579
03800     2.0893      0.3439     0.3899     53.7021
03900     2.1302      0.3270     0.3899     53.6122
04000     2.0444      0.3544     0.3899     53.7367
04100     1.9817      0.3186     0.3899     53.5085
04200     2.0054      0.3586     0.3899     52.8305
04300     2.0648      0.3333     0.3899     54.4792
04400     1.9635      0.3629     0.4081     53.5778
04500     2.0393      0.3608     0.4221     53.8553
04600     1.9132      0.3586     0.4221     54.2645
04700     1.8091      0.4135     0.4221     53.8178
04800     1.7974      0.3945     0.4221     54.3353
04900     1.9536      0.3945     0.4261     53.9797
05000     1.7874      0.3945     0.4261     53.9215
05100     1.8553      0.3924     0.4261     54.7787
05200     1.8946      0.3776     0.4261     54.7115
05300     1.8940      0.3692     0.4261     55.1576
05400     1.8867      0.3924     0.4560     53.9360
05500     1.8864      0.4241     0.4585     54.3011
05600     1.9894      0.4135     0.4585     55.3428
05700     1.6394      0.4219     0.4585     54.2158
05800     1.6864      0.4219     0.4585     54.5284
05900     1.8292      0.4219     0.4585     54.6708
06000     1.7388      0.4346     0.4585     54.3469
06100     1.9212      0.4156     0.4737     54.9256
06200     1.6473      0.4241     0.4737     55.9946
06300     1.7023      0.4684     0.4737     53.9745
06400     1.6082      0.4473     0.4737     53.9227
06500     1.7459      0.4515     0.4737     54.1980
06600     1.6965      0.4325     0.4737     54.1041
06700     1.7751      0.4388     0.4750     54.3679
06800     1.5979      0.4494     0.4750     54.0249
06900     1.7141      0.4177     0.4809     54.1706
07000     1.7328      0.4620     0.4894     53.6523
07100     1.8325      0.4367     0.4985     53.5698
07200     1.8599      0.4135     0.4985     54.3755
07300     1.6130      0.4557     0.4985     54.5174
07400     1.7705      0.4156     0.4985     54.8940
07500     1.6514      0.4599     0.4985     55.4949
07600     1.7762      0.3903     0.4985     54.2099
07700     1.6189      0.4156     0.4985     54.3424
07800     1.6260      0.4620     0.4985     54.1672
07900     1.5710      0.4620     0.4985     53.6797
08000     1.6493      0.4747     0.4985     56.3070
08100     1.7334      0.4430     0.4985     55.4617
08200     1.7600      0.4388     0.4985     55.3653
08300     1.6528      0.4789     0.4985     56.4475
08400     1.5412      0.4684     0.4993     55.2751
08500     1.6074      0.4536     0.5089     55.9770
08600     1.6444      0.4219     0.5089     56.5468
08700     1.7292      0.4219     0.5089     55.9350
08800     1.6089      0.4641     0.5089     55.7497
08900     1.6608      0.4620     0.5089     55.2812
09000     1.7610      0.4283     0.5089     55.6917
09100     1.6974      0.4641     0.5089     57.0870
09200     1.6672      0.4536     0.5154     56.9451
09300     1.5302      0.5021     0.5297     56.1249
09400     1.7578      0.4430     0.5297     56.0372
09500     1.7267      0.4451     0.5297     54.7775
09600     1.7070      0.4747     0.5297     56.8215
09700     1.7350      0.4536     0.5297     54.7331
09800     1.7593      0.4283     0.5323     54.6376
09900     1.7833      0.4430     0.5323     54.7598
10000     1.7376      0.4705     0.5323     53.7006
10100     1.6332      0.5000     0.5323     55.2730
10200     1.7013      0.4515     0.5323     56.9625
10300     1.6534      0.4599     0.5358     55.7101
10400     1.5614      0.4958     0.5358     56.3177
10500     1.7096      0.4852     0.5358     55.7892
10600     1.5038      0.5169     0.5358     56.1992
10700     1.6067      0.4895     0.5358     56.4635
10800     1.6862      0.4937     0.5358     55.3044
10900     1.6868      0.5274     0.5358     55.9005
11000     1.6454      0.4895     0.5382     55.6038
11100     1.4967      0.5021     0.5382     55.9941
11200     1.6931      0.4958     0.5382     55.8613
11300     1.6305      0.4852     0.5382     57.0621
11400     1.5322      0.4916     0.5382     55.3848
11500     1.6204      0.4641     0.5398     55.6444
11600     1.6378      0.4684     0.5553     56.5137
11700     1.5868      0.4789     0.5553     56.5409
11800     1.5956      0.5063     0.5553     55.7236
11900     1.6120      0.5148     0.5553     56.4191
12000     1.6287      0.4726     0.5553     55.5384
12100     1.6935      0.4979     0.5553     54.7300
12200     1.5016      0.5464     0.5553     53.5179
12300     1.6570      0.4557     0.5640     53.3007
12400     1.5112      0.5148     0.5640     54.2503
12500     1.6041      0.5105     0.5640     53.6437
12600     1.5859      0.4979     0.5640     54.1412
12700     1.6478      0.4916     0.5640     53.7669
12800     1.5896      0.5338     0.5640     54.1925
12900     1.6558      0.4768     0.5668     53.9523
13000     1.7709      0.4895     0.5668     53.3061
13100     1.5922      0.5063     0.5668     53.7407
13200     1.6194      0.4958     0.5668     53.4490
13300     1.7305      0.4578     0.5676     53.9704
13400     1.5448      0.5000     0.5676     54.1549
13500     1.6588      0.4684     0.5676     52.7279
13600     1.5129      0.4958     0.5676     54.0428
13700     1.5766      0.5063     0.5676     53.3477
13800     1.5284      0.5232     0.5676     53.8775
13900     1.5255      0.4916     0.5676     54.0572
14000     1.8132      0.4662     0.5676     53.6995
14100     1.4955      0.5338     0.5676     53.8787
14200     1.6255      0.4916     0.5676     54.8050
14300     1.6567      0.4810     0.5676     54.0302
14400     1.6130      0.4916     0.5676     54.4387
14500     1.6367      0.5190     0.5676     53.8184
14600     1.5603      0.5021     0.5676     53.7616
14700     1.7889      0.4747     0.5676     54.6651
14800     1.6897      0.4726     0.5676     53.2071
14900     1.5893      0.5021     0.5676     53.5622
15000     1.5515      0.5380     0.5676     54.6302
15100     1.6275      0.5021     0.5676     54.3107
15200     1.4653      0.5127     0.5676     54.5836
15300     1.5932      0.5105     0.5676     53.0829
15400     1.5057      0.5211     0.5676     53.6625
15500     1.6282      0.4895     0.5676     54.2161
15600     1.4578      0.5274     0.5676     53.5904
15700     1.4954      0.5232     0.5676     53.3718
15800     1.7312      0.4684     0.5676     53.9819
15900     1.5856      0.5253     0.5676     53.8593
16000     1.5828      0.4937     0.5676     55.6460
16100     1.6240      0.4852     0.5676     54.0378
16200     1.6407      0.4958     0.5676     53.7761
16300     1.5191      0.5232     0.5676     53.9736
16400     1.7376      0.4852     0.5676     54.3298
16500     1.4820      0.5190     0.5676     53.8487
16600     1.7615      0.4873     0.5676     53.9759
16700     1.6033      0.5464     0.5676     54.0291
16800     1.5463      0.5190     0.5676     55.2763
16900     1.6965      0.4916     0.5676     53.5316
17000     1.6232      0.4916     0.5676     52.8685
17100     1.5382      0.5211     0.5676     54.6523
17200     1.4595      0.5253     0.5717     53.3919
17300     1.5370      0.5274     0.5717     53.4162
17400     1.5222      0.5063     0.5717     53.9843
17500     1.5166      0.4810     0.5717     55.2411
17600     1.6238      0.4979     0.5717     55.8938
17700     1.5420      0.5063     0.5758     56.5734
17800     1.4714      0.5401     0.5834     55.1617
17900     1.5643      0.5274     0.5835     56.3606
18000     1.5387      0.5232     0.5835     56.2019
18100     1.6293      0.4873     0.5835     56.4808
18200     1.4628      0.5443     0.5835     56.1316
18300     1.7335      0.4852     0.5835     55.6437
18400     1.5127      0.5084     0.5835     55.8340
18500     1.4609      0.5612     0.5835     54.5996
18600     1.5337      0.5000     0.5835     55.5409
18700     1.6755      0.4979     0.5835     55.4960
18800     1.5168      0.5000     0.5835     55.0393
18900     1.6556      0.5211     0.5835     55.0572
19000     1.4963      0.5591     0.5835     55.6978
19100     1.5149      0.5042     0.5835     55.5872
19200     1.4700      0.5506     0.5835     55.9977
