Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=2, quant_inp=4, quant_w=None, random_seed=8627169, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
337e3ced-de22-4967-a63f-3c4ac6b4a6ec
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5257      0.1055     0.1005     10.5508
00100     2.5256      0.0907     0.1005     66.4527
00200     2.5255      0.1076     0.1005     67.9440
00300     2.5254      0.0970     0.1005     66.9695
00400     2.5253      0.0886     0.1005     65.8441
00500     2.5252      0.0949     0.1005     66.0564
00600     2.5251      0.0844     0.1005     69.1735
00700     2.5251      0.1139     0.1005     66.3587
00800     2.5250      0.1097     0.1005     66.4417
00900     2.5249      0.1160     0.1011     65.3910
01000     2.5248      0.0949     0.1011     67.6573
01100     2.5247      0.0886     0.1011     68.2122
01200     2.5247      0.0992     0.1011     68.1595
01300     2.5246      0.1097     0.1011     66.5419
01400     2.5245      0.1371     0.1011     65.1632
01500     2.5244      0.0844     0.1011     64.6116
01600     2.5243      0.0907     0.1011     65.5186
01700     2.5243      0.0992     0.1011     66.5899
01800     2.5242      0.0907     0.1011     67.2393
01900     2.5241      0.0907     0.1011     66.5092
02000     2.5240      0.0886     0.1011     65.8423
02100     2.5240      0.0992     0.1011     66.0400
02200     2.5239      0.0992     0.1011     66.2842
02300     2.5238      0.0928     0.1011     66.9142
02400     2.5237      0.0865     0.1011     67.4744
02500     2.5237      0.0992     0.1011     67.6389
02600     2.5236      0.1097     0.1011     66.8509
02700     2.5235      0.0992     0.1011     65.6276
02800     2.5234      0.1013     0.1011     65.8376
02900     2.5234      0.0886     0.1011     64.4678
03000     2.5233      0.0949     0.1011     65.5173
03100     2.5232      0.1013     0.1011     65.2267
03200     2.5232      0.1097     0.1011     66.7585
03300     2.5231      0.1097     0.1011     66.0124
03400     2.5230      0.1013     0.1011     65.8744
03500     2.5229      0.0738     0.1011     65.4647
03600     2.5229      0.0907     0.1011     65.9955
03700     2.5228      0.0886     0.1011     66.2798
03800     2.5227      0.0886     0.1011     66.4109
03900     2.5227      0.1245     0.1011     67.0116
04000     2.5226      0.0970     0.1011     66.5377
04100     2.5225      0.1118     0.1011     65.7203
04200     2.5225      0.1076     0.1011     65.6057
04300     2.5224      0.0949     0.1011     65.8203
04400     2.5223      0.0907     0.1011     65.7749
04500     2.5222      0.1034     0.1011     67.2848
04600     2.5222      0.0844     0.1011     66.0265
04700     2.5221      0.0949     0.1011     66.3053
04800     2.5220      0.0886     0.1011     70.1234
04900     2.5220      0.1329     0.1011     66.6893
05000     2.5219      0.0633     0.1011     65.9494
05100     2.5218      0.0865     0.1011     66.0224
05200     2.5218      0.0949     0.1011     66.1369
05300     2.5217      0.0970     0.1011     66.2148
05400     2.5216      0.0886     0.1011     65.8782
05500     2.5216      0.0907     0.1011     64.9031
05600     2.5215      0.1097     0.1011     65.8081
05700     2.5214      0.0886     0.1011     65.5428
05800     2.5214      0.0823     0.1011     66.8699
05900     2.5213      0.0949     0.1011     68.0092
06000     2.5212      0.0949     0.1011     66.1174
06100     2.5212      0.0844     0.1011     65.9298
06200     2.5211      0.1034     0.1011     65.7449
06300     2.5210      0.0970     0.1011     67.1832
06400     2.5210      0.1160     0.1011     66.5982
06500     2.5209      0.0696     0.1011     66.7138
06600     2.5208      0.1013     0.1011     65.7578
06700     2.5208      0.1181     0.1011     65.3259
06800     2.5207      0.1034     0.1011     65.8923
06900     2.5206      0.0970     0.1011     65.9900
07000     2.5206      0.1034     0.1011     65.2682
07100     2.5205      0.1055     0.1011     64.9649
07200     2.5204      0.1055     0.1011     66.1644
07300     2.5204      0.0992     0.1011     66.2913
07400     2.5203      0.1245     0.1011     66.0230
07500     2.5202      0.0992     0.1011     68.1053
07600     2.5202      0.1224     0.1011     66.3865
07700     2.5201      0.0992     0.1011     68.2019
07800     2.5200      0.0949     0.1011     64.7477
07900     2.5200      0.0992     0.1011     68.1721
08000     2.5199      0.0759     0.1011     65.4527
08100     2.5199      0.1118     0.1011     66.7626
08200     2.5198      0.0949     0.1011     65.4668
08300     2.5197      0.0865     0.1011     66.0335
08400     2.5197      0.1097     0.1011     66.0378
08500     2.5196      0.0992     0.1011     66.5420
08600     2.5195      0.1076     0.1011     66.6396
08700     2.5195      0.1055     0.1011     65.1861
08800     2.5194      0.0949     0.1011     64.4299
08900     2.5193      0.0949     0.1011     65.1166
09000     2.5193      0.1203     0.1011     65.7529
09100     2.5192      0.1097     0.1011     66.1412
09200     2.5192      0.0970     0.1011     66.0738
09300     2.5191      0.0844     0.1011     66.6579
09400     2.5190      0.0907     0.1011     68.0017
09500     2.5190      0.0865     0.1011     65.8033
09600     2.5189      0.1160     0.1011     64.7947
09700     2.5188      0.0907     0.1011     66.1739
09800     2.5188      0.0970     0.1011     65.0743
09900     2.5187      0.1034     0.1011     66.7166
10000     2.5186      0.0970     0.1011     66.0708
10100     2.5186      0.0907     0.1011     66.7507
10200     2.5186      0.0949     0.1011     66.4382
10300     2.5186      0.1118     0.1011     66.7363
10400     2.5186      0.0717     0.1011     65.5085
10500     2.5186      0.0823     0.1011     67.3400
10600     2.5186      0.0886     0.1011     66.6935
10700     2.5185      0.1097     0.1011     66.0145
10800     2.5185      0.1139     0.1011     65.8282
10900     2.5185      0.1055     0.1011     66.1881
11000     2.5185      0.0802     0.1011     67.2382
11100     2.5185      0.0886     0.1011     65.4639
11200     2.5185      0.0970     0.1011     66.7556
11300     2.5184      0.0844     0.1011     65.1797
11400     2.5184      0.0992     0.1011     68.8748
11500     2.5184      0.0949     0.1011     66.0959
11600     2.5184      0.0865     0.1011     66.1576
11700     2.5184      0.1055     0.1011     67.4601
11800     2.5184      0.0907     0.1011     65.0617
11900     2.5183      0.0970     0.1011     64.2766
12000     2.5183      0.1139     0.1011     65.6035
12100     2.5183      0.1477     0.1011     68.0343
12200     2.5183      0.0928     0.1011     66.4977
12300     2.5183      0.1308     0.1011     65.9241
12400     2.5183      0.0907     0.1011     65.9235
12500     2.5183      0.0886     0.1011     64.7259
12600     2.5182      0.0844     0.1011     68.2429
12700     2.5182      0.0886     0.1011     65.1147
12800     2.5182      0.1076     0.1011     66.3523
12900     2.5182      0.1181     0.1011     66.6854
13000     2.5182      0.0928     0.1011     66.7781
13100     2.5182      0.1076     0.1011     66.7726
13200     2.5181      0.0970     0.1011     66.5666
13300     2.5181      0.0970     0.1011     66.7822
13400     2.5181      0.0928     0.1011     66.2257
13500     2.5181      0.1097     0.1011     66.2628
13600     2.5181      0.0970     0.1011     66.2302
13700     2.5181      0.1034     0.1011     67.2717
13800     2.5180      0.1034     0.1011     65.7128
13900     2.5180      0.0992     0.1011     66.0590
14000     2.5180      0.0886     0.1011     65.9125
14100     2.5180      0.0949     0.1011     66.5555
14200     2.5180      0.1034     0.1011     65.7628
14300     2.5180      0.0865     0.1011     66.0365
14400     2.5180      0.1076     0.1011     65.8412
14500     2.5179      0.1076     0.1011     66.8581
14600     2.5179      0.1013     0.1011     68.2580
14700     2.5179      0.1118     0.1011     65.7280
14800     2.5179      0.0865     0.1011     67.8343
14900     2.5179      0.1371     0.1011     67.4199
15000     2.5179      0.1034     0.1011     65.5726
15100     2.5178      0.1055     0.1011     67.4716
15200     2.5178      0.1308     0.1011     65.9484
15300     2.5178      0.0992     0.1011     64.2450
15400     2.5178      0.1076     0.1011     66.7548
15500     2.5178      0.1055     0.1011     65.9571
15600     2.5178      0.1013     0.1011     66.6466
15700     2.5178      0.1118     0.1011     66.6070
15800     2.5177      0.1203     0.1011     66.5683
15900     2.5177      0.0844     0.1011     66.5721
16000     2.5177      0.1055     0.1011     66.8995
16100     2.5177      0.0738     0.1011     69.1518
16200     2.5177      0.1203     0.1011     67.9257
16300     2.5177      0.1266     0.1011     65.3340
16400     2.5176      0.0970     0.1011     65.7658
16500     2.5176      0.0844     0.1011     68.8455
16600     2.5176      0.1203     0.1011     66.2122
16700     2.5176      0.0928     0.1011     65.5883
16800     2.5176      0.0781     0.1011     66.1489
16900     2.5176      0.0907     0.1011     66.8125
17000     2.5175      0.0992     0.1011     64.3644
17100     2.5175      0.1076     0.1011     66.2982
17200     2.5175      0.1181     0.1011     66.4545
17300     2.5175      0.1118     0.1011     66.5483
17400     2.5175      0.0970     0.1011     67.0942
17500     2.5175      0.1498     0.1011     65.2689
17600     2.5175      0.0844     0.1011     64.9720
17700     2.5174      0.1160     0.1011     69.8060
17800     2.5174      0.0865     0.1011     67.7520
17900     2.5174      0.1118     0.1011     68.8389
18000     2.5174      0.1076     0.1011     66.3278
18100     2.5174      0.0802     0.1011     65.1952
18200     2.5174      0.0823     0.1011     66.6693
18300     2.5173      0.1013     0.1011     67.5441
18400     2.5173      0.1076     0.1011     65.9513
18500     2.5173      0.1013     0.1011     65.9394
18600     2.5173      0.1181     0.1011     65.3636
18700     2.5173      0.1266     0.1011     66.2572
18800     2.5173      0.0886     0.1011     67.8558
18900     2.5172      0.1034     0.1011     66.0708
19000     2.5172      0.1139     0.1011     66.1854
19100     2.5172      0.0907     0.1011     65.9297
19200     2.5172      0.0970     0.1011     65.3853
19300     2.5172      0.1224     0.1011     66.0276
19400     2.5172      0.0970     0.1011     66.9279
19500     2.5172      0.0823     0.1011     65.2106
19600     2.5171      0.1034     0.1011     66.0257
19700     2.5171      0.1034     0.1011     66.1188
19800     2.5171      0.1329     0.1011     66.2966
19900     2.5171      0.0949     0.1011     66.1616
20000     2.5171      0.1118     0.1011     67.5820
20100     2.5171      0.1118     0.1011     66.0346
20199     2.5171      0.0717     0.1011     64.1884
Start finetuning with noise:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5171      0.0949     0.0997     10.4853
00100     2.5170      0.0949     0.0997     65.1091
00200     2.5168      0.0759     0.0997     65.5289
00300     2.5175      0.0696     0.0997     65.5969
00400     2.5177      0.0844     0.0997     66.4483
00500     2.5172      0.0802     0.0997     65.4008
00600     2.5165      0.0992     0.0997     64.1690
00700     2.5171      0.0738     0.0997     65.8550
00800     2.5169      0.1118     0.0997     64.6910
00900     2.5161      0.1055     0.0997     64.6001
01000     2.5159      0.1055     0.1002     65.7520
01100     2.5150      0.1245     0.1035     65.6104
01200     2.5164      0.0886     0.1035     65.6161
01300     2.5137      0.1118     0.1035     66.9617
01400     2.5130      0.1181     0.1035     68.1502
01500     2.5148      0.1034     0.1035     65.6405
01600     2.5168      0.0865     0.1035     65.0565
01700     2.5123      0.1055     0.1035     65.0061
01800     2.5135      0.0907     0.1035     64.8740
01900     2.5131      0.1034     0.1035     65.2208
02000     2.5123      0.1013     0.1035     64.0076
02100     2.5147      0.0886     0.1035     64.6884
02200     2.5147      0.0844     0.1035     65.3229
02300     2.5116      0.0949     0.1035     65.2201
02400     2.5189      0.0802     0.1035     64.9342
02500     2.5147      0.0970     0.1035     65.7536
02600     2.5136      0.1055     0.1035     67.1294
02700     2.5140      0.1118     0.1035     66.6129
02800     2.5157      0.0696     0.1035     64.4208
02900     2.5112      0.0949     0.1035     67.6249
03000     2.5108      0.1055     0.1035     66.1182
03100     2.5147      0.0992     0.1035     66.7408
03200     2.5162      0.1055     0.1035     65.2082
03300     2.5136      0.0865     0.1035     67.2005
03400     2.5150      0.1118     0.1035     67.0102
03500     2.5119      0.1224     0.1035     65.5929
03600     2.5152      0.0970     0.1035     66.9597
03700     2.5121      0.1203     0.1035     65.3695
03800     2.5090      0.1245     0.1035     65.0479
03900     2.5170      0.1013     0.1035     66.9102
04000     2.5159      0.1013     0.1035     66.2149
04100     2.5135      0.0992     0.1067     66.0090
04200     2.5198      0.0823     0.1067     66.9691
04300     2.5163      0.0949     0.1067     66.0283
04400     2.5128      0.1055     0.1067     65.1722
04500     2.5168      0.1013     0.1067     65.4924
04600     2.5175      0.0907     0.1067     66.8950
04700     2.5142      0.0823     0.1067     65.5427
04800     2.5199      0.0844     0.1067     66.0439
04900     2.5122      0.1097     0.1067     66.5857
05000     2.5137      0.1076     0.1067     67.0690
05100     2.5140      0.1076     0.1067     66.0921
05200     2.5064      0.1139     0.1067     66.1377
05300     2.5085      0.1013     0.1067     65.6674
05400     2.5188      0.0823     0.1067     66.0762
05500     2.5166      0.0907     0.1067     67.8940
05600     2.5164      0.0928     0.1067     65.8475
05700     2.5084      0.1097     0.1067     66.7391
05800     2.5125      0.0970     0.1067     66.4088
05900     2.5143      0.1118     0.1067     70.1942
06000     2.5215      0.0823     0.1067     66.3914
06100     2.5129      0.1097     0.1067     65.7949
06200     2.5136      0.0928     0.1067     66.7263
06300     2.5086      0.1224     0.1067     66.8591
06400     2.5139      0.0949     0.1067     69.5209
06500     2.5150      0.1055     0.1067     65.6154
06600     2.5150      0.1076     0.1067     65.6978
06700     2.5147      0.1076     0.1067     64.8480
06800     2.5193      0.0865     0.1067     65.9538
06900     2.5132      0.1076     0.1067     66.4493
07000     2.5129      0.1055     0.1067     65.6420
07100     2.5168      0.0802     0.1067     64.5505
07200     2.5187      0.0823     0.1067     66.7905
07300     2.5117      0.1076     0.1067     65.6364
07400     2.5105      0.0802     0.1067     66.7506
07500     2.5155      0.0970     0.1067     66.6324
07600     2.5152      0.0949     0.1067     67.9684
07700     2.5151      0.0928     0.1067     66.5106
07800     2.5083      0.1034     0.1067     65.3546
07900     2.5082      0.1139     0.1067     66.5870
08000     2.5119      0.0949     0.1067     65.5003
08100     2.5046      0.1055     0.1067     65.0572
08200     2.5120      0.0949     0.1067     66.6053
08300     2.5145      0.0928     0.1067     66.2275
08400     2.5183      0.0928     0.1067     66.3041
08500     2.5141      0.0886     0.1067     66.7849
08600     2.5129      0.1055     0.1067     67.0001
08700     2.5152      0.1034     0.1067     66.3678
08800     2.5155      0.0886     0.1089     66.1932
08900     2.5168      0.0612     0.1089     67.1942
