Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=5, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
d1b7276a-7b9d-4387-bcb9-2c0b80326b0a
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6300      0.0802     0.0569     10.6701
00100     2.0906      0.2996     0.3683     65.4341
00200     1.4871      0.5380     0.5238     66.6049
00300     1.3610      0.5527     0.6308     66.6284
00400     1.1353      0.6329     0.6308     65.7904
00500     1.1261      0.6646     0.6308     66.1057
00600     1.1376      0.6646     0.6560     65.4672
00700     1.0833      0.6730     0.7217     65.8998
00800     0.8779      0.7257     0.7217     65.4460
00900     0.8751      0.7489     0.7217     67.4569
01000     0.8763      0.7110     0.7255     64.7772
01100     0.8201      0.7468     0.7255     64.9200
01200     0.8226      0.7511     0.7255     64.6621
01300     0.8386      0.7384     0.7255     65.7896
01400     0.9786      0.7004     0.7255     66.5235
01500     0.9587      0.7300     0.7255     66.8454
01600     0.8192      0.7489     0.7255     66.1661
01700     0.7508      0.7553     0.7255     65.7245
01800     0.7594      0.7658     0.7255     64.6932
01900     0.7844      0.7700     0.7255     64.6865
02000     0.7982      0.7489     0.7255     65.1790
02100     0.8262      0.7194     0.7255     66.9945
02200     0.8097      0.7447     0.7255     66.1163
02300     0.7720      0.7532     0.7255     67.6184
02400     0.7961      0.7890     0.7255     66.2643
02500     0.7517      0.7679     0.7255     66.7321
02600     0.7754      0.7447     0.7255     65.8068
02700     0.7876      0.7384     0.7255     65.9919
02800     0.6913      0.7975     0.7255     65.4427
02900     0.7981      0.7511     0.7255     68.8440
03000     0.7504      0.7869     0.7255     64.9926
03100     0.7071      0.8017     0.7255     67.0817
03200     0.6889      0.7890     0.7255     65.7950
03300     0.7245      0.7827     0.7255     65.5399
03400     0.8019      0.7574     0.7255     67.0590
03500     0.7103      0.7574     0.7255     65.4404
03600     0.6715      0.7911     0.7255     67.0269
03700     0.7133      0.7806     0.7255     63.9662
03800     0.7145      0.7743     0.7255     65.8931
03900     0.7591      0.7511     0.7255     66.8546
04000     0.6627      0.7996     0.7255     65.7173
04100     0.6251      0.8207     0.7255     65.9834
04200     0.5660      0.8165     0.7255     65.7914
04300     0.9012      0.7173     0.7255     65.6271
04400     0.7423      0.7637     0.7255     66.1436
04500     0.6835      0.8080     0.7255     64.9093
