Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=3, quant_w=None, random_seed=193012823, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
ec4b85e1-a689-41f5-ad4b-f5ffd63489d0
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6374      0.0612     0.0821     14.0821
00100     1.9176      0.3460     0.3922     72.6011
00200     1.6381      0.4937     0.4844     70.4818
00300     1.5259      0.4747     0.5592     70.5199
00400     1.4818      0.5148     0.5746     69.9396
00500     1.3825      0.5633     0.5868     70.2009
00600     1.3650      0.5612     0.5998     69.6716
00700     1.4175      0.5464     0.5998     70.0564
00800     1.3582      0.5570     0.6317     70.1898
00900     1.2475      0.5865     0.6547     69.7484
01000     1.3056      0.5675     0.6568     70.4138
01100     1.2931      0.5717     0.6691     69.2344
01200     1.2898      0.5865     0.6691     69.1869
01300     1.2255      0.6097     0.6691     69.1349
01400     1.3541      0.5338     0.6691     69.1295
01500     1.2865      0.5844     0.6699     69.7450
01600     1.2834      0.5696     0.6699     70.0069
01700     1.1577      0.6203     0.6837     69.7928
01800     1.1288      0.6160     0.6837     69.9466
01900     1.1632      0.6245     0.6837     70.3977
02000     1.2973      0.5907     0.6837     69.6088
02100     1.2715      0.5865     0.6837     69.1513
02200     1.2403      0.5654     0.6837     69.5962
02300     1.3079      0.5738     0.6837     69.6151
02400     1.2641      0.6034     0.6872     69.8417
02500     1.2699      0.5949     0.6872     69.4567
02600     1.2083      0.6266     0.6872     69.4860
02700     1.1652      0.6350     0.6872     69.6731
02800     1.1685      0.6203     0.6872     69.2779
02900     1.2500      0.6329     0.6872     69.0343
03000     1.1901      0.6435     0.6872     69.6466
03100     1.1111      0.6392     0.6872     69.3185
03200     1.1979      0.6224     0.6872     70.2870
03300     1.1790      0.6181     0.6872     69.2479
03400     1.3078      0.5802     0.6874     69.8623
03500     1.2027      0.6181     0.6874     69.3345
03600     1.2260      0.6034     0.6892     70.1729
03700     1.1396      0.6118     0.6914     69.2499
03800     1.1480      0.6287     0.6914     69.8096
03900     1.2185      0.6224     0.6914     69.5456
04000     1.1319      0.6519     0.7035     69.4008
04100     1.0785      0.6667     0.7035     69.6211
04200     1.0777      0.6540     0.7035     69.4314
04300     1.1605      0.6371     0.7035     69.6451
04400     1.1728      0.6224     0.7035     70.1180
04500     1.2061      0.5949     0.7035     69.4261
04600     1.2982      0.5654     0.7035     69.5982
04700     1.1159      0.6414     0.7035     69.6332
04800     1.0589      0.6814     0.7067     69.3500
04900     1.1616      0.6203     0.7067     69.4430
05000     1.1344      0.6139     0.7067     70.2393
05100     1.1294      0.6414     0.7067     69.5764
05200     1.1148      0.6308     0.7067     69.3817
05300     1.1062      0.6540     0.7067     69.3876
05400     1.1870      0.6160     0.7067     69.3479
05500     1.2002      0.5992     0.7067     69.2395
05600     1.1181      0.6287     0.7067     69.5060
05700     1.0827      0.6582     0.7067     68.7581
05800     1.1624      0.6287     0.7067     69.8781
05900     1.2132      0.6224     0.7067     69.8972
06000     1.1267      0.6392     0.7067     69.0652
06100     1.1824      0.6308     0.7067     69.0747
06200     1.1332      0.6266     0.7067     68.8155
06300     1.1240      0.6308     0.7067     68.6151
06400     1.0886      0.6688     0.7067     69.2419
06500     1.1337      0.6329     0.7067     68.4935
06600     1.1219      0.6667     0.7101     69.2086
06700     1.0793      0.6519     0.7101     68.8672
06800     1.0711      0.6709     0.7101     68.6460
06900     1.1453      0.6266     0.7101     69.6324
07000     1.1741      0.6329     0.7101     69.4340
07100     1.2008      0.6224     0.7101     68.9474
07200     1.1225      0.6329     0.7101     69.0415
07300     1.0771      0.6392     0.7101     69.5492
07400     1.1148      0.6456     0.7101     68.5091
07500     1.0736      0.6561     0.7101     70.2281
07600     1.1774      0.6055     0.7101     69.1360
07700     1.0671      0.6519     0.7133     69.7996
07800     1.1133      0.6392     0.7151     69.5452
07900     1.0616      0.6624     0.7151     69.7641
08000     1.1061      0.6477     0.7151     69.3460
08100     1.1562      0.6371     0.7151     69.5855
08200     1.2114      0.5865     0.7151     69.5363
08300     1.0589      0.6667     0.7151     69.6463
08400     1.0568      0.6730     0.7151     69.0956
08500     1.0668      0.6540     0.7151     69.3039
08600     1.1281      0.6435     0.7151     69.9129
08700     1.1436      0.6160     0.7151     69.2058
08800     1.1526      0.6181     0.7151     69.4774
08900     1.0685      0.6624     0.7151     68.6297
09000     1.1355      0.6181     0.7151     68.9580
09100     0.9961      0.6688     0.7151     69.6648
09200     1.2124      0.6160     0.7151     69.3591
09300     1.0877      0.6582     0.7151     70.0330
09400     1.1196      0.6519     0.7151     69.7039
09500     1.0396      0.6561     0.7151     69.3736
09600     1.0876      0.6224     0.7151     70.8119
09700     1.1478      0.6540     0.7151     69.7277
09800     1.1042      0.6540     0.7151     69.2133
09900     1.0503      0.6646     0.7151     69.6142
10000     1.0965      0.6540     0.7151     69.5087
10100     1.1201      0.6498     0.7151     69.5063
10200     1.1200      0.6540     0.7151     69.3334
10300     1.1154      0.6245     0.7178     69.2598
10400     1.0673      0.6646     0.7178     69.3751
10500     1.1741      0.6266     0.7178     69.3504
10600     0.9521      0.7194     0.7189     69.9883
10700     1.0647      0.6329     0.7189     69.5051
10800     1.0709      0.6498     0.7227     69.5896
10900     1.0417      0.6477     0.7227     69.5827
11000     1.0810      0.6540     0.7238     70.5065
11100     1.0206      0.6688     0.7238     69.6415
11200     1.0565      0.6667     0.7238     69.3651
11300     1.1013      0.6456     0.7238     68.7276
11400     1.0593      0.6646     0.7238     69.3429
11500     0.9790      0.6962     0.7238     69.6844
11600     1.0955      0.6498     0.7238     69.2691
11700     1.0326      0.6646     0.7238     69.3862
11800     1.0181      0.6751     0.7238     70.6210
11900     1.0664      0.6519     0.7238     69.9569
12000     1.0792      0.6329     0.7238     69.5667
12100     1.0975      0.6540     0.7238     69.7606
12200     1.0734      0.6582     0.7238     69.9415
12300     1.1033      0.6392     0.7238     69.8818
12400     1.0162      0.6814     0.7238     70.0127
12500     1.0312      0.6667     0.7246     69.0604
12600     1.0376      0.6540     0.7246     69.2192
12700     1.0262      0.6582     0.7246     69.9695
12800     1.0576      0.6414     0.7246     69.6131
12900     1.0531      0.6477     0.7246     69.3349
13000     1.0467      0.6540     0.7246     68.6531
13100     1.1183      0.6540     0.7246     70.2970
13200     1.0017      0.7068     0.7246     69.2270
13300     1.0238      0.6878     0.7246     69.3458
13400     1.0753      0.6688     0.7246     68.6609
13500     1.0049      0.6709     0.7246     69.0933
13600     1.0584      0.6540     0.7246     70.3315
13700     1.0220      0.6582     0.7246     70.0314
13800     1.0126      0.6667     0.7246     68.8783
13900     0.9706      0.6709     0.7246     69.5559
