Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
9f23e800-1728-43d5-856a-66859056bb56
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5938      0.1160     0.0884     11.2958
00100     1.6710      0.4219     0.4961     56.9300
00200     1.2519      0.5949     0.6393     54.0683
00300     1.0364      0.6667     0.7105     53.3458
00400     0.9763      0.7068     0.7438     52.8776
00500     0.9071      0.7089     0.7631     52.5865
00600     0.8540      0.7363     0.7834     52.9584
00700     0.8156      0.7679     0.7867     52.6032
00800     0.7756      0.7637     0.7874     52.8133
00900     0.7909      0.7489     0.7874     52.2619
01000     0.8016      0.7532     0.7910     52.2802
01100     0.7154      0.7848     0.8066     54.1968
01200     0.7707      0.7806     0.8133     52.6128
01300     0.8347      0.7468     0.8133     52.9241
01400     0.8366      0.7511     0.8177     52.8177
01500     0.7642      0.7722     0.8177     53.7184
01600     0.7465      0.7679     0.8177     53.5101
01700     0.6647      0.7911     0.8265     53.0888
01800     0.6685      0.7743     0.8265     53.0450
01900     0.7171      0.7743     0.8265     52.3951
02000     0.6760      0.7911     0.8265     52.6382
02100     0.6785      0.7827     0.8265     53.0381
02200     0.6846      0.7975     0.8265     53.9919
02300     0.7002      0.7785     0.8265     53.7129
02400     0.7043      0.8143     0.8265     52.0799
02500     0.6312      0.8143     0.8265     52.1044
02600     0.6828      0.7869     0.8265     52.1726
02700     0.6420      0.8122     0.8265     53.2812
02800     0.5847      0.8354     0.8265     53.5091
02900     0.7259      0.7932     0.8265     57.7880
03000     0.6458      0.7996     0.8265     59.3067
03100     0.6113      0.8249     0.8265     56.3480
03200     0.6314      0.8207     0.8265     56.7834
03300     0.6345      0.8228     0.8265     56.9176
03400     0.7316      0.7658     0.8265     55.8823
03500     0.6046      0.8059     0.8265     55.9558
03600     0.6007      0.8354     0.8265     55.6167
03700     0.5792      0.8333     0.8367     57.6124
03800     0.6440      0.8101     0.8367     57.4262
03900     0.6799      0.7996     0.8367     55.6084
04000     0.5669      0.8249     0.8367     55.9190
04100     0.5778      0.8312     0.8484     56.3386
04200     0.5360      0.8354     0.8484     54.6219
04300     0.7353      0.7911     0.8484     54.6270
04400     0.6671      0.7996     0.8484     56.5332
04500     0.6065      0.8228     0.8484     54.4302
04600     0.6796      0.8017     0.8484     54.7103
04700     0.5614      0.8312     0.8484     56.0574
04800     0.5333      0.8333     0.8484     56.0944
04900     0.5517      0.8481     0.8484     56.3391
05000     0.5829      0.8143     0.8484     55.0833
05100     0.5933      0.8207     0.8484     56.3877
05200     0.5473      0.8312     0.8484     53.1141
05300     0.6034      0.8249     0.8484     54.5032
05400     0.5878      0.8059     0.8484     57.2892
05500     0.5923      0.7996     0.8484     55.2277
05600     0.5676      0.8333     0.8484     54.4763
05700     0.5405      0.8376     0.8484     53.1240
05800     0.6081      0.7975     0.8484     54.4171
05900     0.5741      0.8249     0.8484     55.5645
06000     0.5622      0.8354     0.8484     53.6901
06100     0.6226      0.7996     0.8484     56.4094
06200     0.5386      0.8270     0.8484     56.3044
06300     0.5570      0.8333     0.8484     55.4476
06400     0.5309      0.8481     0.8535     53.8395
06500     0.5487      0.8207     0.8535     54.2977
06600     0.5649      0.8333     0.8535     55.0851
06700     0.5968      0.8207     0.8535     54.5364
06800     0.5446      0.8502     0.8535     54.6758
06900     0.5918      0.8165     0.8535     56.0773
07000     0.5395      0.8376     0.8538     55.4735
07100     0.6085      0.8186     0.8538     55.3609
07200     0.5923      0.8228     0.8538     54.4462
07300     0.5546      0.8397     0.8538     53.4498
07400     0.6008      0.8143     0.8538     54.0189
07500     0.5367      0.8460     0.8538     54.5759
07600     0.6487      0.7911     0.8538     52.7615
07700     0.4913      0.8481     0.8538     52.9348
07800     0.5002      0.8629     0.8538     53.1344
07900     0.5419      0.8354     0.8538     54.4710
08000     0.5658      0.8418     0.8538     55.2899
08100     0.5554      0.8418     0.8538     54.7827
08200     0.6217      0.8207     0.8538     54.1063
08300     0.5323      0.8523     0.8538     55.5116
08400     0.4988      0.8439     0.8538     53.3717
08500     0.4613      0.8586     0.8538     53.8634
08600     0.5774      0.8186     0.8538     53.1959
08700     0.5500      0.8376     0.8538     52.9535
08800     0.5534      0.8439     0.8538     54.8835
08900     0.5358      0.8439     0.8538     55.0655
09000     0.4803      0.8565     0.8538     54.0352
09100     0.4602      0.8608     0.8538     55.1650
09200     0.5849      0.8333     0.8538     53.9634
09300     0.5307      0.8460     0.8538     54.6671
09400     0.6330      0.8228     0.8553     54.9100
09500     0.5005      0.8460     0.8553     54.4625
09600     0.4916      0.8481     0.8553     54.5903
09700     0.5534      0.8333     0.8553     53.6786
09800     0.5346      0.8207     0.8553     54.0101
09900     0.5115      0.8544     0.8553     57.0436
10000     0.5172      0.8439     0.8553     53.8556
10100     0.4638      0.8608     0.8553     53.9187
10200     0.5400      0.8418     0.8553     56.2936
10300     0.5293      0.8122     0.8553     54.6881
10400     0.3833      0.8903     0.8553     55.0717
10500     0.4355      0.8840     0.8553     54.5483
10600     0.3578      0.8903     0.8553     53.2147
10700     0.4818      0.8692     0.8553     56.3051
10800     0.4655      0.8692     0.8553     53.9306
10900     0.5081      0.8439     0.8553     53.7441
11000     0.5195      0.8502     0.8553     53.4540
11100     0.4610      0.8734     0.8553     53.7873
11200     0.4985      0.8418     0.8553     54.7888
11300     0.4861      0.8629     0.8553     53.7409
11400     0.4990      0.8544     0.8553     53.8015
11500     0.4291      0.8819     0.8553     55.9570
11600     0.5216      0.8439     0.8553     56.1821
11700     0.4607      0.8586     0.8553     55.2651
11800     0.4515      0.8755     0.8553     52.9654
11900     0.4467      0.8650     0.8553     53.2734
12000     0.5426      0.8502     0.8553     54.3497
12100     0.5341      0.8481     0.8553     53.9764
12200     0.4516      0.8692     0.8553     53.3672
12300     0.5199      0.8439     0.8553     54.1500
12400     0.3964      0.8903     0.8553     52.7107
12500     0.4700      0.8608     0.8553     54.2220
12600     0.4441      0.8629     0.8553     55.5744
12700     0.4178      0.8924     0.8553     54.2555
12800     0.4966      0.8502     0.8553     54.7144
12900     0.4778      0.8439     0.8553     54.8143
13000     0.4920      0.8565     0.8553     53.2596
13100     0.4784      0.8481     0.8553     53.8684
13200     0.5321      0.8207     0.8553     54.1386
13300     0.5131      0.8333     0.8553     55.0982
13400     0.5199      0.8629     0.8553     54.3416
13500     0.3842      0.8882     0.8553     54.0918
13600     0.5066      0.8439     0.8553     55.3934
13700     0.4975      0.8671     0.8553     55.6073
13800     0.4611      0.8671     0.8553     53.8377
13900     0.4537      0.8734     0.8553     56.2724
14000     0.4820      0.8544     0.8553     55.4357
14100     0.4274      0.8734     0.8553     54.7124
14200     0.4730      0.8734     0.8553     54.0847
14300     0.4731      0.8439     0.8553     54.3436
