Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=6, quant_w=None, random_seed=193012823, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
f95fc086-bbb0-43bb-98de-93b92625cc96
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6261      0.0928     0.1116     12.9436
00100     1.6099      0.4430     0.4838     73.3289
00200     1.0591      0.6624     0.6763     69.2372
00300     0.8837      0.7257     0.7557     68.3034
00400     0.7720      0.7806     0.7829     68.9409
00500     0.6892      0.8080     0.8028     68.0068
00600     0.6006      0.8228     0.8161     68.6013
00700     0.6084      0.8291     0.8283     68.1143
00800     0.5648      0.8418     0.8284     67.5941
00900     0.5181      0.8460     0.8416     67.8113
01000     0.5195      0.8523     0.8438     67.3060
01100     0.4701      0.8776     0.8597     67.4851
01200     0.5041      0.8755     0.8609     68.0776
01300     0.4563      0.8734     0.8609     67.3964
01400     0.5193      0.8565     0.8609     66.6452
01500     0.5232      0.8418     0.8609     67.0389
01600     0.4446      0.8713     0.8609     66.4603
01700     0.5023      0.8544     0.8633     67.2160
01800     0.4085      0.8819     0.8633     65.6596
01900     0.4794      0.8608     0.8665     68.0933
02000     0.4662      0.8586     0.8665     67.4467
02100     0.3918      0.8797     0.8665     66.7304
02200     0.4054      0.8861     0.8665     65.9456
02300     0.4215      0.8755     0.8665     66.1560
02400     0.4243      0.8734     0.8665     66.0609
02500     0.3654      0.9072     0.8690     67.8699
02600     0.4176      0.8734     0.8690     69.2123
02700     0.3544      0.8987     0.8690     67.2968
02800     0.3299      0.9093     0.8690     68.4819
02900     0.4242      0.8861     0.8690     69.2710
03000     0.3941      0.8840     0.8690     70.3436
03100     0.3287      0.9198     0.8700     67.1290
03200     0.3079      0.9135     0.8700     68.6494
03300     0.4317      0.8840     0.8707     66.6580
03400     0.4160      0.8776     0.8722     68.4316
