Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=0, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=6, quant_w=None, random_seed=8627169, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
f8773125-a9c4-4cc3-9ef1-e12b41c45936
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.6533      0.0738     0.0871     9.8239
00100     1.6157      0.5063     0.4838     54.3125
00200     1.0506      0.6751     0.6690     53.6285
00300     0.7943      0.7489     0.7450     53.7521
00400     0.8563      0.7574     0.7707     53.5989
00500     0.7288      0.7806     0.8020     53.0452
00600     0.6497      0.8122     0.8181     54.1924
00700     0.5877      0.8354     0.8181     54.4196
00800     0.5479      0.8354     0.8181     53.6263
00900     0.5248      0.8397     0.8340     53.0758
01000     0.5427      0.8502     0.8340     53.2236
01100     0.5294      0.8481     0.8369     53.8579
01200     0.4459      0.8713     0.8369     53.1149
01300     0.4723      0.8629     0.8454     53.6921
01400     0.4346      0.8650     0.8454     53.6392
01500     0.3927      0.8819     0.8454     53.6222
01600     0.4248      0.8882     0.8486     53.6979
01700     0.4372      0.8776     0.8579     53.6415
01800     0.4777      0.8544     0.8579     53.7339
01900     0.3778      0.8882     0.8680     53.8932
02000     0.4341      0.8713     0.8680     53.1967
02100     0.4854      0.8565     0.8694     53.3375
02200     0.4480      0.8755     0.8694     53.5427
02300     0.4448      0.8713     0.8694     53.1101
02400     0.3891      0.8945     0.8694     53.9023
02500     0.3681      0.8987     0.8694     53.6880
02600     0.4120      0.8776     0.8694     53.7663
02700     0.5077      0.8460     0.8704     53.7398
02800     0.4569      0.8608     0.8704     53.2595
02900     0.4005      0.8945     0.8704     53.5680
03000     0.4111      0.8924     0.8732     53.9180
03100     0.2887      0.9262     0.8732     53.3350
03200     0.3624      0.8945     0.8736     53.8674
03300     0.4335      0.8776     0.8787     53.4522
03400     0.3840      0.8903     0.8787     53.6608
03500     0.3279      0.8966     0.8787     51.8935
03600     0.3325      0.9093     0.8787     52.4870
03700     0.3185      0.9114     0.8787     52.8136
03800     0.3350      0.8903     0.8787     53.5442
03900     0.3538      0.9030     0.8787     53.5130
04000     0.3420      0.9093     0.8787     54.4268
04100     0.3253      0.9072     0.8787     53.9353
04200     0.4068      0.8734     0.8787     53.2470
04300     0.3404      0.9156     0.8787     53.9446
04400     0.3351      0.8966     0.8787     53.7605
04500     0.3598      0.8987     0.8787     53.2464
04600     0.3039      0.9177     0.8787     53.6988
04700     0.3573      0.8987     0.8787     53.4152
04800     0.3147      0.9241     0.8787     53.8525
04900     0.3275      0.9072     0.8803     53.6928
05000     0.3126      0.9262     0.8803     53.4755
05100     0.2953      0.9283     0.8803     54.1938
05200     0.3622      0.9008     0.8803     53.4797
05300     0.2737      0.9304     0.8803     53.1774
05400     0.3093      0.9135     0.8803     54.3682
05500     0.2751      0.9388     0.8803     53.6028
05600     0.3245      0.9114     0.8803     53.8083
05700     0.2861      0.9409     0.8830     53.6806
05800     0.3276      0.9198     0.8830     53.3238
05900     0.3125      0.9241     0.8860     54.2262
06000     0.2595      0.9409     0.8860     54.3705
06100     0.3192      0.9072     0.8860     53.6185
06200     0.3016      0.9156     0.8860     53.6145
06300     0.2296      0.9346     0.8860     53.9805
06400     0.3273      0.9177     0.8860     54.7856
06500     0.3746      0.8966     0.8860     54.0496
06600     0.2494      0.9346     0.8860     54.2188
06700     0.2722      0.9198     0.8860     53.8988
06800     0.3221      0.9219     0.8860     53.5493
06900     0.3262      0.9093     0.8860     54.0396
07000     0.3080      0.9030     0.8860     55.8009
07100     0.2698      0.9241     0.8860     55.1574
07200     0.3206      0.9198     0.8860     55.5817
07300     0.2631      0.9304     0.8860     54.0791
07400     0.3090      0.9177     0.8860     55.1230
07500     0.3037      0.9114     0.8860     55.8251
07600     0.2848      0.9219     0.8860     56.7181
07700     0.2391      0.9325     0.8860     56.2306
07800     0.2857      0.9262     0.8860     56.1473
07900     0.2661      0.9409     0.8860     57.2284
08000     0.2717      0.9198     0.8860     57.2930
08100     0.2731      0.9198     0.8860     55.1658
08200     0.3237      0.9072     0.8860     55.3236
08300     0.2582      0.9409     0.8860     54.9137
08400     0.2818      0.9283     0.8860     55.7567
08500     0.3041      0.9156     0.8860     54.6548
08600     0.3102      0.9135     0.8860     56.0366
08700     0.2435      0.9451     0.8860     55.6614
08800     0.2734      0.9283     0.8860     56.1053
08900     0.3604      0.8903     0.8860     55.2539
09000     0.2700      0.9219     0.8860     55.1602
09100     0.2872      0.9198     0.8860     56.7115
09200     0.2586      0.9388     0.8860     54.4640
09300     0.3112      0.9135     0.8860     55.7164
09400     0.2562      0.9409     0.8860     55.8323
09500     0.2613      0.9304     0.8860     54.6713
09600     0.2705      0.9241     0.8860     56.7311
09700     0.2602      0.9262     0.8862     56.6357
09800     0.2837      0.9219     0.8862     55.6128
09900     0.2727      0.9219     0.8862     56.2144
10000     0.2739      0.9283     0.8862     55.4488
10100     0.2585      0.9367     0.8862     54.7766
10200     0.2709      0.9283     0.8925     56.3559
10300     0.2262      0.9430     0.8925     55.1027
10400     0.2437      0.9346     0.8925     56.8587
10500     0.2334      0.9451     0.8925     56.4914
10600     0.2649      0.9283     0.8925     55.2958
10700     0.2262      0.9388     0.8925     55.7253
10800     0.2573      0.9409     0.8925     56.6122
10900     0.2407      0.9346     0.8925     55.9820
11000     0.2174      0.9451     0.8925     56.5902
11100     0.2925      0.9198     0.8978     55.3037
11200     0.2646      0.9219     0.8978     55.6325
11300     0.2593      0.9346     0.8978     56.8453
11400     0.2226      0.9515     0.8978     54.7918
11500     0.1850      0.9726     0.8978     56.6793
11600     0.2265      0.9367     0.8978     54.8566
11700     0.2901      0.9177     0.8978     56.0569
11800     0.1750      0.9557     0.8978     57.0902
11900     0.2194      0.9409     0.8978     56.6818
12000     0.2093      0.9515     0.8978     55.3884
12100     0.2575      0.9283     0.8978     55.8924
12200     0.2046      0.9430     0.8978     55.5760
12300     0.2302      0.9388     0.8978     55.3788
12400     0.2219      0.9494     0.8978     56.6643
12500     0.2512      0.9346     0.8978     55.4423
12600     0.1986      0.9578     0.8978     55.1097
12700     0.2430      0.9367     0.8978     55.6713
12800     0.2048      0.9494     0.8978     55.6242
12900     0.1975      0.9494     0.8978     57.0558
13000     0.2484      0.9325     0.8978     56.2563
13100     0.2330      0.9473     0.8978     55.8139
13200     0.1962      0.9557     0.8978     55.6066
13300     0.2377      0.9409     0.8978     56.2004
13400     0.1994      0.9536     0.8978     55.4747
13500     0.1949      0.9578     0.8978     54.9948
13600     0.2105      0.9473     0.8978     56.0470
13700     0.2008      0.9557     0.8978     57.1154
13800     0.2797      0.9367     0.8978     55.4964
13900     0.2306      0.9388     0.8978     55.0311
14000     0.1586      0.9662     0.8978     56.4989
14100     0.2152      0.9578     0.8978     56.2907
14200     0.1940      0.9494     0.8978     55.4325
14300     0.2172      0.9325     0.8978     55.0028
14400     0.2284      0.9515     0.8978     56.9719
14500     0.2727      0.9325     0.8978     55.1176
14600     0.1774      0.9557     0.8978     54.7946
14700     0.1759      0.9620     0.8978     54.5608
14800     0.1733      0.9726     0.8978     53.1998
14900     0.1823      0.9684     0.8978     54.0703
15000     0.1937      0.9557     0.8978     54.9437
15100     0.2426      0.9451     0.8978     53.6713
15200     0.2149      0.9473     0.8978     53.5492
15300     0.2407      0.9304     0.8978     53.5033
15400     0.2494      0.9346     0.8978     54.2377
15500     0.1918      0.9557     0.8978     54.0543
15600     0.1515      0.9705     0.8978     53.7867
15700     0.2619      0.9219     0.8978     53.9367
15800     0.1813      0.9620     0.8978     54.3018
15900     0.2148      0.9451     0.8978     54.0450
16000     0.2504      0.9367     0.8978     54.4782
16100     0.2194      0.9451     0.8978     55.4885
16200     0.2216      0.9473     0.8978     54.5760
16300     0.2270      0.9409     0.8978     54.3817
16400     0.2373      0.9388     0.8978     53.6870
16500     0.1714      0.9578     0.8978     53.2902
16600     0.1907      0.9430     0.8978     54.1353
16700     0.1983      0.9388     0.8978     53.7563
16800     0.2308      0.9346     0.8978     54.3908
16900     0.2437      0.9515     0.8978     55.0011
17000     0.1630      0.9705     0.8978     55.0620
17100     0.2472      0.9409     0.8978     55.0711
17200     0.2002      0.9515     0.8978     55.2102
17300     0.2046      0.9536     0.8978     54.3981
17400     0.1961      0.9494     0.8978     55.0822
17500     0.2297      0.9430     0.8978     54.7351
17600     0.2008      0.9515     0.8978     53.9024
17700     0.2174      0.9388     0.8978     53.6272
17800     0.1732      0.9599     0.8978     53.3070
17900     0.1956      0.9557     0.8978     54.2284
18000     0.1788      0.9599     0.8978     53.7521
18100     0.1883      0.9557     0.8978     53.4867
18200     0.2239      0.9451     0.8978     54.2008
18300     0.2177      0.9515     0.8978     53.7950
18400     0.1723      0.9557     0.8978     54.0560
18500     0.1724      0.9578     0.8978     54.3895
18600     0.2445      0.9367     0.8978     53.4313
18700     0.2294      0.9451     0.8978     55.5615
18800     0.1551      0.9705     0.8978     53.4958
18900     0.2611      0.9304     0.8978     53.2504
19000     0.1768      0.9620     0.8978     54.1573
19100     0.1501      0.9768     0.8978     53.4866
19200     0.2258      0.9473     0.8978     54.1460
19300     0.2204      0.9325     0.8978     54.0337
19400     0.1875      0.9557     0.8978     53.4178
19500     0.2610      0.9388     0.8978     54.2209
19600     0.1929      0.9578     0.8978     53.5968
19700     0.2077      0.9451     0.8978     53.6529
19800     0.2428      0.9430     0.8978     54.3192
19900     0.2205      0.9515     0.8978     53.0567
20000     0.1824      0.9473     0.8978     53.8997
20100     0.1884      0.9557     0.8978     53.7714
20199     0.2182      0.9473     0.8978     53.0520
Start finetuning with noise:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     0.3896      0.8945     0.8873     8.7137
00100     0.2114      0.9430     0.8996     53.7005
00200     0.1931      0.9515     0.8996     52.8577
00300     0.2294      0.9367     0.8996     54.6042
00400     0.1965      0.9536     0.9004     54.0641
00500     0.2600      0.9241     0.9004     53.6937
00600     0.2225      0.9409     0.9008     53.4523
00700     0.2589      0.9325     0.9008     53.1152
00800     0.2463      0.9409     0.9008     53.2012
00900     0.1937      0.9620     0.9014     53.3699
01000     0.1911      0.9409     0.9014     54.1429
01100     0.2230      0.9388     0.9064     54.2204
01200     0.1820      0.9557     0.9064     54.1356
01300     0.1971      0.9536     0.9064     53.2204
01400     0.2471      0.9367     0.9064     54.2607
01500     0.1801      0.9473     0.9064     53.3517
01600     0.1998      0.9430     0.9064     53.4543
01700     0.2356      0.9451     0.9064     53.8761
01800     0.2044      0.9451     0.9064     53.6600
01900     0.1825      0.9599     0.9064     54.1581
02000     0.2265      0.9451     0.9064     53.6645
02100     0.1959      0.9494     0.9064     53.2697
02200     0.2422      0.9262     0.9064     54.3762
02300     0.2766      0.9241     0.9064     53.9214
02400     0.2043      0.9409     0.9064     53.9104
02500     0.1955      0.9494     0.9064     53.8311
02600     0.2296      0.9304     0.9064     53.2686
02700     0.2215      0.9388     0.9064     54.0610
02800     0.2161      0.9473     0.9064     53.8351
02900     0.1940      0.9536     0.9064     53.8005
03000     0.2574      0.9241     0.9064     53.5186
03100     0.2026      0.9515     0.9064     53.2837
03200     0.2181      0.9388     0.9064     54.5101
03300     0.2256      0.9557     0.9064     55.1039
03400     0.1996      0.9451     0.9064     52.5257
03500     0.2462      0.9304     0.9064     53.0909
03600     0.1782      0.9620     0.9064     52.8251
03700     0.1821      0.9578     0.9064     52.6298
03800     0.1880      0.9620     0.9071     53.6874
03900     0.2553      0.9367     0.9071     53.1624
04000     0.2614      0.9367     0.9071     53.1923
