Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(batch_size=512, dataloader_num_workers=0, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', epochs=20000, global_beta=1.5, hidden=200, hop_length=320, init_factor=2, learning_rate=0.0005, lr_divide=10000, n_mfcc=40, noise_injection=0, quant_act=None, quant_inp=None, quant_state=None, quant_w=None, sample_rate=16000, testing_percentage=10, validation_percentage=10, validation_size=1000, win_length=400, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
Start Training:
Epoch     Train Loss  Train Acc  Vali. Acc
00000     2.5008      0.0801     0.0800
00100     2.4545      0.0938     0.1320
00200     2.3319      0.2520     0.2760
00300     2.2094      0.3242     0.3510
00400     2.1250      0.3438     0.4010
00500     2.0831      0.4062     0.4270
00600     2.0397      0.4453     0.4520
00700     2.0328      0.4355     0.4670
00800     2.0012      0.4453     0.4780
00900     2.0087      0.4531     0.5100
01000     2.0061      0.4590     0.5100
01100     1.9589      0.5156     0.5540
01200     1.9502      0.5391     0.5710
01300     1.9345      0.5469     0.6240
01400     2.0110      0.5020     0.6250
01500     2.0238      0.4824     0.6250
01600     1.8656      0.6250     0.6480
01700     1.8883      0.5977     0.6510
01800     1.8990      0.6035     0.6510
01900     1.8437      0.6777     0.6630
02000     1.8876      0.6250     0.6830
02100     1.9007      0.6270     0.6940
02200     1.8609      0.6387     0.6940
02300     1.8651      0.6328     0.7070
02400     1.8661      0.6367     0.7090
02500     1.8342      0.7109     0.7230
02600     1.8424      0.6660     0.7230
02700     1.8349      0.6738     0.7240
02800     1.8291      0.6816     0.7240
02900     1.8359      0.6680     0.7240
03000     1.8126      0.6914     0.7350
03100     1.8336      0.6719     0.7350
03200     2.3923      0.2148     0.7390
03300     2.2879      0.2969     0.7390
03400     2.2777      0.2344     0.7390
03500     2.0733      0.3945     0.7390
03600     2.0034      0.4766     0.7390
03700     2.0200      0.4492     0.7390
03800     1.9623      0.5312     0.7390
03900     1.8965      0.5781     0.7390
04000     1.9137      0.5605     0.7390
04100     1.8490      0.6660     0.7390
04200     2.1731      0.3516     0.7390
04300     2.0505      0.4668     0.7390
04400     2.0513      0.3730     0.7390
04500     2.0195      0.4434     0.7390
04600     1.9251      0.5078     0.7390
04700     1.9306      0.5273     0.7390
04800     1.9440      0.5195     0.7390
04900     1.8867      0.5820     0.7390
05000     1.8845      0.5664     0.7390
05100     2.1373      0.4141     0.7390
05200     1.8701      0.5918     0.7390
05300     1.8606      0.6270     0.7390
05400     1.8280      0.6582     0.7390
05500     1.8391      0.6367     0.7390
05600     1.8614      0.5938     0.7390
05700     1.8400      0.6504     0.7390
05800     1.8179      0.6562     0.7390
05900     1.8295      0.6348     0.7390
06000     1.8713      0.5996     0.7390
06100     1.8202      0.6992     0.7390
06200     1.7976      0.7207     0.7390
06300     1.7974      0.7129     0.7390
06400     1.8301      0.7031     0.7650
06500     1.7859      0.7344     0.7650
06600     1.7956      0.7324     0.7790
06700     1.7633      0.7812     0.7900
06800     1.7716      0.7930     0.8080
06900     1.7730      0.7441     0.8080
07000     1.8368      0.6973     0.8080
07100     1.7851      0.7734     0.8080
07200     1.7753      0.7480     0.8080
07300     1.8063      0.6992     0.8080
07400     1.7973      0.7441     0.8080
07500     1.7671      0.7676     0.8080
07600     1.7666      0.7363     0.8080
07700     1.7766      0.7500     0.8080
07800     1.7616      0.7793     0.8080
07900     1.7605      0.7559     0.8080
08000     1.7515      0.7988     0.8080
08100     1.7529      0.7656     0.8080
08200     1.7531      0.7637     0.8080
08300     1.7794      0.7402     0.8080
08400     1.7651      0.7695     0.8080
08500     1.7658      0.7500     0.8080
08600     1.7573      0.7930     0.8080
08700     1.7678      0.7676     0.8080
08800     1.7903      0.7324     0.8080
08900     1.7605      0.7734     0.8080
09000     1.7686      0.7773     0.8080
09100     1.7235      0.8105     0.8080
09200     1.7943      0.7402     0.8100
09300     1.7949      0.7637     0.8160
09400     1.7572      0.8027     0.8170
09500     1.7625      0.7832     0.8340
09600     1.7620      0.7422     0.8340
09700     1.7392      0.8203     0.8340
09800     1.7489      0.8223     0.8340
09900     1.7847      0.7559     0.8340
10000     1.7730      0.7129     0.8340
10100     1.7951      0.7227     0.8340
10200     1.7577      0.7637     0.8340
10300     1.7595      0.7852     0.8340
10400     1.7584      0.7734     0.8340
10500     1.7339      0.8184     0.8340
10600     1.7466      0.7910     0.8340
10700     1.7336      0.7852     0.8340
10800     1.7070      0.8398     0.8440
10900     1.7495      0.7812     0.8510
11000     1.7503      0.8066     0.8510
11100     1.7222      0.8418     0.8510
11200     1.7399      0.7988     0.8510
11300     1.7166      0.8145     0.8510
11400     1.7494      0.8301     0.8510
11500     1.7449      0.7988     0.8510
11600     1.7226      0.8340     0.8590
11700     1.7265      0.8105     0.8590
11800     1.7262      0.8027     0.8590
11900     1.7225      0.8340     0.8590
12000     1.7346      0.8242     0.8590
12100     1.7269      0.8438     0.8590
12200     1.7254      0.8398     0.8600
12300     1.7347      0.8281     0.8600
12400     1.7299      0.8242     0.8600
12500     1.7285      0.8379     0.8600
12600     1.7488      0.8027     0.8600
12700     1.7355      0.7969     0.8600
12800     1.7243      0.8105     0.8600
12900     1.7171      0.8398     0.8600
13000     1.7310      0.8027     0.8600
13100     1.7048      0.8438     0.8600
13200     1.7044      0.8555     0.8700
13300     1.7026      0.8496     0.8700
13400     1.7438      0.8066     0.8700
13500     1.7119      0.8320     0.8700
13600     1.7191      0.8340     0.8700
13700     1.7097      0.8340     0.8700
13800     1.7114      0.8574     0.8700
13900     1.7138      0.8496     0.8700
14000     1.7351      0.7988     0.8700
14100     1.7288      0.8184     0.8700
14200     1.7054      0.8555     0.8780
14300     1.7112      0.8555     0.8780
14400     1.7224      0.8105     0.8780
14500     1.7186      0.8555     0.8780
14600     1.7162      0.8379     0.8780
14700     1.7281      0.8262     0.8780
14800     1.7423      0.7930     0.8780
14900     1.7224      0.8262     0.8780
15000     1.7094      0.8398     0.8780
15100     1.7249      0.8301     0.8780
15200     1.7041      0.8438     0.8780
15300     1.7219      0.8359     0.8780
15400     1.7074      0.8594     0.8780
15500     1.7179      0.8535     0.8780
15600     1.7191      0.8613     0.8780
15700     1.7070      0.8672     0.8780
15800     1.7210      0.8027     0.8780
15900     1.7165      0.8477     0.8780
16000     1.7121      0.8457     0.8780
16100     1.7109      0.8398     0.8780
16200     1.7204      0.8477     0.8780
16300     1.7139      0.8457     0.8780
16400     1.7082      0.8535     0.8780
16500     1.7121      0.8477     0.8780
16600     1.6996      0.8535     0.8780
16700     1.7046      0.8574     0.8780
16800     1.7158      0.8418     0.8780
16900     1.7132      0.8320     0.8780
17000     1.7077      0.8594     0.8780
17100     1.7154      0.8359     0.8780
17200     1.6978      0.8555     0.8780
17300     1.6965      0.8828     0.8780
17400     1.6971      0.8555     0.8780
17500     1.7161      0.8398     0.8780
17600     1.7001      0.8457     0.8780
17700     1.7075      0.8516     0.8780
17800     1.7102      0.8633     0.8780
17900     1.7129      0.8203     0.8780
18000     1.7031      0.8379     0.8780
18100     1.7188      0.8340     0.8780
18200     1.7095      0.8613     0.8780
18300     1.7141      0.8535     0.8780
18400     1.6948      0.8574     0.8780
18500     1.6977      0.8691     0.8780
18600     1.6916      0.8633     0.8780
18700     1.6900      0.8594     0.8780
18800     1.7116      0.8574     0.8780
18900     1.6878      0.8633     0.8780
19000     1.7066      0.8594     0.8780
19100     1.6964      0.8906     0.8810
19200     1.7046      0.8477     0.8810
19300     1.7187      0.8184     0.8810
19400     1.6941      0.8730     0.8810
19500     1.6999      0.8613     0.8810
19600     1.7174      0.8359     0.8810
19700     1.7011      0.8477     0.8810
19800     1.6962      0.8574     0.8810
19900     1.7022      0.8711     0.8810
Start Testing:
Test Accuracy: 0.8120
