Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=2, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
fb103d16-5cc6-4176-977f-a44f90c2b5a9
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.7108      0.1013     0.0894     11.6053
00100     1.7818      0.4641     0.4569     67.1363
00200     1.3334      0.5970     0.6082     67.6885
00300     1.1954      0.6266     0.6793     68.5433
00400     1.0520      0.6646     0.7248     67.1072
00500     0.9457      0.6920     0.7404     67.0528
00600     0.9108      0.7110     0.7470     68.5490
00700     0.8848      0.7110     0.7712     67.3884
00800     0.8660      0.7321     0.7712     65.5206
00900     0.8969      0.6962     0.7712     67.7203
01000     0.7723      0.7595     0.7757     67.0997
01100     0.8578      0.7110     0.7904     66.0518
01200     0.7302      0.7722     0.7904     66.1823
01300     0.8019      0.7511     0.7940     67.5331
01400     0.8785      0.7152     0.8043     67.4023
01500     0.7864      0.7300     0.8043     67.5652
01600     0.8855      0.7236     0.8043     66.9782
01700     0.9023      0.6814     0.8043     66.8621
01800     0.7462      0.7658     0.8043     66.4100
01900     0.7351      0.7890     0.8097     65.4516
02000     0.6259      0.7932     0.8097     69.2565
02100     0.7154      0.7532     0.8097     66.9730
02200     0.7344      0.7553     0.8156     66.9255
02300     0.6769      0.7827     0.8156     66.4483
02400     0.6136      0.8228     0.8156     67.1135
02500     0.6776      0.7722     0.8156     66.6673
02600     0.6719      0.8143     0.8156     66.8650
02700     0.7161      0.7743     0.8156     68.1958
02800     0.6611      0.7996     0.8159     67.5333
02900     0.7073      0.7743     0.8159     67.1830
03000     0.7839      0.7553     0.8159     67.1546
03100     0.7327      0.7616     0.8174     67.2956
03200     0.7119      0.7595     0.8174     66.8924
03300     0.6492      0.7954     0.8174     67.1614
03400     0.6489      0.7827     0.8174     67.4331
03500     0.7894      0.7363     0.8189     65.7507
03600     0.6490      0.7932     0.8189     68.9291
03700     0.5792      0.8228     0.8220     66.7612
03800     0.6736      0.7848     0.8220     66.7342
03900     0.6655      0.7975     0.8220     66.7103
04000     0.5491      0.8333     0.8220     67.9204
04100     0.6029      0.8017     0.8330     67.5189
04200     0.6154      0.8017     0.8330     67.5077
04300     0.6460      0.7806     0.8330     66.7613
04400     0.6564      0.7932     0.8330     66.3420
04500     0.6026      0.8101     0.8330     68.3975
04600     0.7173      0.7658     0.8334     66.7627
04700     0.6531      0.7996     0.8334     66.5311
04800     0.6728      0.8038     0.8334     67.2309
04900     0.5976      0.8333     0.8334     66.4939
05000     0.7337      0.7658     0.8334     68.4678
05100     0.6722      0.7743     0.8334     66.9512
05200     0.6813      0.7890     0.8334     67.5487
05300     0.6748      0.7954     0.8334     67.1044
05400     0.6519      0.7975     0.8334     67.4866
05500     0.5812      0.8312     0.8334     66.6878
05600     0.6108      0.8207     0.8334     67.9881
05700     0.6577      0.7911     0.8334     65.8372
05800     0.6202      0.8165     0.8334     66.1566
05900     0.5790      0.8270     0.8334     68.0825
06000     0.6590      0.8059     0.8334     67.5551
06100     0.5543      0.8270     0.8334     66.9844
06200     0.6277      0.7890     0.8334     68.1887
06300     0.6127      0.8143     0.8334     66.9878
06400     0.5890      0.8122     0.8465     66.4604
06500     0.5892      0.8186     0.8465     67.0465
06600     0.5379      0.8333     0.8465     68.6937
06700     0.5648      0.8207     0.8465     68.7059
06800     0.6413      0.8017     0.8465     66.8426
06900     0.6314      0.8038     0.8465     66.7496
07000     0.6589      0.7848     0.8465     68.4747
07100     0.6095      0.8333     0.8465     67.3318
07200     0.5672      0.8354     0.8465     66.6692
07300     0.5582      0.8228     0.8465     68.0480
07400     0.6223      0.8059     0.8465     67.7553
07500     0.6115      0.8038     0.8465     69.2544
07600     0.5738      0.8291     0.8465     66.9922
07700     0.5957      0.8101     0.8465     66.2043
07800     0.5624      0.8122     0.8465     66.0670
07900     0.6317      0.7954     0.8465     68.4309
08000     0.5770      0.8312     0.8465     68.8656
08100     0.5275      0.8376     0.8465     68.4490
08200     0.6130      0.8312     0.8465     66.9637
08300     0.5745      0.8122     0.8465     68.3287
08400     0.6115      0.8017     0.8465     66.5117
08500     0.5874      0.8418     0.8465     67.2663
08600     0.6043      0.7996     0.8465     67.5661
08700     0.5333      0.8270     0.8465     67.8288
08800     0.6081      0.7954     0.8465     67.8670
08900     0.5231      0.8291     0.8465     68.3887
09000     0.5430      0.8439     0.8466     67.4831
09100     0.5393      0.8291     0.8466     66.9652
09200     0.6099      0.8186     0.8466     66.5817
09300     0.6046      0.8228     0.8507     68.1708
09400     0.6498      0.7890     0.8507     67.0928
09500     0.5732      0.8376     0.8507     66.2469
09600     0.5140      0.8354     0.8507     66.5788
09700     0.6098      0.8143     0.8507     68.3083
09800     0.5540      0.8270     0.8507     67.9840
09900     0.5381      0.8291     0.8507     67.5253
10000     0.4821      0.8650     0.8507     66.7692
10100     0.4748      0.8439     0.8507     68.3844
10200     0.5147      0.8523     0.8507     67.3423
10300     0.5914      0.8038     0.8507     67.0023
10400     0.4747      0.8544     0.8507     68.9507
10500     0.4941      0.8586     0.8507     65.9516
10600     0.4606      0.8565     0.8507     66.1001
10700     0.5018      0.8333     0.8507     67.3799
10800     0.5250      0.8418     0.8523     67.3504
10900     0.4930      0.8502     0.8523     66.1855
11000     0.5469      0.8228     0.8523     66.3635
11100     0.4780      0.8565     0.8523     66.7544
11200     0.5438      0.8228     0.8523     66.3048
11300     0.5427      0.8291     0.8523     67.1560
11400     0.5358      0.8291     0.8523     67.5729
11500     0.5817      0.8101     0.8523     66.5525
11600     0.5186      0.8418     0.8523     65.9334
11700     0.5045      0.8523     0.8523     68.1513
11800     0.5125      0.8333     0.8523     67.1813
11900     0.4283      0.8819     0.8523     66.4024
12000     0.5030      0.8397     0.8523     67.5357
12100     0.4739      0.8586     0.8523     66.9546
12200     0.4710      0.8671     0.8523     69.0482
12300     0.4439      0.8734     0.8523     68.5291
12400     0.4939      0.8439     0.8523     67.5481
12500     0.5288      0.8502     0.8523     67.3004
12600     0.4912      0.8565     0.8523     66.9674
12700     0.4967      0.8312     0.8523     68.8589
12800     0.4985      0.8376     0.8523     67.9031
12900     0.5146      0.8333     0.8523     67.5022
13000     0.4812      0.8418     0.8523     67.2312
13100     0.4814      0.8671     0.8523     67.7633
13200     0.4882      0.8376     0.8523     67.6461
13300     0.5410      0.8376     0.8523     66.9664
13400     0.5644      0.8207     0.8523     66.8261
13500     0.4393      0.8734     0.8523     67.8754
13600     0.4661      0.8544     0.8523     67.2441
13700     0.5235      0.8291     0.8523     67.4538
13800     0.4746      0.8502     0.8523     66.4017
13900     0.4009      0.8797     0.8523     67.3315
14000     0.5204      0.8544     0.8523     68.6074
14100     0.5155      0.8460     0.8523     67.8177
14200     0.4148      0.8734     0.8523     67.7720
14300     0.5872      0.8080     0.8523     67.2542
14400     0.5113      0.8397     0.8523     68.4830
14500     0.5051      0.8397     0.8523     67.8945
14600     0.5068      0.8439     0.8523     67.3787
14700     0.5247      0.8502     0.8523     66.5305
14800     0.4685      0.8291     0.8523     67.6943
14900     0.4595      0.8586     0.8523     68.6632
15000     0.4602      0.8544     0.8523     67.4276
15100     0.3832      0.8734     0.8523     66.8031
15200     0.5264      0.8228     0.8523     67.7750
15300     0.4867      0.8523     0.8523     66.4460
15400     0.4444      0.8671     0.8523     67.0900
15500     0.5116      0.8376     0.8523     67.0291
15600     0.5044      0.8418     0.8523     67.2944
15700     0.5304      0.8397     0.8523     67.2804
15800     0.5129      0.8460     0.8523     68.2073
15900     0.4657      0.8439     0.8523     66.3076
16000     0.5286      0.8376     0.8523     66.7424
16100     0.4621      0.8523     0.8523     68.4888
16200     0.5401      0.8418     0.8523     65.9107
16300     0.4722      0.8671     0.8523     67.1078
16400     0.5320      0.8143     0.8523     66.7785
16500     0.4863      0.8249     0.8523     69.1680
16600     0.5320      0.8376     0.8523     67.5151
16700     0.4683      0.8586     0.8523     67.0936
16800     0.4378      0.8586     0.8523     65.4369
16900     0.5292      0.8397     0.8523     65.8239
17000     0.4479      0.8713     0.8523     67.3558
17100     0.4433      0.8565     0.8523     67.7207
17200     0.4804      0.8481     0.8523     69.3554
17300     0.4873      0.8397     0.8523     66.6499
17400     0.4531      0.8671     0.8523     67.2515
17500     0.4846      0.8608     0.8523     67.7306
17600     0.4622      0.8586     0.8523     67.8398
17700     0.5277      0.8249     0.8523     65.4508
17800     0.4741      0.8523     0.8523     66.9704
17900     0.4956      0.8544     0.8523     66.8440
18000     0.4043      0.8755     0.8523     68.1364
18100     0.4322      0.8734     0.8523     66.4774
18200     0.4780      0.8523     0.8523     68.0268
18300     0.5262      0.8397     0.8523     65.5746
18400     0.4534      0.8629     0.8523     67.0484
18500     0.4559      0.8481     0.8523     66.4196
18600     0.5575      0.8228     0.8672     68.2394
18700     0.4812      0.8608     0.8672     67.7074
18800     0.4500      0.8650     0.8672     68.6314
18900     0.5055      0.8397     0.8672     66.6578
19000     0.3906      0.8882     0.8672     67.2274
19100     0.4730      0.8523     0.8672     68.2943
19200     0.4304      0.8797     0.8672     68.3200
19300     0.4754      0.8544     0.8672     66.6007
19400     0.4049      0.8903     0.8672     65.5246
19500     0.4744      0.8734     0.8672     66.9860
19600     0.4710      0.8565     0.8672     67.1671
19700     0.5319      0.8270     0.8672     65.9047
19800     0.4738      0.8629     0.8672     65.3992
19900     0.5404      0.8354     0.8672     70.0049
20000     0.4760      0.8460     0.8672     69.3670
20100     0.3777      0.8987     0.8672     67.4364
20199     0.4658      0.8671     0.8672     69.6588
Start finetuning with noise:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     0.8291      0.7679     0.7895     11.3674
00100     0.5318      0.8291     0.8649     67.1003
00200     0.4703      0.8692     0.8688     66.9253
00300     0.4762      0.8418     0.8688     66.5847
00400     0.5061      0.8544     0.8726     66.7725
00500     0.4793      0.8418     0.8726     67.2273
00600     0.4613      0.8502     0.8726     68.3854
00700     0.4643      0.8397     0.8734     68.2196
00800     0.4853      0.8481     0.8734     68.1053
00900     0.4813      0.8544     0.8786     66.8320
01000     0.4467      0.8734     0.8786     69.5084
01100     0.4606      0.8565     0.8786     66.9609
01200     0.4197      0.8608     0.8786     69.3682
01300     0.4926      0.8565     0.8786     67.3557
01400     0.5473      0.8249     0.8786     66.6528
01500     0.4900      0.8502     0.8786     68.0517
01600     0.4828      0.8418     0.8786     68.6354
01700     0.4647      0.8608     0.8786     66.6767
01800     0.4661      0.8692     0.8786     66.1436
01900     0.5035      0.8544     0.8786     67.0870
02000     0.5545      0.8143     0.8786     67.6405
02100     0.4651      0.8734     0.8786     69.6095
02200     0.4461      0.8565     0.8786     67.0323
02300     0.4174      0.8819     0.8786     68.3568
02400     0.4117      0.8819     0.8786     69.0127
02500     0.4099      0.8861     0.8786     65.8853
02600     0.4851      0.8523     0.8786     66.5625
02700     0.5074      0.8460     0.8786     67.5752
02800     0.4310      0.8671     0.8786     66.7669
02900     0.5052      0.8523     0.8786     66.8152
03000     0.4446      0.8502     0.8786     66.7883
03100     0.4586      0.8586     0.8786     67.0763
03200     0.5004      0.8418     0.8786     68.1832
03300     0.4848      0.8629     0.8786     67.4145
03400     0.5120      0.8460     0.8786     65.4462
03500     0.4395      0.8586     0.8786     69.7085
03600     0.4887      0.8544     0.8786     66.5997
03700     0.4680      0.8692     0.8786     67.3032
03800     0.4670      0.8629     0.8786     65.9669
03900     0.4284      0.8671     0.8786     67.3166
04000     0.4417      0.8608     0.8786     67.2914
04100     0.4762      0.8523     0.8786     66.5113
04200     0.4743      0.8608     0.8786     67.0031
04300     0.4838      0.8376     0.8786     67.5813
04400     0.4589      0.8586     0.8786     68.7441
04500     0.4935      0.8544     0.8786     66.8210
04600     0.4932      0.8502     0.8786     68.7387
04700     0.4467      0.8586     0.8786     66.6252
04800     0.5093      0.8544     0.8787     66.1023
04900     0.4759      0.8650     0.8787     66.9003
05000     0.5047      0.8354     0.8787     66.9439
05100     0.5693      0.8228     0.8787     65.8964
05200     0.4995      0.8376     0.8787     66.0990
05300     0.5220      0.8481     0.8787     68.7599
05400     0.4691      0.8544     0.8787     68.8981
05500     0.4758      0.8629     0.8787     68.0943
05600     0.4888      0.8460     0.8787     67.2667
05700     0.4795      0.8629     0.8787     67.7041
05800     0.5065      0.8291     0.8787     69.2401
05900     0.4237      0.8671     0.8787     68.4900
06000     0.4380      0.8692     0.8787     65.7701
06100     0.4430      0.8629     0.8787     68.8887
06200     0.4717      0.8439     0.8787     67.5865
06300     0.4869      0.8586     0.8787     66.0180
06400     0.4319      0.8692     0.8787     67.4081
06500     0.4312      0.8734     0.8787     66.2023
06600     0.5490      0.8122     0.8787     66.5664
06700     0.4841      0.8502     0.8787     68.3632
06800     0.4573      0.8523     0.8824     65.4564
06900     0.4696      0.8692     0.8824     68.3413
07000     0.4884      0.8523     0.8824     67.8706
07100     0.4704      0.8544     0.8824     65.5368
07200     0.4871      0.8586     0.8824     66.1891
07300     0.4433      0.8755     0.8824     66.6112
07400     0.4973      0.8291     0.8824     67.7796
07500     0.4407      0.8755     0.8824     67.2366
07600     0.4974      0.8671     0.8824     68.0354
07700     0.4657      0.8629     0.8824     69.0832
07800     0.4846      0.8586     0.8824     66.5726
07900     0.5264      0.8228     0.8824     69.8067
08000     0.5386      0.8354     0.8824     68.0964
08100     0.4663      0.8692     0.8824     68.2847
08200     0.4315      0.8523     0.8824     66.7251
08300     0.4744      0.8692     0.8824     68.3049
08400     0.5020      0.8481     0.8824     68.6793
08500     0.5547      0.8207     0.8824     67.6274
08600     0.4782      0.8629     0.8824     67.2303
08700     0.5074      0.8312     0.8824     67.0855
08800     0.5075      0.8354     0.8824     68.9800
08900     0.4454      0.8840     0.8824     67.9324
09000     0.4784      0.8629     0.8824     70.3262
09100     0.4801      0.8544     0.8824     68.6329
09200     0.4638      0.8608     0.8824     67.6709
09300     0.4665      0.8502     0.8824     67.6545
09400     0.4742      0.8650     0.8824     67.7803
09500     0.4639      0.8418     0.8824     67.1877
09600     0.4346      0.8544     0.8824     67.3709
09700     0.4921      0.8291     0.8824     66.9624
09800     0.4553      0.8671     0.8824     67.2908
09900     0.4461      0.8481     0.8824     67.7267
Start testing:
Test Accuracy: 0.8729
