Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=2, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
b7346743-150d-43b6-ab6c-c12f517ea243
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.9130      0.0844     0.0932     10.4724
00100     1.9105      0.3924     0.3770     68.4052
00200     1.4395      0.5316     0.5953     69.2707
00300     1.1500      0.6224     0.6717     71.7268
00400     1.1409      0.6308     0.7163     70.3464
00500     0.9345      0.7131     0.7487     70.1850
00600     0.9222      0.6920     0.7615     71.1679
00700     0.9724      0.6878     0.7615     71.2888
00800     0.9063      0.7131     0.7708     69.7176
00900     0.8452      0.7321     0.7750     69.8515
01000     0.7786      0.7532     0.7818     69.7681
01100     0.7488      0.7574     0.7902     70.7294
01200     0.7800      0.7426     0.7998     69.9403
01300     0.7606      0.7637     0.7998     70.9403
01400     0.7527      0.7595     0.7998     70.7237
01500     0.7403      0.7848     0.7998     70.2346
01600     0.7148      0.7658     0.7998     70.3506
01700     0.7609      0.7574     0.8099     69.0828
01800     0.7451      0.7342     0.8099     69.4626
01900     0.7552      0.7637     0.8125     69.1107
02000     0.8038      0.7658     0.8125     69.0854
02100     0.7679      0.7468     0.8125     69.3613
02200     0.7503      0.7511     0.8125     69.7246
02300     0.6886      0.7932     0.8232     69.0803
02400     0.8096      0.7574     0.8234     69.8043
02500     0.6885      0.7932     0.8234     68.9777
02600     0.7052      0.7869     0.8234     70.1676
02700     0.6983      0.7574     0.8234     69.7069
02800     0.7135      0.7785     0.8257     68.7242
02900     0.7426      0.7743     0.8260     69.3451
03000     0.6043      0.8080     0.8260     69.3188
03100     0.8183      0.7468     0.8260     69.0323
03200     0.6323      0.8017     0.8260     70.0812
03300     0.5912      0.8186     0.8260     69.0456
03400     0.6290      0.8101     0.8260     69.1951
03500     0.7815      0.7405     0.8262     70.0639
03600     0.7250      0.7595     0.8262     69.4667
03700     0.6153      0.7954     0.8262     69.5580
03800     0.6240      0.8017     0.8262     69.1555
03900     0.6230      0.8165     0.8303     69.3278
04000     0.6979      0.7764     0.8303     69.5619
04100     0.6372      0.8143     0.8348     68.6633
04200     0.7246      0.7869     0.8348     69.0891
04300     0.6022      0.8312     0.8348     69.3443
04400     0.6195      0.8122     0.8348     69.8830
04500     0.5386      0.8207     0.8348     69.1816
04600     0.7266      0.7722     0.8348     68.9391
04700     0.6526      0.7954     0.8348     69.1106
04800     0.6557      0.7996     0.8348     70.1368
04900     0.6766      0.8165     0.8348     69.6881
05000     0.5854      0.8059     0.8348     68.9693
05100     0.6258      0.7932     0.8352     69.4788
05200     0.6017      0.7911     0.8352     69.2491
05300     0.6857      0.7616     0.8352     69.1127
05400     0.5916      0.8207     0.8352     69.5621
05500     0.6709      0.7975     0.8352     69.4513
05600     0.6478      0.7932     0.8366     69.7844
05700     0.6083      0.7975     0.8366     68.8428
05800     0.6088      0.8038     0.8366     69.3258
05900     0.6424      0.7869     0.8366     69.3353
06000     0.5461      0.8228     0.8400     69.1573
06100     0.5586      0.8186     0.8400     69.4480
06200     0.6024      0.8143     0.8400     69.2950
06300     0.6066      0.8207     0.8400     69.4975
