Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
100de140-8ae8-4476-be09-20f4a60f25f3
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     3.0148      0.0928     0.0770     10.2033
00100     1.7276      0.4494     0.4722     54.5282
00200     1.2607      0.5865     0.6189     54.0980
00300     1.1106      0.6519     0.6927     55.2025
00400     1.1098      0.6371     0.7250     55.0420
00500     0.8245      0.7489     0.7449     54.5041
00600     0.8538      0.7489     0.7580     55.1790
00700     0.7820      0.7384     0.7715     54.6563
00800     0.8937      0.7173     0.7818     55.1497
00900     0.7962      0.7173     0.7818     54.6282
01000     0.7388      0.7764     0.7980     55.0221
01100     0.7700      0.7447     0.8001     55.3642
01200     0.6572      0.7827     0.8054     54.6541
01300     0.7258      0.7848     0.8054     54.8303
01400     0.6968      0.7700     0.8067     54.7191
01500     0.7578      0.7700     0.8157     54.3246
01600     0.7433      0.7743     0.8157     55.5732
01700     0.6572      0.7764     0.8157     54.4443
01800     0.7116      0.7785     0.8157     55.0138
01900     0.6948      0.7722     0.8157     54.4077
02000     0.5944      0.8249     0.8164     54.3407
02100     0.6842      0.7806     0.8164     55.1598
02200     0.6427      0.7975     0.8164     55.2351
02300     0.6603      0.7932     0.8164     54.4654
02400     0.6925      0.7743     0.8164     55.2447
02500     0.6494      0.7764     0.8164     54.6267
02600     0.6686      0.8101     0.8300     55.2848
02700     0.6553      0.8101     0.8300     55.0750
02800     0.6535      0.8017     0.8300     54.9914
02900     0.6481      0.7785     0.8300     54.8593
03000     0.6090      0.8080     0.8300     54.9036
03100     0.6121      0.8228     0.8300     54.6051
03200     0.6647      0.7932     0.8300     54.5581
03300     0.5903      0.8038     0.8300     54.7475
03400     0.5673      0.8165     0.8373     55.0214
03500     0.5771      0.7996     0.8373     54.9127
03600     0.6015      0.8101     0.8373     54.5363
03700     0.5455      0.8249     0.8421     54.8906
03800     0.6367      0.8333     0.8421     55.1943
03900     0.5419      0.8460     0.8421     54.7832
04000     0.5749      0.8122     0.8421     55.1866
04100     0.6632      0.7932     0.8421     54.7558
04200     0.6281      0.7932     0.8421     54.9678
04300     0.5884      0.8249     0.8421     55.1606
04400     0.6189      0.8143     0.8421     54.7351
04500     0.5589      0.8143     0.8421     55.3152
04600     0.5754      0.8270     0.8421     55.3542
04700     0.5908      0.8186     0.8421     54.6401
04800     0.5221      0.8460     0.8421     55.6962
04900     0.6043      0.7848     0.8517     55.0565
05000     0.5534      0.8354     0.8517     55.2918
05100     0.5537      0.8249     0.8517     55.1806
05200     0.6276      0.8059     0.8517     54.8543
05300     0.4996      0.8502     0.8517     54.7713
05400     0.6637      0.7869     0.8517     56.0468
05500     0.5875      0.8312     0.8517     55.7039
05600     0.5868      0.8143     0.8517     55.4926
05700     0.5733      0.8312     0.8517     54.7900
05800     0.4757      0.8586     0.8517     55.0362
05900     0.5603      0.8249     0.8517     55.7037
06000     0.5389      0.8312     0.8517     55.1558
06100     0.5957      0.8101     0.8517     54.8001
06200     0.4901      0.8523     0.8517     55.3405
06300     0.4894      0.8418     0.8517     54.3154
06400     0.5631      0.8186     0.8517     55.4864
06500     0.5435      0.8312     0.8517     54.4610
06600     0.5785      0.8101     0.8517     54.8075
06700     0.5068      0.8397     0.8526     54.8000
06800     0.5304      0.8354     0.8526     54.5091
06900     0.4546      0.8544     0.8526     55.3520
07000     0.5203      0.8354     0.8526     55.1339
07100     0.5278      0.8270     0.8526     54.7690
07200     0.5679      0.8249     0.8536     55.4579
07300     0.5078      0.8312     0.8536     54.8471
07400     0.5101      0.8397     0.8536     54.9658
07500     0.5874      0.8059     0.8545     54.9712
07600     0.5293      0.8312     0.8545     54.8839
07700     0.4826      0.8650     0.8545     55.1292
07800     0.5332      0.8270     0.8545     55.5840
07900     0.5970      0.7848     0.8545     54.5994
08000     0.5276      0.8228     0.8545     55.1850
08100     0.4708      0.8608     0.8614     55.1017
08200     0.5459      0.8186     0.8614     54.5984
08300     0.5433      0.8291     0.8614     54.8983
08400     0.5160      0.8249     0.8614     55.2513
08500     0.5189      0.8270     0.8614     56.2009
08600     0.5339      0.8481     0.8614     54.9349
08700     0.5012      0.8586     0.8614     55.0319
08800     0.4389      0.8481     0.8614     55.6595
08900     0.5083      0.8376     0.8614     54.9570
09000     0.4559      0.8502     0.8614     55.0631
09100     0.5940      0.8143     0.8614     55.5257
09200     0.5226      0.8291     0.8614     54.4884
09300     0.5988      0.8143     0.8614     56.4993
09400     0.5289      0.8354     0.8614     54.7642
09500     0.4372      0.8692     0.8614     55.3185
09600     0.4761      0.8565     0.8614     55.3858
09700     0.4879      0.8418     0.8636     55.4692
09800     0.4953      0.8439     0.8636     54.9821
09900     0.5130      0.8439     0.8636     56.1173
10000     0.4001      0.8755     0.8636     54.4820
10100     0.4240      0.8586     0.8636     55.1103
10200     0.3972      0.8819     0.8636     54.4093
10300     0.4301      0.8671     0.8636     55.2222
10400     0.4023      0.8776     0.8636     55.5590
10500     0.4954      0.8376     0.8636     54.9282
10600     0.4529      0.8671     0.8636     54.8468
10700     0.4454      0.8397     0.8636     54.9917
10800     0.4649      0.8481     0.8636     54.5829
10900     0.5090      0.8228     0.8636     55.7401
11000     0.4061      0.8776     0.8636     54.5919
11100     0.4968      0.8270     0.8636     54.6458
11200     0.4409      0.8692     0.8756     55.1163
11300     0.4077      0.8523     0.8756     55.4301
