Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=6, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=8627169, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
c94038cc-f158-415c-bd42-f149c31c0c21
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     3.5173      0.0928     0.0715     10.2436
00100     1.7382      0.4367     0.4320     56.3085
00200     1.3768      0.5359     0.5933     54.7179
00300     1.1673      0.6224     0.6799     55.1215
00400     0.9458      0.6941     0.7009     54.3951
00500     0.8998      0.7131     0.7599     55.1019
00600     0.7704      0.7553     0.7701     56.7139
00700     0.7957      0.7363     0.7701     54.6713
00800     0.8804      0.7257     0.7817     56.7729
00900     0.7895      0.7637     0.7915     54.7545
01000     0.8169      0.7300     0.7915     54.2650
01100     0.7743      0.7595     0.8034     55.2232
01200     0.7963      0.7489     0.8077     54.9755
01300     0.7658      0.7405     0.8077     54.6057
01400     0.8637      0.7321     0.8194     55.7621
01500     0.6616      0.7996     0.8194     54.3227
01600     0.7823      0.7511     0.8194     55.4025
01700     0.6910      0.7616     0.8194     55.2335
01800     0.6423      0.8017     0.8194     55.7003
01900     0.6182      0.7954     0.8194     55.0464
02000     0.7356      0.7553     0.8194     55.0112
02100     0.6828      0.7869     0.8194     55.2572
02200     0.6303      0.7932     0.8234     55.3358
02300     0.6303      0.8143     0.8234     54.9765
02400     0.6460      0.7911     0.8234     55.3683
02500     0.5793      0.8017     0.8234     54.5560
02600     0.5848      0.8059     0.8244     54.5374
02700     0.6484      0.7932     0.8274     55.2558
02800     0.6813      0.7722     0.8309     54.8410
02900     0.6186      0.8080     0.8327     54.4946
03000     0.6029      0.7911     0.8340     54.9941
03100     0.5822      0.8143     0.8340     54.2708
03200     0.5695      0.8186     0.8340     55.5921
03300     0.6103      0.8059     0.8371     54.4187
03400     0.5662      0.8143     0.8371     54.2889
03500     0.5710      0.8376     0.8427     55.1208
03600     0.6655      0.8059     0.8427     54.6457
03700     0.5541      0.8333     0.8427     55.2638
03800     0.6070      0.7932     0.8427     55.6480
03900     0.5391      0.8249     0.8427     54.5623
04000     0.5880      0.8165     0.8427     55.7527
04100     0.7066      0.7658     0.8431     55.0510
04200     0.5988      0.8017     0.8431     55.1741
04300     0.5918      0.8038     0.8431     55.4532
04400     0.6311      0.8080     0.8431     55.3859
04500     0.6406      0.8101     0.8431     55.2466
04600     0.5027      0.8397     0.8431     55.5768
04700     0.6099      0.8186     0.8431     54.8691
04800     0.5391      0.8291     0.8431     55.8426
04900     0.5474      0.8291     0.8448     55.4058
05000     0.6501      0.7996     0.8448     54.7589
05100     0.5499      0.8143     0.8448     55.3939
05200     0.5286      0.8397     0.8448     54.9283
05300     0.5172      0.8291     0.8448     54.6480
05400     0.5334      0.8376     0.8448     55.3845
05500     0.4606      0.8671     0.8448     54.6978
05600     0.4997      0.8502     0.8474     55.4542
05700     0.4966      0.8418     0.8474     54.8424
05800     0.5153      0.8354     0.8474     55.2504
05900     0.5831      0.7996     0.8474     55.0587
06000     0.5691      0.8228     0.8474     54.1735
06100     0.4652      0.8397     0.8474     54.9119
06200     0.5043      0.8481     0.8531     55.4783
06300     0.4994      0.8418     0.8531     54.7317
06400     0.4888      0.8418     0.8531     55.8845
06500     0.5351      0.8481     0.8531     55.1431
06600     0.4941      0.8333     0.8531     55.3461
06700     0.4482      0.8523     0.8531     55.1900
06800     0.4268      0.8671     0.8531     55.4376
06900     0.5002      0.8376     0.8531     55.1666
07000     0.4871      0.8523     0.8531     56.4460
07100     0.4704      0.8586     0.8531     55.3558
07200     0.5089      0.8502     0.8531     55.8567
