Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=4, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
dec90c92-9ee9-4b21-aae4-463268e3ca8e
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.9872      0.0696     0.0730     10.2954
00100     2.5443      0.0949     0.0814     56.0738
00200     2.4868      0.0823     0.0814     55.0736
00300     2.4354      0.0781     0.0816     56.3998
00400     2.4322      0.0949     0.0816     54.2946
00500     2.4329      0.0675     0.0832     55.2443
00600     2.4335      0.0738     0.0832     54.8432
00700     2.4181      0.0591     0.0832     54.6504
00800     2.4236      0.0886     0.0832     55.4549
00900     2.4255      0.0823     0.0832     54.9641
01000     2.4059      0.0928     0.0837     55.4915
01100     2.2542      0.1603     0.1968     55.1610
01200     2.0486      0.2468     0.2450     54.9466
01300     1.9355      0.3143     0.3563     54.5256
01400     1.5760      0.4409     0.4525     55.4226
01500     1.4082      0.5021     0.5457     54.7285
01600     1.1844      0.5928     0.6218     55.6919
01700     1.1605      0.6181     0.6437     54.1458
01800     1.1588      0.6055     0.6630     56.4668
01900     1.0054      0.6751     0.6891     56.8585
02000     1.0055      0.6519     0.6954     55.3921
02100     1.0482      0.6287     0.7048     56.7519
02200     0.9385      0.6878     0.7048     55.1640
02300     0.9525      0.6814     0.7048     54.7356
02400     1.0714      0.6519     0.7126     54.2979
02500     0.9076      0.6751     0.7126     54.4247
02600     0.8870      0.6899     0.7355     54.3939
02700     0.9759      0.6688     0.7526     55.5690
02800     0.9420      0.6793     0.7526     55.1722
02900     0.9636      0.6920     0.7555     56.2733
03000     0.8699      0.7236     0.7654     55.0851
