Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=5, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
b88d55ec-3fa3-421b-89a2-d5804bdd4f8d
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     3.0877      0.0738     0.0775     10.5254
00100     2.0325      0.3291     0.3286     55.1574
00200     1.4842      0.5190     0.5563     54.7316
00300     1.1913      0.5992     0.6429     54.7200
00400     1.1519      0.6181     0.6936     54.4472
00500     0.9070      0.7215     0.7306     54.0356
00600     0.8447      0.7173     0.7306     54.5757
00700     0.8553      0.7110     0.7576     53.6344
00800     0.9788      0.7004     0.7794     54.8394
00900     0.8765      0.7363     0.7794     53.8584
01000     0.7592      0.7658     0.7794     54.4247
01100     0.8617      0.7215     0.8017     54.8930
01200     0.7195      0.7700     0.8017     53.7535
01300     0.7895      0.7447     0.8017     54.1692
01400     0.7213      0.7616     0.8017     55.2295
01500     0.8390      0.7363     0.8089     54.2134
01600     0.7404      0.7532     0.8192     54.6131
01700     0.6819      0.7764     0.8192     54.4114
01800     0.7488      0.7616     0.8192     53.9636
01900     0.7664      0.7574     0.8192     54.3280
02000     0.6194      0.8249     0.8203     54.2957
02100     0.7034      0.7616     0.8213     53.6925
02200     0.7261      0.7553     0.8213     54.1225
02300     0.6797      0.7911     0.8213     54.4353
02400     0.7369      0.7658     0.8213     54.5774
02500     0.6643      0.7806     0.8213     53.9517
02600     0.6851      0.7764     0.8288     54.2387
02700     0.6839      0.7869     0.8288     54.3903
02800     0.6437      0.7785     0.8288     54.1285
02900     0.7291      0.7553     0.8288     54.1447
03000     0.6661      0.7890     0.8288     54.2986
03100     0.6879      0.7975     0.8288     53.8983
03200     0.6256      0.8207     0.8288     55.1504
03300     0.6174      0.7827     0.8334     54.3960
03400     0.6085      0.8165     0.8334     54.5455
03500     0.5840      0.7996     0.8334     54.7634
03600     0.5985      0.8291     0.8380     54.2781
03700     0.5817      0.8122     0.8380     54.2941
03800     0.6761      0.8165     0.8448     54.3904
03900     0.5825      0.8249     0.8448     54.1618
04000     0.6933      0.7806     0.8448     54.3771
04100     0.6667      0.7890     0.8448     54.4105
04200     0.6629      0.7806     0.8448     54.1633
