Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=8, quant_actNM=8, quant_inp=4, quant_w=None, random_seed=235899598, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
111e7575-569f-4506-a5c0-ab518cdfba8e
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     3.0216      0.0844     0.0709     11.7994
00100     1.6241      0.4852     0.5049     71.7319
00200     1.2179      0.5928     0.6298     74.5184
00300     1.0642      0.6793     0.7046     75.8108
00400     1.0193      0.6793     0.7253     73.5503
00500     0.8317      0.7637     0.7394     75.6790
00600     0.8013      0.7300     0.7680     75.6211
00700     0.7905      0.7532     0.7819     71.5893
00800     0.8441      0.7278     0.7896     72.8871
00900     0.7582      0.7574     0.7896     73.6682
01000     0.7095      0.7637     0.7896     71.2011
01100     0.7322      0.7700     0.8000     73.4916
01200     0.6630      0.7869     0.8073     71.7090
01300     0.7190      0.7869     0.8073     70.9824
01400     0.6653      0.7806     0.8090     69.1661
01500     0.7414      0.7658     0.8141     69.6174
01600     0.7305      0.7722     0.8226     71.2454
01700     0.6336      0.8080     0.8226     70.5591
01800     0.7032      0.7743     0.8226     70.5186
01900     0.6987      0.7679     0.8226     72.0147
02000     0.5594      0.8354     0.8226     70.8222
02100     0.6775      0.7637     0.8226     69.9727
02200     0.6338      0.7869     0.8226     70.8379
02300     0.6663      0.7764     0.8226     70.9128
02400     0.6722      0.7616     0.8226     69.7645
02500     0.6334      0.7806     0.8226     70.2363
02600     0.6651      0.8017     0.8245     70.3709
02700     0.6194      0.8143     0.8245     70.9463
02800     0.6487      0.7890     0.8245     70.6351
02900     0.6508      0.7785     0.8245     69.6948
03000     0.5982      0.8101     0.8351     70.5776
03100     0.6438      0.8017     0.8351     71.0507
03200     0.5949      0.8122     0.8352     70.9105
