Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=11, quant_inp=4, quant_w=None, random_seed=8627169, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
974b579a-a049-449e-8001-ce37799bc75c
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.9819      0.0738     0.0832     10.8873
00100     1.7239      0.4705     0.4470     56.9191
00200     1.1846      0.6097     0.6281     55.5326
00300     1.0946      0.6266     0.7033     55.7838
00400     0.9859      0.6793     0.7139     56.5949
00500     0.9083      0.6983     0.7656     56.2035
00600     0.8788      0.7131     0.7796     55.9373
00700     0.8099      0.7468     0.7796     56.4989
00800     0.8348      0.7384     0.7856     55.9129
00900     0.8221      0.7257     0.7856     56.1317
01000     0.7788      0.7426     0.7917     55.3706
01100     0.8396      0.7300     0.8110     56.1205
01200     0.7302      0.7848     0.8110     56.8763
01300     0.6931      0.7869     0.8110     56.4681
01400     0.7605      0.7595     0.8110     56.1093
01500     0.6399      0.7932     0.8142     55.4719
01600     0.7829      0.7468     0.8142     57.4789
01700     0.6280      0.7932     0.8142     55.5938
01800     0.7233      0.7637     0.8142     56.4531
01900     0.5635      0.8376     0.8274     56.3008
02000     0.6828      0.7764     0.8274     55.4797
02100     0.6557      0.7827     0.8274     56.3711
02200     0.7581      0.7637     0.8274     56.1861
02300     0.5981      0.8059     0.8311     55.4313
02400     0.6070      0.8143     0.8311     56.6679
02500     0.6351      0.8017     0.8311     57.3583
02600     0.7471      0.7743     0.8311     56.8194
02700     0.6418      0.7869     0.8311     57.2723
02800     0.6252      0.8122     0.8311     55.7642
02900     0.5996      0.8059     0.8311     57.1479
03000     0.5694      0.8186     0.8311     56.6720
03100     0.6520      0.7848     0.8311     55.6118
03200     0.6280      0.7975     0.8311     56.5614
03300     0.5849      0.8101     0.8311     55.7595
03400     0.6159      0.8186     0.8311     56.9450
03500     0.5816      0.8207     0.8311     57.0172
03600     0.5455      0.8080     0.8311     56.1841
03700     0.5959      0.8038     0.8311     55.7584
03800     0.6437      0.7975     0.8311     58.4225
03900     0.6677      0.7954     0.8311     56.1945
04000     0.5636      0.8122     0.8311     56.0097
04100     0.5198      0.8460     0.8311     56.4688
04200     0.6291      0.7869     0.8311     57.2436
04300     0.5738      0.8439     0.8311     57.2602
04400     0.6074      0.8080     0.8311     57.2082
04500     0.5518      0.8333     0.8311     58.0990
04600     0.5985      0.8291     0.8348     56.8779
04700     0.4940      0.8608     0.8348     55.7013
04800     0.6405      0.7975     0.8410     57.3274
04900     0.5656      0.8354     0.8410     55.0670
05000     0.5082      0.8481     0.8410     55.8629
05100     0.5793      0.8207     0.8410     58.7604
05200     0.5196      0.8439     0.8410     55.1570
05300     0.5372      0.8207     0.8410     57.7441
05400     0.5209      0.8333     0.8410     55.3437
05500     0.5670      0.8122     0.8410     57.8845
05600     0.5852      0.8291     0.8410     56.5518
05700     0.4756      0.8734     0.8410     56.7614
05800     0.4795      0.8586     0.8410     57.7574
05900     0.4444      0.8650     0.8410     55.6721
06000     0.5537      0.8165     0.8410     54.7355
06100     0.5684      0.8101     0.8410     55.2775
06200     0.5357      0.8354     0.8410     55.8762
06300     0.5236      0.8354     0.8410     56.5596
06400     0.5986      0.8101     0.8410     56.1767
06500     0.5749      0.8354     0.8410     56.4823
06600     0.5205      0.8354     0.8410     55.3163
06700     0.4825      0.8354     0.8410     55.0938
06800     0.5678      0.8481     0.8410     56.8245
06900     0.4969      0.8439     0.8410     55.0140
07000     0.5311      0.8228     0.8410     55.7103
07100     0.5062      0.8544     0.8410     54.7714
07200     0.5362      0.8439     0.8410     55.1033
07300     0.4867      0.8523     0.8410     57.5612
07400     0.5560      0.8165     0.8410     56.6399
07500     0.5034      0.8544     0.8410     57.5057
07600     0.4932      0.8333     0.8410     56.2355
07700     0.4596      0.8460     0.8410     56.6844
07800     0.4616      0.8671     0.8410     58.1550
07900     0.4564      0.8481     0.8410     55.8520
08000     0.5392      0.8186     0.8410     56.8057
08100     0.5302      0.8312     0.8410     58.0815
08200     0.5851      0.8186     0.8629     57.5233
08300     0.5067      0.8397     0.8629     59.8246
08400     0.5081      0.8481     0.8629     57.0425
08500     0.5202      0.8165     0.8629     55.6222
08600     0.4830      0.8544     0.8629     57.8760
08700     0.5179      0.8228     0.8629     54.7482
08800     0.4901      0.8502     0.8629     56.1261
08900     0.5237      0.8312     0.8629     55.5651
09000     0.4965      0.8481     0.8629     52.8847
09100     0.5408      0.8354     0.8629     56.4367
09200     0.5230      0.8312     0.8629     54.4893
09300     0.5389      0.8270     0.8629     54.8606
09400     0.5022      0.8460     0.8629     54.7796
09500     0.4429      0.8544     0.8629     55.2927
09600     0.4857      0.8565     0.8629     55.4880
09700     0.5086      0.8523     0.8629     55.2186
09800     0.4646      0.8650     0.8629     54.7929
09900     0.4733      0.8586     0.8629     54.4184
10000     0.4821      0.8523     0.8629     53.9800
10100     0.4377      0.8629     0.8629     54.7902
10200     0.3994      0.8692     0.8629     54.5020
10300     0.4187      0.8586     0.8629     54.6215
10400     0.4491      0.8439     0.8629     57.5425
10500     0.4413      0.8523     0.8629     54.1552
10600     0.5003      0.8565     0.8629     53.4153
10700     0.3613      0.8882     0.8629     53.2540
10800     0.3960      0.8650     0.8629     53.7785
10900     0.4835      0.8523     0.8629     55.4649
11000     0.3856      0.8776     0.8629     54.5695
11100     0.3593      0.8861     0.8629     52.8895
11200     0.3536      0.8945     0.8629     55.3365
11300     0.4446      0.8502     0.8629     53.4810
11400     0.4386      0.8586     0.8629     54.5593
11500     0.4157      0.8945     0.8629     55.7405
11600     0.4474      0.8565     0.8629     55.1465
11700     0.4439      0.8776     0.8629     55.7643
11800     0.5063      0.8439     0.8629     54.0731
11900     0.4834      0.8439     0.8629     53.6196
12000     0.4716      0.8354     0.8629     56.6684
12100     0.3876      0.8755     0.8629     56.7103
12200     0.4437      0.8776     0.8629     56.1559
12300     0.4530      0.8418     0.8629     57.6982
12400     0.4891      0.8460     0.8629     55.9104
12500     0.3652      0.8945     0.8629     57.6227
12600     0.3785      0.8797     0.8629     56.1932
12700     0.4761      0.8629     0.8629     56.8185
