Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=2, quant_inp=4, quant_w=None, random_seed=193012823, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
b22d23ae-0c17-48ee-a3b4-c1de090c6ef7
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5693      0.0717     0.0807     10.9869
00100     2.5125      0.0570     0.0810     72.6974
00200     2.5059      0.0865     0.0810     72.0857
00300     2.5035      0.0823     0.0810     73.4906
00400     2.5023      0.0591     0.0810     72.3818
00500     2.5016      0.0907     0.0810     72.9530
00600     2.5011      0.0886     0.0810     73.5367
00700     2.5007      0.0970     0.0810     72.8655
00800     2.5004      0.0738     0.0810     74.9843
00900     2.5002      0.0717     0.0810     73.2102
01000     2.5000      0.0928     0.0810     74.9446
01100     2.4999      0.0759     0.0810     72.3971
01200     2.4997      0.0738     0.0810     72.4399
01300     2.4996      0.0907     0.0810     74.4213
01400     2.4995      0.0654     0.0810     72.2183
01500     2.4994      0.0781     0.0810     71.7177
01600     2.4994      0.0696     0.0810     73.2193
01700     2.4993      0.0949     0.0810     73.2488
01800     2.4992      0.0844     0.0810     73.1658
01900     2.4991      0.0738     0.0810     73.3895
02000     2.4990      0.0675     0.0810     73.5534
02100     2.4990      0.0970     0.0810     75.7097
02200     2.4989      0.0844     0.0810     74.8306
02300     2.4988      0.0844     0.0810     74.0381
02400     2.4987      0.0823     0.0810     73.1712
02500     2.4987      0.1097     0.0810     73.4406
02600     2.4986      0.0738     0.0810     73.9233
02700     2.4985      0.0970     0.0810     73.9598
02800     2.4984      0.0928     0.0810     73.1531
02900     2.4984      0.0865     0.0810     73.9488
03000     2.4983      0.0654     0.0810     73.5159
03100     2.4982      0.0759     0.0810     73.2180
03200     2.4982      0.0949     0.0810     73.8615
03300     2.4981      0.1076     0.0810     72.4548
03400     2.4980      0.0570     0.0810     73.7891
03500     2.4979      0.0633     0.0810     72.9829
03600     2.4979      0.0886     0.0810     73.9018
