Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=2, quant_inp=4, quant_w=None, random_seed=8627169, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
b7e41810-7670-4e21-a0d8-0e75c672ad7f
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5693      0.0802     0.0805     10.7810
00100     2.5125      0.0675     0.0807     70.6429
00200     2.5059      0.0717     0.0808     70.2651
00300     2.5035      0.0781     0.0808     70.7780
00400     2.5023      0.0717     0.0808     71.3175
00500     2.5016      0.0949     0.0808     71.6118
00600     2.5011      0.0654     0.0812     71.5537
00700     2.5007      0.0928     0.0812     71.2472
00800     2.5004      0.1055     0.0812     69.8348
00900     2.5002      0.0949     0.0812     70.7563
01000     2.5000      0.0928     0.0812     70.9411
01100     2.4999      0.0823     0.0812     70.7726
01200     2.4997      0.0907     0.0812     71.1349
01300     2.4996      0.0675     0.0812     71.0112
01400     2.4995      0.0506     0.0812     72.0314
01500     2.4994      0.0970     0.0812     70.7200
01600     2.4994      0.0738     0.0812     70.2295
01700     2.4993      0.0928     0.0812     71.0887
01800     2.4992      0.0802     0.0812     70.0486
01900     2.4991      0.0949     0.0812     71.0407
02000     2.4990      0.0633     0.0812     71.3454
02100     2.4990      0.0759     0.0812     70.9643
02200     2.4989      0.0802     0.0812     70.5215
02300     2.4988      0.0696     0.0812     70.5785
02400     2.4987      0.0907     0.0812     71.7748
02500     2.4987      0.0907     0.0812     71.5187
02600     2.4986      0.1034     0.0812     70.5224
02700     2.4985      0.0865     0.0812     71.3496
02800     2.4984      0.0717     0.0812     70.9430
02900     2.4984      0.0844     0.0812     70.6080
03000     2.4983      0.0907     0.0812     71.4443
03100     2.4982      0.1266     0.0812     70.9160
03200     2.4982      0.0802     0.0812     71.1612
03300     2.4981      0.0781     0.0812     70.6578
03400     2.4980      0.0802     0.0812     71.8766
03500     2.4979      0.0759     0.0812     71.2590
03600     2.4979      0.0675     0.0812     70.5523
03700     2.4978      0.0738     0.0812     70.7781
03800     2.4977      0.1013     0.0812     71.6507
03900     2.4977      0.0886     0.0812     72.0885
04000     2.4976      0.0781     0.0812     71.3195
04100     2.4975      0.0823     0.0812     70.4441
04200     2.4975      0.0781     0.0812     70.9396
04300     2.4974      0.0717     0.0812     71.1861
04400     2.4973      0.0696     0.0812     70.8479
04500     2.4972      0.0970     0.0812     70.5028
04600     2.4972      0.0907     0.0812     70.0417
04700     2.4971      0.0717     0.0812     70.4987
04800     2.4970      0.0759     0.0812     70.7951
04900     2.4970      0.0633     0.0812     70.4966
05000     2.4969      0.0759     0.0812     69.8366
05100     2.4968      0.0717     0.0812     70.2526
05200     2.4968      0.0675     0.0812     70.2625
05300     2.4967      0.0759     0.0812     71.2620
05400     2.4966      0.0802     0.0812     72.1958
05500     2.4966      0.0802     0.0812     73.0386
05600     2.4965      0.0886     0.0812     71.0996
05700     2.4964      0.0844     0.0812     70.9021
05800     2.4964      0.0485     0.0812     71.1314
05900     2.4963      0.0928     0.0812     71.6022
06000     2.4962      0.1034     0.0812     71.6739
06100     2.4962      0.0949     0.0812     71.5953
06200     2.4961      0.0781     0.0812     70.0347
06300     2.4960      0.0696     0.0812     70.4556
06400     2.4960      0.0802     0.0812     72.3796
06500     2.4959      0.0844     0.0812     71.4938
06600     2.4958      0.0717     0.0812     71.4435
06700     2.4958      0.1013     0.0812     71.5889
06800     2.4957      0.0717     0.0812     70.6560
06900     2.4956      0.0781     0.0812     71.8556
07000     2.4956      0.0654     0.0812     71.5133
