Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=4, quant_inp=4, quant_w=None, random_seed=8627169, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
75b190f7-b277-4f33-a33b-896c6fb76950
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5693      0.0802     0.0805     11.6105
00100     2.6144      0.1118     0.0900     71.6529
00200     3.3994      0.2975     0.1889     72.8581
00300     3.4514      0.2869     0.2190     70.6500
00400     3.1410      0.3059     0.2190     71.7905
00500     3.1982      0.2890     0.2332     72.8994
00600     3.0433      0.3249     0.2582     70.3133
00700     3.0167      0.3565     0.2734     71.0642
00800     3.2310      0.3228     0.2734     74.4064
00900     2.3787      0.4114     0.3245     71.0962
01000     2.8245      0.4114     0.3245     71.6420
01100     2.5220      0.3565     0.3245     71.3278
01200     2.2276      0.4325     0.3621     71.6293
01300     2.2122      0.3987     0.3621     71.0913
01400     2.2331      0.4114     0.3621     73.6874
01500     1.9316      0.4789     0.3695     72.3889
01600     2.3703      0.4367     0.3695     71.0692
01700     2.1406      0.4536     0.3695     74.5799
01800     2.0334      0.4515     0.3695     72.0076
01900     1.9694      0.4641     0.3695     72.5657
02000     2.3663      0.3797     0.3695     72.4155
02100     2.0447      0.4177     0.3792     71.3652
02200     2.0623      0.4662     0.3792     71.5618
02300     1.9301      0.4262     0.3792     72.0927
02400     1.8188      0.4958     0.3851     72.8606
02500     2.0868      0.4895     0.3851     72.7836
02600     2.0105      0.4789     0.4243     71.7084
02700     1.9817      0.5042     0.4243     73.1570
02800     2.0224      0.5211     0.4243     73.1803
02900     1.5211      0.4831     0.4243     73.4888
03000     1.5672      0.5506     0.4278     71.4401
03100     1.8870      0.5211     0.4278     72.3393
03200     1.6354      0.5169     0.4421     73.6552
03300     1.7666      0.5084     0.4464     71.3137
03400     1.8823      0.4916     0.4464     73.3459
03500     1.7852      0.5359     0.4464     71.1659
03600     1.6749      0.5274     0.4476     71.3535
03700     1.7860      0.5717     0.4476     73.1570
03800     1.6767      0.5633     0.4535     71.9020
03900     1.5450      0.5591     0.4535     72.3502
04000     1.5941      0.5759     0.4535     70.7719
04100     1.5717      0.5527     0.4535     74.0945
04200     1.6752      0.5338     0.4535     70.7139
04300     1.6941      0.5211     0.4535     71.9313
04400     1.7894      0.5654     0.4579     71.0318
04500     1.5409      0.5274     0.4579     71.3537
04600     1.7163      0.5401     0.4579     73.2991
04700     1.3807      0.5970     0.4579     71.2626
04800     1.8226      0.5127     0.4579     71.7446
04900     1.7265      0.4852     0.4579     72.6545
05000     1.4165      0.5844     0.4579     72.5708
05100     1.6820      0.5190     0.4579     71.0174
05200     1.6726      0.5549     0.4633     71.9167
05300     1.5841      0.5865     0.4722     72.1103
05400     1.4363      0.5970     0.4724     71.4085
05500     1.7702      0.5485     0.4829     70.8615
05600     1.6337      0.5802     0.4829     71.5335
05700     1.4049      0.5802     0.4829     71.3713
05800     1.4881      0.5401     0.4854     72.3946
05900     1.3341      0.6118     0.4886     72.7540
06000     1.5235      0.5738     0.4886     73.0710
06100     1.5631      0.5844     0.4886     72.5881
06200     1.6648      0.6034     0.4984     72.9697
06300     1.5491      0.5295     0.4984     71.2139
06400     1.5254      0.5696     0.4984     71.6586
06500     1.5177      0.5675     0.4984     71.5981
06600     1.4646      0.5654     0.4988     71.5593
06700     1.3610      0.5970     0.4988     71.1336
06800     1.5327      0.5527     0.4988     73.7389
06900     1.5430      0.5886     0.5079     71.2849
07000     1.5104      0.5886     0.5079     71.7779
07100     1.4544      0.5886     0.5079     71.9117
07200     1.4537      0.5844     0.5079     73.1244
07300     1.5038      0.5886     0.5079     70.6893
07400     1.5069      0.5316     0.5079     71.3397
07500     1.4622      0.5654     0.5121     71.8711
07600     1.3898      0.6371     0.5168     71.8272
07700     1.4647      0.5886     0.5354     71.8285
07800     1.4789      0.5928     0.5354     72.7231
07900     1.4554      0.6414     0.5354     71.9395
08000     1.6017      0.5886     0.5354     72.0960
08100     1.4249      0.5823     0.5354     72.4470
08200     1.5083      0.5506     0.5354     71.7605
08300     1.3903      0.6118     0.5354     73.3556
08400     1.4806      0.5443     0.5354     72.1666
08500     1.6103      0.5549     0.5354     71.4184
08600     1.6062      0.6118     0.5354     71.3244
08700     1.4186      0.6055     0.5354     72.4226
08800     1.3610      0.5844     0.5354     71.7987
08900     1.6155      0.5675     0.5354     73.3481
09000     1.5948      0.6118     0.5354     70.6299
09100     1.4708      0.5844     0.5354     73.2250
09200     1.5161      0.5549     0.5354     73.3774
09300     1.4978      0.5781     0.5354     72.8978
09400     1.4943      0.5865     0.5354     71.3637
09500     1.5533      0.5907     0.5564     73.1167
09600     1.5223      0.5675     0.5564     73.5936
09700     1.4574      0.5675     0.5564     72.6889
09800     1.4606      0.5949     0.5564     72.4425
09900     1.4365      0.6118     0.5564     72.3176
10000     1.3738      0.6266     0.5564     72.8463
10100     1.3264      0.6076     0.5564     72.7022
10200     1.2725      0.6139     0.5564     73.0491
10300     1.3035      0.6414     0.5564     73.1246
10400     1.4524      0.6160     0.5564     71.5931
10500     1.2228      0.6477     0.5564     72.1665
10600     1.4320      0.6224     0.5564     72.1125
10700     1.2422      0.6414     0.5564     71.3607
10800     1.4314      0.6097     0.5564     72.1586
10900     1.5374      0.5844     0.5564     70.7292
11000     1.3805      0.6308     0.5564     72.3166
11100     1.2710      0.6329     0.5616     72.7870
11200     1.4406      0.6435     0.5616     73.2339
11300     1.3475      0.6076     0.5616     71.6542
11400     1.3732      0.6287     0.5616     72.8958
11500     1.2571      0.6498     0.5616     71.9956
11600     1.5689      0.6076     0.5616     72.9015
11700     1.2744      0.6329     0.5616     70.8010
11800     1.4676      0.6308     0.5616     73.3846
11900     1.5437      0.5759     0.5656     73.0874
12000     1.4622      0.6308     0.5656     73.3169
12100     1.3416      0.6477     0.5656     73.3838
12200     1.3202      0.6308     0.5656     71.3041
12300     1.4169      0.6139     0.5656     74.8580
12400     1.5061      0.6055     0.5656     73.2459
12500     1.3110      0.6414     0.5656     73.5801
12600     1.3589      0.6160     0.5656     72.5683
12700     1.3965      0.6392     0.5656     70.6057
12800     1.4252      0.6266     0.5656     71.2498
12900     1.3280      0.6329     0.5656     71.9831
13000     1.2726      0.6477     0.5656     73.4598
13100     1.4125      0.5970     0.5656     72.0006
13200     1.4533      0.6097     0.5656     71.4561
13300     1.3668      0.6350     0.5656     70.2887
13400     1.3728      0.6076     0.5656     72.4237
13500     1.4365      0.6224     0.5656     73.1339
13600     1.2952      0.6055     0.5656     73.8550
13700     1.3264      0.6266     0.5656     72.0025
13800     1.2443      0.6329     0.5656     74.0325
13900     1.1541      0.6793     0.5656     73.8063
14000     1.3361      0.6498     0.5656     71.8946
14100     1.4292      0.6118     0.5656     69.9959
14200     1.5593      0.6266     0.5656     71.8347
14300     1.3588      0.6287     0.5656     73.8724
14400     1.4105      0.6245     0.5656     72.1886
14500     1.2949      0.6224     0.5656     71.2186
14600     1.4406      0.6435     0.5656     72.4562
14700     1.3424      0.6013     0.5656     73.2249
14800     1.5161      0.5823     0.5656     73.8868
14900     1.6716      0.5295     0.5656     73.1963
15000     1.2944      0.6118     0.5656     73.3272
15100     1.4942      0.6435     0.5656     71.9926
15200     1.4328      0.6287     0.5656     71.2984
15300     1.3280      0.6245     0.5656     71.0021
15400     1.2548      0.6181     0.5656     71.7547
15500     1.3739      0.6160     0.5656     72.3763
15600     1.2697      0.6793     0.5656     71.8129
15700     1.5587      0.5570     0.5656     72.2347
15800     1.2753      0.6013     0.5656     74.1292
15900     1.4687      0.6245     0.5656     71.1917
16000     1.3418      0.6245     0.5656     72.3408
16100     1.4192      0.6329     0.5656     72.9651
16200     1.3035      0.6139     0.5656     74.0957
16300     1.3836      0.6076     0.5656     72.9721
16400     1.3436      0.6245     0.5656     72.6886
16500     1.3009      0.6245     0.5656     71.9216
16600     1.2375      0.6076     0.5656     71.7491
16700     1.4012      0.6224     0.5656     71.9615
16800     1.4688      0.5738     0.5656     74.5653
16900     1.3292      0.5759     0.5656     71.8671
17000     1.2752      0.6308     0.5656     72.8695
17100     1.3068      0.6076     0.5656     72.4056
17200     1.4805      0.6181     0.5656     72.0165
17300     1.2949      0.6245     0.5656     73.5259
