Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=7, quant_inp=4, quant_w=None, random_seed=8627169, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
01655644-ca45-4b5e-9ce4-95db4b3dbdd1
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.9981      0.0844     0.0828     10.8230
00100     1.8137      0.3966     0.4118     69.8313
00200     1.2987      0.5675     0.5858     70.1500
00300     1.1979      0.5886     0.6464     71.9427
00400     1.0628      0.6371     0.7041     70.6874
00500     0.9520      0.6878     0.7273     71.8964
00600     0.9027      0.7004     0.7386     71.3154
00700     0.8551      0.7553     0.7400     70.8358
00800     0.8669      0.7194     0.7494     71.9000
00900     0.8727      0.7110     0.7659     70.8553
01000     0.8393      0.7300     0.7659     70.5447
01100     0.8813      0.7068     0.8031     70.7147
01200     0.7267      0.7848     0.8031     70.8335
01300     0.6925      0.7679     0.8031     71.3440
01400     0.7536      0.7321     0.8031     70.8675
01500     0.7348      0.7574     0.8031     70.5823
01600     0.8149      0.7278     0.8031     71.3495
01700     0.6653      0.7890     0.8031     71.1191
01800     0.7507      0.7700     0.8031     70.6660
01900     0.6074      0.8122     0.8031     70.3531
02000     0.7334      0.7342     0.8031     71.3813
02100     0.7310      0.7595     0.8031     71.2122
02200     0.7770      0.7595     0.8031     71.6997
02300     0.6394      0.7785     0.8031     72.9097
02400     0.6606      0.7848     0.8031     72.1285
02500     0.7157      0.7869     0.8031     71.2765
02600     0.7799      0.7384     0.8031     71.2535
02700     0.6737      0.7637     0.8031     72.4721
02800     0.6792      0.8059     0.8031     71.7539
02900     0.6413      0.7954     0.8031     70.8741
03000     0.6446      0.7996     0.8031     72.1335
03100     0.6817      0.7911     0.8031     71.6664
03200     0.6684      0.7785     0.8031     71.4055
03300     0.6134      0.7827     0.8031     71.6430
03400     0.6392      0.7911     0.8031     72.4318
03500     0.5773      0.8122     0.8031     71.7861
03600     0.6075      0.7932     0.8031     72.1725
03700     0.6382      0.7890     0.8031     71.8142
03800     0.6612      0.8038     0.8031     71.7576
03900     0.6792      0.8017     0.8031     72.2416
04000     0.5610      0.8017     0.8031     71.3532
04100     0.6101      0.7975     0.8031     71.9579
04200     0.6381      0.8059     0.8031     72.3261
04300     0.6160      0.8038     0.8031     72.2077
04400     0.6747      0.7743     0.8031     72.3464
04500     0.5868      0.8059     0.8031     71.9696
04600     0.6463      0.7764     0.8031     72.5153
04700     0.5277      0.8291     0.8031     72.0362
04800     0.6776      0.7869     0.8031     72.4250
04900     0.6154      0.7911     0.8031     72.2415
05000     0.5272      0.8207     0.8031     72.1779
05100     0.6067      0.8101     0.8031     72.5016
05200     0.5499      0.8165     0.8031     72.8158
05300     0.5497      0.8249     0.8031     72.5389
05400     0.4734      0.8523     0.8031     72.5389
05500     0.6039      0.7954     0.8031     72.2446
05600     0.5708      0.8207     0.8031     72.3317
05700     0.5164      0.8397     0.8031     71.8446
05800     0.5156      0.8270     0.8031     71.5070
05900     0.4524      0.8502     0.8031     72.2438
06000     0.5239      0.8165     0.8031     71.7440
06100     0.6148      0.7954     0.8031     72.7764
06200     0.6222      0.7954     0.8031     73.0469
06300     0.5768      0.7996     0.8031     72.4949
06400     0.6339      0.7954     0.8031     72.8215
06500     0.5856      0.8080     0.8031     72.7246
06600     0.5553      0.8143     0.8031     72.1743
06700     0.5144      0.8291     0.8031     73.4659
06800     0.5670      0.8291     0.8031     71.8749
06900     0.5801      0.7911     0.8031     72.8293
07000     0.5634      0.8249     0.8031     71.9104
07100     0.5538      0.8249     0.8031     71.8491
07200     0.5558      0.8270     0.8031     73.2276
07300     0.5029      0.8502     0.8031     72.6467
07400     0.5754      0.8101     0.8031     72.3575
07500     0.4953      0.8439     0.8031     73.8778
07600     0.5221      0.8418     0.8031     71.9400
07700     0.5028      0.8291     0.8031     72.8769
07800     0.5097      0.8354     0.8031     74.1370
07900     0.4466      0.8418     0.8031     72.4921
08000     0.5233      0.8460     0.8031     73.8744
08100     0.5819      0.8122     0.8031     72.8837
08200     0.6112      0.7975     0.8031     72.5914
08300     0.5466      0.8270     0.8031     73.8377
08400     0.5293      0.8186     0.8031     72.4057
08500     0.5476      0.8207     0.8031     74.8238
08600     0.5354      0.8418     0.8031     74.5551
08700     0.5272      0.8291     0.8031     73.7542
08800     0.4854      0.8186     0.8031     73.6349
08900     0.5921      0.7996     0.8031     73.1324
09000     0.5115      0.8460     0.8031     74.4583
09100     0.6161      0.7932     0.8031     73.3103
09200     0.5040      0.8270     0.8031     72.8469
09300     0.5384      0.8291     0.8031     72.7759
09400     0.5443      0.8460     0.8031     73.2962
09500     0.4729      0.8776     0.8031     73.8935
09600     0.4972      0.8333     0.8031     74.7845
09700     0.5512      0.8249     0.8031     72.3715
09800     0.4712      0.8481     0.8031     74.1801
09900     0.4848      0.8502     0.8031     74.2622
10000     0.4991      0.8376     0.8031     73.4584
10100     0.4594      0.8650     0.8031     73.4769
10200     0.3855      0.8713     0.8031     74.3088
10300     0.4418      0.8650     0.8031     73.0659
10400     0.5001      0.8418     0.8031     74.6019
10500     0.4672      0.8608     0.8031     73.7916
10600     0.4949      0.8481     0.8031     74.1434
10700     0.3943      0.8713     0.8031     74.2012
10800     0.4106      0.8523     0.8031     73.3887
10900     0.5222      0.8228     0.8031     74.1766
11000     0.4361      0.8565     0.8031     74.1678
11100     0.3777      0.8713     0.8031     75.0914
11200     0.4059      0.8755     0.8031     73.9134
11300     0.4746      0.8481     0.8031     72.6660
11400     0.4706      0.8481     0.8031     72.7011
11500     0.4401      0.8671     0.8031     74.7064
11600     0.4969      0.8418     0.8031     73.3249
11700     0.4681      0.8608     0.8031     73.7881
11800     0.5069      0.8418     0.8031     74.1125
11900     0.4729      0.8354     0.8031     74.0605
12000     0.4536      0.8418     0.8031     75.1632
12100     0.4203      0.8776     0.8031     72.3121
12200     0.4527      0.8586     0.8031     74.5044
12300     0.4667      0.8502     0.8031     74.6686
12400     0.4934      0.8333     0.8031     74.7461
12500     0.3709      0.8966     0.8031     73.4222
12600     0.3718      0.8945     0.8031     74.2100
12700     0.4694      0.8523     0.8031     72.4664
12800     0.4139      0.8840     0.8031     72.6791
12900     0.4056      0.8671     0.8031     73.8197
13000     0.4085      0.8713     0.8031     74.3868
13100     0.4671      0.8418     0.8031     75.5634
13200     0.4284      0.8586     0.8031     74.5102
13300     0.4708      0.8376     0.8031     73.7503
13400     0.4515      0.8312     0.8031     74.2265
13500     0.3895      0.8608     0.8031     73.8773
13600     0.3876      0.8819     0.8031     74.4635
13700     0.4409      0.8565     0.8031     74.3877
13800     0.4166      0.8671     0.8031     73.0258
13900     0.4197      0.8692     0.8031     73.6101
14000     0.4613      0.8418     0.8031     73.8078
14100     0.4564      0.8734     0.8031     75.5706
14200     0.4613      0.8671     0.8031     75.1332
14300     0.4315      0.8629     0.8031     74.8943
14400     0.4612      0.8439     0.8031     75.4374
14500     0.4738      0.8481     0.8031     74.1127
14600     0.4694      0.8544     0.8031     74.2425
14700     0.4289      0.8608     0.8031     75.9682
14800     0.3711      0.8840     0.8031     74.6322
14900     0.5535      0.8249     0.8031     74.4952
15000     0.4020      0.8629     0.8031     75.3541
15100     0.4034      0.8776     0.8031     74.4152
15200     0.4917      0.8608     0.8031     75.4455
15300     0.4468      0.8544     0.8031     74.6531
15400     0.4154      0.8586     0.8031     74.9387
15500     0.3964      0.8713     0.8031     74.0978
15600     0.3904      0.8903     0.8031     74.6346
15700     0.4854      0.8544     0.8031     75.2326
15800     0.4459      0.8671     0.8031     75.7242
15900     0.5015      0.8397     0.8031     74.9648
16000     0.4279      0.8586     0.8031     78.3250
16100     0.4768      0.8481     0.8031     78.2316
16200     0.4127      0.8608     0.8031     77.2488
16300     0.4176      0.8713     0.8031     77.2177
16400     0.4133      0.8608     0.8031     76.6927
16500     0.4828      0.8439     0.8031     77.7148
16600     0.4021      0.8650     0.8031     76.3579
16700     0.4688      0.8502     0.8031     74.8292
16800     0.4265      0.8629     0.8031     75.6980
16900     0.4205      0.8797     0.8031     73.9959
17000     0.3721      0.8945     0.8031     74.1470
17100     0.4382      0.8565     0.8031     76.9524
17200     0.4444      0.8755     0.8031     76.1078
17300     0.3846      0.8734     0.8031     75.9088
17400     0.4568      0.8608     0.8031     75.9657
17500     0.4833      0.8291     0.8031     73.0139
17600     0.4903      0.8291     0.8031     75.4049
17700     0.3698      0.8903     0.8031     74.5604
17800     0.4078      0.8629     0.8031     73.6570
17900     0.4281      0.8586     0.8031     74.8138
18000     0.4233      0.8692     0.8031     74.7877
18100     0.4837      0.8586     0.8031     75.8704
18200     0.4016      0.8819     0.8031     75.1061
18300     0.4920      0.8439     0.8031     76.3721
18400     0.3509      0.8797     0.8031     76.4372
18500     0.4938      0.8439     0.8031     74.1578
18600     0.4197      0.8629     0.8031     75.4296
18700     0.4014      0.8671     0.8031     74.7932
18800     0.4722      0.8481     0.8031     75.0707
18900     0.4533      0.8481     0.8031     76.9047
19000     0.4743      0.8523     0.8031     75.9152
19100     0.3655      0.8671     0.8031     76.7221
19200     0.4273      0.8692     0.8031     76.5733
19300     0.4615      0.8481     0.8031     72.6537
19400     0.4889      0.8565     0.8031     75.5109
19500     0.4156      0.8629     0.8031     76.9440
19600     0.4484      0.8523     0.8031     74.7530
19700     0.3912      0.8755     0.8031     76.0579
19800     0.4074      0.8755     0.8031     75.5224
19900     0.3871      0.8861     0.8031     73.8485
20000     0.4036      0.8629     0.8031     71.7837
20100     0.4184      0.8671     0.8031     71.1540
20199     0.3927      0.8797     0.8031     70.0926
Start finetuning with noise:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     0.7839      0.7637     0.7545     10.2659
00100     0.4030      0.8734     0.8663     70.7444
00200     0.4519      0.8650     0.8707     70.9956
00300     0.4143      0.8650     0.8707     71.0114
00400     0.4794      0.8397     0.8707     70.1061
00500     0.3926      0.8755     0.8707     70.8210
00600     0.4052      0.8650     0.8716     71.7449
00700     0.4893      0.8270     0.8716     70.9071
00800     0.4336      0.8544     0.8716     71.2246
00900     0.4321      0.8544     0.8716     71.4588
01000     0.4444      0.8502     0.8716     70.7642
01100     0.4154      0.8608     0.8763     71.3159
01200     0.3622      0.8903     0.8763     72.0421
01300     0.3831      0.8755     0.8763     72.2620
01400     0.4892      0.8397     0.8763     72.0942
01500     0.4403      0.8608     0.8763     72.0741
01600     0.4850      0.8523     0.8763     72.5556
01700     0.4842      0.8460     0.8763     72.8898
01800     0.3641      0.8840     0.8763     72.6789
01900     0.4323      0.8565     0.8763     71.6877
02000     0.4511      0.8544     0.8763     71.9683
02100     0.3673      0.8797     0.8763     72.6487
02200     0.4160      0.8629     0.8763     72.1571
02300     0.4405      0.8650     0.8763     71.8506
02400     0.4000      0.8692     0.8763     72.7011
02500     0.4882      0.8460     0.8763     74.0756
02600     0.3924      0.8861     0.8763     72.7340
02700     0.3872      0.8650     0.8763     74.4802
02800     0.4873      0.8333     0.8763     71.5398
02900     0.3814      0.8776     0.8763     73.4614
03000     0.4564      0.8650     0.8763     74.6136
03100     0.4706      0.8523     0.8763     74.8604
03200     0.4348      0.8565     0.8763     73.3153
03300     0.4879      0.8228     0.8763     74.0823
03400     0.4833      0.8481     0.8763     72.8517
03500     0.4572      0.8565     0.8767     74.8618
03600     0.3710      0.8713     0.8767     73.8248
03700     0.3933      0.8713     0.8767     72.5706
03800     0.4091      0.8692     0.8767     74.3529
03900     0.5259      0.8291     0.8767     74.1064
04000     0.4619      0.8439     0.8767     73.2973
04100     0.4853      0.8418     0.8767     73.6033
04200     0.4529      0.8586     0.8767     73.8544
04300     0.3950      0.8650     0.8767     75.0197
04400     0.4909      0.8397     0.8767     74.6812
04500     0.4793      0.8418     0.8767     74.6386
04600     0.4678      0.8418     0.8767     75.0115
04700     0.4754      0.8544     0.8767     74.4398
04800     0.3984      0.8671     0.8767     75.2467
04900     0.4297      0.8586     0.8767     75.3489
05000     0.4374      0.8629     0.8767     74.0900
05100     0.3583      0.8882     0.8767     73.5035
05200     0.4643      0.8460     0.8767     73.6939
05300     0.4450      0.8565     0.8767     73.6568
05400     0.4202      0.8692     0.8767     73.5124
05500     0.4443      0.8586     0.8767     71.9466
05600     0.4422      0.8586     0.8809     69.9976
05700     0.4273      0.8586     0.8809     71.0312
05800     0.4349      0.8544     0.8809     70.5051
05900     0.4514      0.8608     0.8809     71.6473
06000     0.4740      0.8418     0.8809     71.1123
06100     0.5057      0.8460     0.8809     71.4683
06200     0.3709      0.8797     0.8809     71.3374
06300     0.4765      0.8523     0.8809     71.8728
06400     0.3706      0.8776     0.8809     72.1229
06500     0.4104      0.8734     0.8809     72.0585
06600     0.4415      0.8650     0.8809     72.9232
06700     0.4496      0.8565     0.8809     72.5232
06800     0.3811      0.8629     0.8809     72.2743
06900     0.3899      0.8861     0.8809     72.3825
07000     0.4518      0.8629     0.8809     73.4696
07100     0.5010      0.8502     0.8809     72.5353
