Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=2, quant_w=None, random_seed=235899598, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
d059783d-21ef-4dd4-89da-28d533c0040b
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.5692      0.0633     0.0806     11.7375
00100     2.5125      0.0928     0.0807     71.6608
00200     2.5059      0.0802     0.0808     69.8217
00300     2.5035      0.0781     0.0808     70.8789
00400     2.5023      0.0928     0.0808     70.0117
00500     2.5016      0.0675     0.0808     69.7694
00600     2.5011      0.0717     0.0808     70.7353
00700     2.5007      0.0570     0.0808     70.0896
00800     2.5004      0.0844     0.0808     70.7645
00900     2.5002      0.0802     0.0808     69.5964
01000     2.5000      0.0949     0.0808     69.4542
01100     2.4999      0.0738     0.0810     70.5201
01200     2.4998      0.0865     0.0810     70.7617
01300     2.4996      0.0696     0.0810     70.4772
01400     2.4995      0.0823     0.0810     71.0801
01500     2.4994      0.0717     0.0810     69.2768
01600     2.4994      0.0865     0.0810     70.4732
01700     2.4993      0.1034     0.0810     70.3469
01800     2.4992      0.0865     0.0810     70.9133
01900     2.4991      0.0506     0.0810     71.3222
02000     2.4990      0.0696     0.0810     70.1742
02100     2.4990      0.0738     0.0810     69.9919
02200     2.4989      0.0907     0.0812     71.1883
02300     2.4988      0.1160     0.0812     70.3383
02400     2.4987      0.0844     0.0812     70.6023
02500     2.4987      0.0570     0.0812     70.0562
02600     2.4986      0.0738     0.0812     70.2899
02700     2.4985      0.0591     0.0812     70.3174
02800     2.4984      0.0717     0.0812     70.3890
02900     2.4984      0.0781     0.0814     70.5733
