Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=5, quant_w=None, random_seed=235899598, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
2c48383e-bbad-4bcb-8565-770a4372a60a
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.9390      0.0907     0.0735     9.8250
00100     1.6621      0.4662     0.4971     53.8323
00200     1.1614      0.6287     0.6616     54.0094
00300     0.8762      0.7194     0.7491     53.8920
00400     0.8811      0.7215     0.7712     53.5552
00500     0.6284      0.7932     0.7871     55.2486
00600     0.6809      0.7827     0.8027     53.7706
00700     0.5484      0.8270     0.8200     53.5827
00800     0.6452      0.7996     0.8318     54.0330
00900     0.5790      0.8122     0.8318     54.0241
01000     0.4933      0.8418     0.8350     53.3519
01100     0.6132      0.8101     0.8465     54.4756
01200     0.5000      0.8481     0.8465     52.7137
01300     0.4887      0.8523     0.8465     53.4830
01400     0.3778      0.8924     0.8487     53.4532
01500     0.4997      0.8460     0.8487     53.9594
01600     0.4206      0.8671     0.8560     55.1587
01700     0.5014      0.8312     0.8560     53.4809
01800     0.4710      0.8586     0.8560     53.8262
01900     0.4608      0.8523     0.8560     55.4319
02000     0.3903      0.8734     0.8646     53.7641
02100     0.4292      0.8565     0.8646     54.6849
02200     0.4009      0.8903     0.8646     53.2338
02300     0.4484      0.8481     0.8646     53.2023
02400     0.4573      0.8565     0.8646     54.5425
02500     0.4476      0.8460     0.8646     53.8565
02600     0.4196      0.8819     0.8646     54.9715
02700     0.4654      0.8565     0.8646     55.4515
02800     0.3927      0.8819     0.8646     55.3802
02900     0.4361      0.8713     0.8680     53.7432
03000     0.4084      0.8776     0.8680     53.5595
03100     0.3833      0.8945     0.8680     56.4910
03200     0.4063      0.8755     0.8680     56.5792
03300     0.3697      0.8776     0.8680     54.9375
03400     0.3627      0.9008     0.8757     54.2147
03500     0.3274      0.8840     0.8757     54.4545
03600     0.4101      0.8819     0.8757     53.6813
03700     0.3861      0.8819     0.8757     53.9627
03800     0.3957      0.8840     0.8781     54.1650
03900     0.3474      0.8903     0.8781     54.1512
04000     0.3732      0.8840     0.8781     54.0373
04100     0.4188      0.8882     0.8781     54.4277
04200     0.3712      0.8840     0.8781     53.5608
04300     0.3059      0.9093     0.8781     54.9047
04400     0.3538      0.9008     0.8781     54.8365
04500     0.3592      0.8882     0.8781     53.7402
04600     0.3420      0.9051     0.8781     53.9999
04700     0.3665      0.8861     0.8781     53.8235
04800     0.3246      0.9114     0.8781     54.3736
04900     0.3506      0.8903     0.8781     54.8532
05000     0.3291      0.8903     0.8781     55.0141
05100     0.3476      0.9008     0.8781     54.2046
05200     0.4056      0.8755     0.8781     54.0960
05300     0.3243      0.8797     0.8781     53.9502
05400     0.4077      0.8734     0.8781     55.9535
05500     0.3381      0.9156     0.8781     54.4912
05600     0.4050      0.8903     0.8781     54.6610
05700     0.3808      0.8692     0.8781     54.2051
05800     0.2692      0.9388     0.8781     54.1977
05900     0.3719      0.8903     0.8781     55.0385
06000     0.3422      0.8840     0.8781     54.3243
06100     0.4014      0.8671     0.8781     53.9538
06200     0.3068      0.9008     0.8781     54.4691
06300     0.2371      0.9241     0.8781     54.3173
06400     0.3215      0.9135     0.8781     53.6727
06500     0.3137      0.8966     0.8781     54.1385
06600     0.3578      0.8797     0.8781     54.0828
06700     0.3071      0.9072     0.8781     55.9819
06800     0.3243      0.8903     0.8781     54.1837
06900     0.2977      0.9030     0.8790     53.5979
07000     0.3099      0.9030     0.8790     54.1478
07100     0.3359      0.9030     0.8790     54.2336
07200     0.3115      0.9135     0.8790     55.0231
07300     0.2732      0.9241     0.8790     54.6515
07400     0.2597      0.9262     0.8799     54.3256
07500     0.3539      0.9030     0.8799     55.4045
07600     0.3273      0.8903     0.8799     54.8279
07700     0.2768      0.9198     0.8799     53.9211
07800     0.3748      0.8840     0.8799     54.8407
07900     0.3212      0.9051     0.8799     55.2543
08000     0.3240      0.9072     0.8799     55.4335
08100     0.2436      0.9346     0.8799     54.5186
08200     0.2925      0.9219     0.8799     54.6658
08300     0.3527      0.8840     0.8799     54.7219
08400     0.3364      0.8987     0.8799     54.6894
08500     0.2878      0.9241     0.8799     54.2283
08600     0.2954      0.9177     0.8799     54.6956
08700     0.2669      0.9093     0.8799     53.7990
08800     0.2517      0.9262     0.8799     54.7803
08900     0.2752      0.9093     0.8799     56.0736
09000     0.2685      0.9114     0.8799     54.7661
09100     0.3088      0.9093     0.8799     54.4605
09200     0.3297      0.8945     0.8799     54.0039
09300     0.3486      0.8903     0.8799     55.1832
09400     0.2967      0.8945     0.8799     55.7509
09500     0.2503      0.9262     0.8799     55.1516
09600     0.2961      0.9093     0.8799     55.1437
09700     0.3483      0.8903     0.8799     54.4505
09800     0.3252      0.8987     0.8799     54.2611
09900     0.2883      0.9156     0.8799     54.9427
10000     0.2145      0.9430     0.8799     55.3164
10100     0.2078      0.9451     0.8799     55.0685
10200     0.2307      0.9198     0.8799     54.7159
10300     0.2623      0.9283     0.8799     54.7751
10400     0.2051      0.9494     0.8799     54.9922
10500     0.3134      0.9008     0.8799     54.3460
10600     0.2509      0.9177     0.8799     56.0341
10700     0.2819      0.9241     0.8799     54.7712
10800     0.2624      0.9156     0.8799     54.4048
10900     0.2867      0.9156     0.8799     54.8406
11000     0.2642      0.9304     0.8799     54.9626
11100     0.2692      0.9241     0.8799     54.4434
11200     0.2224      0.9304     0.8799     55.8676
11300     0.2553      0.9241     0.8799     54.6898
11400     0.2415      0.9262     0.8799     54.3342
11500     0.2341      0.9388     0.8799     54.6839
11600     0.2316      0.9262     0.8799     54.0094
11700     0.3096      0.9008     0.8799     53.6619
11800     0.1680      0.9557     0.8799     54.8455
11900     0.2385      0.9367     0.8799     53.8590
12000     0.2337      0.9346     0.8799     54.4035
12100     0.2411      0.9388     0.8799     53.9798
12200     0.2547      0.9262     0.8799     54.2477
12300     0.2366      0.9219     0.8799     53.9980
12400     0.2965      0.9072     0.8799     54.3777
12500     0.2317      0.9367     0.8799     54.9886
12600     0.2401      0.9346     0.8799     55.0825
12700     0.2354      0.9325     0.8799     54.1847
12800     0.2503      0.9135     0.8799     54.7041
12900     0.2171      0.9304     0.8799     53.8422
13000     0.2672      0.9241     0.8799     55.5818
13100     0.2343      0.9367     0.8820     55.4007
13200     0.2570      0.9241     0.8820     54.7336
13300     0.2487      0.9367     0.8820     54.9256
13400     0.2231      0.9409     0.8820     55.3327
13500     0.2013      0.9494     0.8820     54.2799
13600     0.2460      0.9325     0.8820     54.9212
13700     0.2328      0.9388     0.8820     54.9288
13800     0.2422      0.9430     0.8820     53.8763
13900     0.2514      0.9241     0.8820     54.4836
14000     0.2166      0.9367     0.8820     53.9320
14100     0.2236      0.9325     0.8820     55.4063
14200     0.2091      0.9430     0.8820     55.5182
14300     0.2195      0.9367     0.8820     54.9867
14400     0.2262      0.9304     0.8820     54.4817
14500     0.2290      0.9304     0.8820     54.7717
14600     0.2872      0.9114     0.8820     54.2606
14700     0.2420      0.9346     0.8820     54.9770
14800     0.2449      0.9304     0.8820     53.7841
14900     0.2432      0.9072     0.8820     54.1734
15000     0.1819      0.9536     0.8820     55.3517
15100     0.2058      0.9325     0.8820     54.3767
15200     0.1867      0.9473     0.8820     54.1465
15300     0.1913      0.9557     0.8820     53.7791
15400     0.2244      0.9451     0.8820     54.2632
15500     0.2507      0.9325     0.8820     54.5029
15600     0.2212      0.9304     0.8820     53.7450
15700     0.2522      0.9241     0.8820     54.2542
15800     0.1991      0.9451     0.8820     54.4728
15900     0.2040      0.9367     0.8820     53.8958
16000     0.2701      0.9135     0.8820     55.1729
16100     0.2485      0.9367     0.8820     54.6660
16200     0.2027      0.9346     0.8820     54.2678
16300     0.2063      0.9325     0.8820     54.7929
16400     0.2604      0.9198     0.8820     55.4428
16500     0.2314      0.9283     0.8820     53.7381
16600     0.2499      0.9346     0.8820     55.1977
16700     0.2156      0.9304     0.8820     54.6596
16800     0.2781      0.9156     0.8820     54.6128
16900     0.2369      0.9283     0.8820     53.8878
17000     0.2284      0.9304     0.8839     54.3192
17100     0.2608      0.9283     0.8839     54.9568
17200     0.2466      0.9177     0.8839     54.8350
17300     0.2295      0.9262     0.8839     55.0695
17400     0.2233      0.9346     0.8839     54.0281
17500     0.1877      0.9473     0.8839     53.5570
17600     0.2090      0.9388     0.8839     55.2093
17700     0.2419      0.9367     0.8839     54.5752
17800     0.2273      0.9388     0.8839     54.3393
17900     0.1943      0.9473     0.8839     53.6301
18000     0.2091      0.9409     0.8839     54.9975
18100     0.2480      0.9367     0.8839     54.3059
18200     0.2483      0.9283     0.8839     54.4121
18300     0.2014      0.9430     0.8839     53.3662
18400     0.2275      0.9304     0.8839     54.1439
