Loading python/3.7.3
  Loading requirement: tcl/8.6.8 gcc/8.3.0
Namespace(background_frequency=0.8, background_volume=0.1, batch_size=474, canonical_testing=False, cs=0.1, dataloader_num_workers=8, dataset_path_test='data.nosync/speech_commands_test_set_v0.02', dataset_path_train='data.nosync/speech_commands_v0.02', drop_p=0.125, finetuning_epochs=10000, gain_blocks=2, hidden=108, hop_length=320, l2=0.01, learning_rate='0.002,0.0005,0.00008', max_w=0.1, method=1, n_mfcc=40, n_msb=4, noise_injectionI=0.1, noise_injectionT=0.16, pact_a=True, quant_actMVM=6, quant_actNM=8, quant_inp=6, quant_w=None, random_seed=193012823, rows_bias=6, sample_rate=16000, silence_percentage=0.1, testing_percentage=10, time_shift_ms=100.0, training_steps='10000,10000,200', unknown_percentage=0.1, validation_percentage=10, win_length=641, word_list=['yes', 'no', 'up', 'down', 'left', 'right', 'on', 'off', 'stop', 'go', 'unknown', 'silence'])
7b563356-73ac-43a1-9179-ca9ccb6d2fba
Start training with DropConnect:
Epoch     Train Loss  Train Acc  Vali. Acc  Time (s)
00000     2.8511      0.1160     0.1404     10.6146
00100     1.5926      0.5127     0.5055     55.9158
00200     1.0194      0.6793     0.6726     59.1646
00300     0.8178      0.7511     0.7389     56.9844
00400     0.6346      0.8143     0.7920     56.0592
00500     0.6496      0.8059     0.8117     56.5484
00600     0.5745      0.8291     0.8117     57.4291
00700     0.5785      0.8228     0.8293     56.3675
00800     0.5790      0.8186     0.8293     56.9514
00900     0.5469      0.8207     0.8371     56.6513
01000     0.4807      0.8418     0.8378     56.8278
01100     0.5780      0.8228     0.8497     56.3872
01200     0.5032      0.8439     0.8497     56.8267
01300     0.4183      0.8734     0.8497     56.7931
01400     0.4171      0.8713     0.8497     57.0868
01500     0.4337      0.8608     0.8546     56.2968
01600     0.3814      0.8840     0.8546     56.4314
01700     0.4091      0.8608     0.8580     55.8127
01800     0.4291      0.8861     0.8580     56.4099
01900     0.4495      0.8650     0.8580     57.5578
02000     0.3962      0.8671     0.8667     58.5048
02100     0.4096      0.8755     0.8667     57.6211
02200     0.3917      0.8987     0.8667     58.6507
02300     0.4169      0.8797     0.8667     56.2465
02400     0.3513      0.8882     0.8667     57.7312
02500     0.4190      0.8755     0.8667     57.2174
02600     0.3392      0.8840     0.8691     56.7779
02700     0.3881      0.8903     0.8691     57.2241
02800     0.3753      0.8903     0.8691     55.6927
02900     0.3139      0.9177     0.8691     56.8773
03000     0.3174      0.9008     0.8700     56.5046
03100     0.2939      0.9051     0.8700     56.1398
03200     0.3473      0.8945     0.8732     57.3329
03300     0.3267      0.8966     0.8732     56.9214
03400     0.3062      0.9219     0.8778     57.1547
03500     0.3586      0.8861     0.8778     56.7842
03600     0.3796      0.8861     0.8778     56.5710
03700     0.3379      0.8882     0.8778     56.2163
03800     0.3434      0.9008     0.8778     57.2656
03900     0.3172      0.9135     0.8778     56.2325
04000     0.3047      0.9093     0.8778     56.4990
04100     0.3010      0.9093     0.8778     56.3440
04200     0.3419      0.8966     0.8778     56.3101
04300     0.3231      0.9008     0.8778     57.6486
04400     0.3517      0.8945     0.8778     55.8031
04500     0.3193      0.9093     0.8808     56.5229
04600     0.2832      0.9135     0.8808     57.0952
04700     0.2671      0.9177     0.8808     56.0133
04800     0.3018      0.9177     0.8847     56.2746
04900     0.2586      0.9262     0.8847     56.2632
05000     0.2706      0.9219     0.8847     56.5198
05100     0.3116      0.9072     0.8847     57.2340
05200     0.2510      0.9283     0.8847     56.2380
05300     0.2811      0.9219     0.8847     56.2536
05400     0.2988      0.9051     0.8847     56.3441
05500     0.2779      0.9156     0.8847     55.7427
05600     0.2848      0.9030     0.8847     57.3058
05700     0.2772      0.9114     0.8847     56.2694
05800     0.2761      0.9156     0.8847     55.7235
05900     0.2945      0.9114     0.8847     57.1767
06000     0.2893      0.9198     0.8915     56.1100
06100     0.2629      0.9241     0.8915     56.9606
06200     0.2633      0.9241     0.8915     55.9303
06300     0.3126      0.9072     0.8915     55.3628
06400     0.2531      0.9262     0.8915     56.6070
06500     0.2989      0.9093     0.8915     56.1545
06600     0.3051      0.9135     0.8915     57.0784
06700     0.2298      0.9346     0.8915     56.7565
06800     0.2522      0.9367     0.8915     57.1281
06900     0.2346      0.9219     0.8915     57.1777
07000     0.2763      0.9219     0.8915     55.8851
07100     0.2393      0.9304     0.8915     56.1045
07200     0.2776      0.9156     0.8915     56.7801
07300     0.2679      0.9177     0.8915     56.0674
07400     0.2503      0.9367     0.8915     56.7749
07500     0.3091      0.9135     0.8915     56.5198
07600     0.1974      0.9578     0.8915     56.2191
07700     0.2538      0.9325     0.8915     58.9290
07800     0.2331      0.9241     0.8915     56.8566
07900     0.2275      0.9283     0.8915     55.6995
08000     0.2628      0.9177     0.8915     56.6979
08100     0.2794      0.9114     0.8915     56.8881
08200     0.2729      0.9177     0.8915     56.3503
08300     0.2137      0.9494     0.8915     56.5695
08400     0.2420      0.9325     0.8915     56.7926
08500     0.2468      0.9367     0.8915     55.6686
08600     0.2291      0.9262     0.8915     56.7062
08700     0.2731      0.9304     0.8915     56.7215
08800     0.2892      0.9114     0.8937     57.4040
08900     0.2284      0.9388     0.8937     55.6935
09000     0.2703      0.9156     0.8937     56.1183
09100     0.2857      0.9072     0.8937     56.5729
09200     0.3357      0.8945     0.8937     57.2290
09300     0.2565      0.9304     0.8937     56.6132
09400     0.2528      0.9283     0.8937     57.9524
09500     0.1956      0.9388     0.8937     56.4837
09600     0.2433      0.9262     0.8937     57.0594
09700     0.2126      0.9430     0.8937     56.1605
09800     0.2781      0.9135     0.8937     55.7977
09900     0.2460      0.9241     0.8937     56.9956
10000     0.2455      0.9241     0.8937     56.7635
10100     0.1908      0.9473     0.8945     56.1274
